strain,strain_name,segment,date,host,country,subtype,virus,G_duplication
LC474554,RSV/B/Sendai/690/17,,2017-XX-XX,Human,Japan,B,Human_orthopneumovirus,True
JQ582844,NH1067,,2002-XX-XX,Human,USA,B,Human_orthopneumovirus,True
KP317925,Kilifi_9697_7_RSVB_2004,,2004-12-22,Human,Kenya,B,Human_orthopneumovirus,True
KP317928,Kilifi_9465_9_RSVB_2011,,2011-07-08,Human,Kenya,B,Human_orthopneumovirus,True
KP317923,Kilifi_9465_4_RSVB_2012,,2012-03-01,Human,Kenya,B,Human_orthopneumovirus,False
JQ582843,NH1125,,2002-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP856961,RSVB/Homo_sapiens/USA/89E_108_01/1989-XX-XX,,1989-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP856963,RSVB/Homo_sapiens/USA/80E_030_01/1980-XX-XX,,1980-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP856965,RSVB/Homo_sapiens/USA/89E_067_01/1989-XX-XX,,1989-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP317934,Kilifi_9465_1_RSVB_2012,,2012-02-13,Human,Kenya,B,Human_orthopneumovirus,True
KF826829,RSVB/Homo_sapiens/MEX/24/2005,,2005-12-13,Human,Mexico,B,Human_orthopneumovirus,True
KP317941,Kilifi_9465_11_RSVB_2010,,2010-02-13,Human,Kenya,B,Human_orthopneumovirus,True
KP856966,RSVB/Homo_sapiens/USA/98I_010A_01/1998-XX-XX,,1998-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KF826825,RSVB/Homo_sapiens/MEX/20/2004,,2004-10-18,Human,Mexico,B,Human_orthopneumovirus,True
KF640637,B05,,2005-01-06,Human,United_Kingdom,B,Human_orthopneumovirus,True
KF826844,RSVB/Homo_sapiens/MEX/62/2008,,2008-10-19,Human,Mexico,B,Human_orthopneumovirus,True
KJ939933,VN_817_8/10,,2010-08-16,Human,Viet_Nam,B,Human_orthopneumovirus,True
KJ939925,VN_200_11/09,,2009-11-18,Human,Viet_Nam,B,Human_orthopneumovirus,True
KP663729,HRSV_B/GW0047/14,,2014-01-14,Human,South_Korea,B,Human_orthopneumovirus,True
KP317932,Kilifi_9465_12_RSVB_2010,,2010-04-06,Human,Kenya,B,Human_orthopneumovirus,True
KP317945,Kilifi_9465_8_RSVB_2011,,2011-04-14,Human,Kenya,B,Human_orthopneumovirus,True
KP317917,Kilifi_9697_5_RSVB_2006,,2006-01-27,Human,Kenya,B,Human_orthopneumovirus,True
KP317927,Kilifi_9465_7_RSVB_2011,,2011-02-01,Human,Kenya,B,Human_orthopneumovirus,True
KP663730,HRSV_B/IC0027/14,,2014-01-13,Human,South_Korea,B,Human_orthopneumovirus,True
KJ939923,VN_165_10/09,,2009-10-07,Human,Viet_Nam,B,Human_orthopneumovirus,True
KJ939934,VN_827_9/10,,2010-09-08,Human,Viet_Nam,B,Human_orthopneumovirus,True
KJ939921,VN_144_8/09,,2009-08-31,Human,Viet_Nam,B,Human_orthopneumovirus,True
KJ939920,VN_135_8/09,,2009-08-17,Human,Viet_Nam,B,Human_orthopneumovirus,True
KJ939930,VN_731_10/09,,2009-10-26,Human,Viet_Nam,B,Human_orthopneumovirus,True
KJ939929,VN_382_7/10,,2010-07-07,Human,Viet_Nam,B,Human_orthopneumovirus,True
KJ939928,VN_365_6/10,,2010-06-17,Human,Viet_Nam,B,Human_orthopneumovirus,True
KJ939931,VN_740_11/09,,2009-11-10,Human,Viet_Nam,B,Human_orthopneumovirus,True
KJ939932,VN_811_8/10,,2010-08-11,Human,Viet_Nam,B,Human_orthopneumovirus,True
JX576757,05_004042,,2005-01-14,Human,Netherlands,B,Human_orthopneumovirus,True
JX576733,12_004620,,2012-02-05,Human,Netherlands,B,Human_orthopneumovirus,True
JX576744,08_046532,,2008-12-22,Human,Netherlands,B,Human_orthopneumovirus,True
JX576761,02_028215,,2002-10-21,Human,Netherlands,B,Human_orthopneumovirus,True
JX576737,10_053640,,2010-12-21,Human,Netherlands,B,Human_orthopneumovirus,True
JX576731,BE/5649/08,,2008-11-19,Human,Belgium,B,Human_orthopneumovirus,True
JX576750,07_008482,,2007-03-14,Human,Netherlands,B,Human_orthopneumovirus,True
JX576759,03_034613,,2003-12-05,Human,Netherlands,B,Human_orthopneumovirus,True
JX576735,12_002874,,2012-01-23,Human,Netherlands,B,Human_orthopneumovirus,True
JX576760,03_000005,,2003-01-01,Human,Netherlands,B,Human_orthopneumovirus,False
JX576738,10_053210,,2010-12-12,Human,Netherlands,B,Human_orthopneumovirus,True
JX576749,07_038176,,2007-11-23,Human,Netherlands,B,Human_orthopneumovirus,True
KF826859,RSVB/Homo_sapiens/ITA/131/2009,,2009-03-05,Human,Italy,B,Human_orthopneumovirus,True
KF530259,RSVB/Homo_sapiens/ZAF/319/2006-XX-XX,,2006-XX-XX,Human,South_Africa,B,Human_orthopneumovirus,True
KJ627342,RSVB/Homo_sapiens/PER/FPP01297/2012,,2012-02-23,Human,Peru,B,Human_orthopneumovirus,True
JX576740,09_053157,,2009-12-28,Human,Netherlands,B,Human_orthopneumovirus,True
JX576762,02_000467,,2002-01-08,Human,Netherlands,B,Human_orthopneumovirus,True
JX576753,06_036027,,2006-11-17,Human,Netherlands,B,Human_orthopneumovirus,True
KF826860,RSVB/Homo_sapiens/ITA/135/2009,,2009-04-28,Human,Italy,B,Human_orthopneumovirus,True
JX576758,05_001965,,2005-12-14,Human,Netherlands,B,Human_orthopneumovirus,True
JX576751,07_000431,,2007-01-05,Human,Netherlands,B,Human_orthopneumovirus,True
JX576739,09_053165,,2009-12-28,Human,Netherlands,B,Human_orthopneumovirus,True
JX576754,05_040399,,2005-12-31,Human,Netherlands,B,Human_orthopneumovirus,True
JX576743,09_052064,,2009-12-18,Human,Netherlands,B,Human_orthopneumovirus,True
JX576741,09_052617,,2009-12-22,Human,Netherlands,B,Human_orthopneumovirus,True
JX576746,08_045604,,2008-12-15,Human,Netherlands,B,Human_orthopneumovirus,True
JX576742,09_052281,,2009-12-20,Human,Netherlands,B,Human_orthopneumovirus,True
JX576730,BE/5150/08,,2008-10-24,Human,Belgium,B,Human_orthopneumovirus,True
JX576736,12_001238,,2012-01-07,Human,Netherlands,B,Human_orthopneumovirus,True
JX576748,07_038682,,2007-11-27,Human,Netherlands,B,Human_orthopneumovirus,True
JX576752,06_039982,,2006-12-21,Human,Netherlands,B,Human_orthopneumovirus,True
JX576734,12_003981,,2012-01-29,Human,Netherlands,B,Human_orthopneumovirus,True
JX576756,05_039452,,2005-12-20,Human,Netherlands,B,Human_orthopneumovirus,True
JX576745,08_045952,,2008-12-17,Human,Netherlands,B,Human_orthopneumovirus,True
JX576747,08_045420,,2008-12-12,Human,Netherlands,B,Human_orthopneumovirus,True
JX576732,BE/7004/06,,2006-12-05,Human,Belgium,B,Human_orthopneumovirus,True
JX576729,BE/5133/08,,2008-10-23,Human,Belgium,B,Human_orthopneumovirus,True
KJ627348,RSVB/Homo_sapiens/PER/FPP00589/2011,,2011-06-02,Human,Peru,B,Human_orthopneumovirus,True
JX576755,05_040058,,2005-12-26,Human,Netherlands,B,Human_orthopneumovirus,True
KF826842,RSVB/Homo_sapiens/ARG/195/2007,,2007-05-22,Human,Argentina,B,Human_orthopneumovirus,True
KF826835,RSVB/Hep2_lab/ITA/127_RSV79/2009,,2009-02-03,Human,Italy,B,Human_orthopneumovirus,True
KF826834,RSVB/Hep2_lab/ITA/126_RSV78/2009,,2009-02-02,Human,Italy,B,Human_orthopneumovirus,True
KF826820,RSVB/Homo_sapiens/ITA/134/2009,,2009-03-31,Human,Italy,B,Human_orthopneumovirus,True
KF826858,RSVB/Homo_sapiens/ITA/130/2009,,2009-03-04,Human,Italy,B,Human_orthopneumovirus,True
KF826845,RSVB/Homo_sapiens/ARG/201/2008,,2008-06-10,Human,Argentina,B,Human_orthopneumovirus,True
KJ627341,RSVB/Homo_sapiens/PER/FPP00386/2011,,2011-04-04,Human,Peru,B,Human_orthopneumovirus,True
KF826857,RSVB/Homo_sapiens/ITA/129/2009,,2009-02-18,Human,Italy,B,Human_orthopneumovirus,True
KJ627340,RSVB/Homo_sapiens/PER/FPP01318/2012,,2012-02-28,Human,Peru,B,Human_orthopneumovirus,True
KJ627330,RSVB/Homo_sapiens/PER/FLA3500/2008,,2008-07-15,Human,Peru,B,Human_orthopneumovirus,True
KJ627277,RSVB/Homo_sapiens/PER/FPP00548/2011,,2011-05-19,Human,Peru,B,Human_orthopneumovirus,True
KF826851,RSVB/Homo_sapiens/USA/629_24/2007-XX-XX,,2007-XX-XX,Human,USA,B,Human_orthopneumovirus,True
KJ627247,RSVB/Homo_sapiens/PER/FPP00592/2011,,2011-06-03,Human,Peru,B,Human_orthopneumovirus,True
KJ627285,RSVB/Homo_sapiens/PER/FPP00604/2011,,2011-06-09,Human,Peru,B,Human_orthopneumovirus,True
KF826822,RSVB/Homo_sapiens/USA/629_5/2007-XX-XX,,2007-XX-XX,Human,USA,B,Human_orthopneumovirus,True
KJ627332,RSVB/Homo_sapiens/PER/FPP00616/2011,,2011-06-13,Human,Peru,B,Human_orthopneumovirus,True
KJ627251,RSVB/Homo_sapiens/PER/FPP01361/2012,,2012-03-10,Human,Peru,B,Human_orthopneumovirus,True
KJ627254,RSVB/Homo_sapiens/PER/FPP00618/2011,,2011-06-13,Human,Peru,B,Human_orthopneumovirus,True
KJ627280,RSVB/Homo_sapiens/PER/FLA0166/2008,,2008-02-11,Human,Peru,B,Human_orthopneumovirus,True
KJ627299,RSVB/Homo_sapiens/PER/FLU9371/2007,,2007-11-24,Human,Peru,B,Human_orthopneumovirus,True
KJ627364,RSVB/Homo_sapiens/PER/FPP00530/2011,,2011-05-12,Human,Peru,B,Human_orthopneumovirus,True
KJ627262,RSVB/Homo_sapiens/PER/FPP01374/2012,,2012-03-14,Human,Peru,B,Human_orthopneumovirus,True
KJ627302,RSVB/Homo_sapiens/PER/FLA1266/2008,,2008-04-12,Human,Peru,B,Human_orthopneumovirus,True
KJ627278,RSVB/Homo_sapiens/PER/FLE8323/2010,,2010-03-10,Human,Peru,B,Human_orthopneumovirus,True
KJ627317,RSVB/Homo_sapiens/PER/FLU5625/2007,,2007-01-29,Human,Peru,B,Human_orthopneumovirus,True
KF826853,RSVB/Homo_sapiens/DEU/114/2008,,2008-02-01,Human,Germany,B,Human_orthopneumovirus,False
KJ627359,RSVB/Homo_sapiens/PER/FPP00418/2011,,2011-04-13,Human,Peru,B,Human_orthopneumovirus,True
KJ627310,RSVB/Homo_sapiens/PER/FLU5540/2007,,2007-01-31,Human,Peru,B,Human_orthopneumovirus,True
KJ723466,RSVB/Homo_sapiens/USA/93I_109A_01/1993-XX-XX,,1993-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KP258731,RSVB/Homo_sapiens/USA/82G_013_01/1982-XX-XX,,1982-XX-XX,Human,USA,B,Human_orthopneumovirus,False
KJ672430,RSVB/Homo_sapiens/USA/LA2_51/2013,,2013-01-18,Human,USA,B,Human_orthopneumovirus,True
KP258713,RSVB/Homo_sapiens/USA/93P_095_01/1993-XX-XX,,1993-XX-XX,Human,USA,B,Human_orthopneumovirus,False
