strain,strain_name,segment,date,host,country,subtype,virus,G_duplication
JX069801,RSVA/human/USA/A1998-03-02/1998,,1998-03-02,Human,USA,A,Human_orthopneumovirus,False
JQ901447,01_000312,,2001-01-03,Human,Netherlands,A,Human_orthopneumovirus,False
KP856967,RSVA/Homo_sapiens/USA/81E_025_01/1981-XX-XX,,1981-XX-XX,Human,USA,A,Human_orthopneumovirus,False
JX069803,RSVA/human/USA/A2000-03-04/2000,,2000-03-04,Human,USA,A,Human_orthopneumovirus,False
JX069799,RSVA/human/USA/A2001_03_12/2001/GA2,,2001-03-13,Human,USA,A,Human_orthopneumovirus,False
KF530268,RSVA/Homo_sapiens/MEX/59/2007,,2007-01-27,Human,Mexico,A,Human_orthopneumovirus,False
KP663728,HRSV_A/IC688/12,,2012-07-16,Human,South_Korea,A,Human_orthopneumovirus,False
KP856968,RSVA/Homo_sapiens/USA/98I_003A_01/1998-XX-XX,,1998-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KF826840,RSVA/Homo_sapiens/MEX/29/2007,,2007-02-16,Human,Mexico,A,Human_orthopneumovirus,False
JX069798,RSVA/human/USA/A2001-02-20/2001/GA2,,2001-02-20,Human,USA,A,Human_orthopneumovirus,False
JX069802,RSVA/human/USA/A1998_12_21/1998,,1998-12-12,Human,USA,A,Human_orthopneumovirus,False
KP856969,RSVA/Homo_sapiens/USA/79E_495_01/1979-XX-XX,,1979-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KF826836,RSVA/Homo_sapiens/MEX/26/2006,,2006-01-04,Human,Mexico,A,Human_orthopneumovirus,False
KU316142,RSVA/Homo_sapiens/USA/83I_026A_01_01/1982-XX-XX,,1982-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ939954,VN_773_4/10,,2010-04-20,Human,Viet_Nam,A,Human_orthopneumovirus,False
KP317953,Kilifi_11862_29_RSVA_2011,,2012-03-23,Human,Kenya,A,Human_orthopneumovirus,False
FJ948820,98_25147_X,,1999-12-XX,Human,Netherlands,A,Human_orthopneumovirus,False
KF826837,RSVA/Homo_sapiens/MEX/27/2006,,2006-01-20,Human,Mexico,A,Human_orthopneumovirus,False
KF826826,RSVA/Homo_sapiens/MEX/23/2004,,2004-12-24,Human,Mexico,A,Human_orthopneumovirus,False
KJ939941,VN_331_4/10,,2010-04-21,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939969,VN_834_9/10,,2010-09-23,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939944,VN_369_6/10,,2010-06-22,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939939,VN_168_10/09,,2009-10-15,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939967,VN_832_9/10,,2010-09-15,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939955,VN_778_4/10,,2010-04-29,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939957,VN_784_5/10,,2010-05-17,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939953,VN_767_3/10,,2010-03-18,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939945,VN_372_6/10,,2010-06-23,Human,Viet_Nam,A,Human_orthopneumovirus,False
JX069800,RSVA/human/USA/A1997_12_35/1997,,1997-12-22,Human,USA,A,Human_orthopneumovirus,False
KJ939968,VN_833_9/10,,2010-09-15,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939960,VN_793_7/10,,2010-07-09,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939962,VN_795_7/10,,2010-07-13,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939965,VN_820_8/10,,2010-08-24,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939971,VN_848_12/10,,2010-12-06,Human,Viet_Nam,A,Human_orthopneumovirus,False
JQ901448,01_000583,,2001-01-07,Human,Netherlands,A,Human_orthopneumovirus,False
JQ901453,02_000110,,2002-01-03,Human,Netherlands,A,Human_orthopneumovirus,False
JQ901456,03_033338,,2003-11-25,Human,Netherlands,A,Human_orthopneumovirus,False
KJ939966,VN_824_9/10,,2010-09-03,Human,Viet_Nam,A,Human_orthopneumovirus,False
JQ901452,01_031282,,2001-12-22,Human,Netherlands,A,Human_orthopneumovirus,False
JQ901450,01_002215,,2001-01-24,Human,Netherlands,A,Human_orthopneumovirus,False
KJ939936,VN_120_7/09,,2009-07-22,Human,Viet_Nam,A,Human_orthopneumovirus,False
KJ939952,VN_743_11/09,,2009-11-11,Human,Viet_Nam,A,Human_orthopneumovirus,False
JX627336,RSVA/GN435/11,,2011-12-27,Human,South_Korea,A,Human_orthopneumovirus,True
KJ939943,VN_360_6/10,,2010-06-10,Human,Viet_Nam,A,Human_orthopneumovirus,False
JQ901457,03_036456,,2003-12-22,Human,Netherlands,A,Human_orthopneumovirus,False
KJ939947,VN_390_7/10,,2010-07-22,Human,Viet_Nam,A,Human_orthopneumovirus,False
JQ901458,03_036544,,2003-12-23,Human,Netherlands,A,Human_orthopneumovirus,False
JQ901455,02_017863,,2002-06-29,Human,Netherlands,A,Human_orthopneumovirus,False
JQ901449,01_000868,,2001-01-10,Human,Netherlands,A,Human_orthopneumovirus,False
JQ901451,01_002279,,2001-01-24,Human,Netherlands,A,Human_orthopneumovirus,False
JQ901454,02_00291,,2002-01-04,Human,Netherlands,A,Human_orthopneumovirus,False
KT285064,B614122905,,2014-12-29,Human,China,A,Human_orthopneumovirus,True
KC731483,RSV_A/NIV1114073/11,,2011-XX-XX,Human,India,A,Human_orthopneumovirus,False
KC731482,RSV_A/NIV1114046/11,,2011-XX-XX,Human,India,A,Human_orthopneumovirus,True
KJ627356,RSVA/Homo_sapiens/PER/FLI1294/2010,,2010-04-22,Human,Peru,A,Human_orthopneumovirus,False
KJ627361,RSVA/Homo_sapiens/PER/FLU5529/2007,,2007-01-26,Human,Peru,A,Human_orthopneumovirus,False
KJ627324,RSVA/Homo_sapiens/PER/FLA6757/2009,,2009-04-20,Human,Peru,A,Human_orthopneumovirus,False
KJ627339,RSVA/Homo_sapiens/PER/FLA6331/2009,,2009-03-11,Human,Peru,A,Human_orthopneumovirus,False
KJ627268,RSVA/Homo_sapiens/PER/FLI1313/2010,,2010-04-22,Human,Peru,A,Human_orthopneumovirus,False
KF826824,RSVA/Homo_sapiens/USA/629_4392/1998,,1998-10-28,Human,USA,A,Human_orthopneumovirus,False
KF530260,RSVA/Homo_sapiens/ARG/170/2005,,2005-06-21,Human,Argentina,A,Human_orthopneumovirus,False
KJ627306,RSVA/Homo_sapiens/PER/FLA7443/2009,,2009-05-11,Human,Peru,A,Human_orthopneumovirus,False
KJ627287,RSVA/Homo_sapiens/PER/FLE8797/2010,,2010-04-08,Human,Peru,A,Human_orthopneumovirus,False
KF826846,RSVA/Homo_sapiens/ARG/202/2008,,2008-05-15,Human,Argentina,A,Human_orthopneumovirus,False
KJ627338,RSVA/Homo_sapiens/PER/FLA7437/2009,,2009-05-08,Human,Peru,A,Human_orthopneumovirus,False
KJ627293,RSVA/Homo_sapiens/PER/FLA7768/2009,,2009-05-25,Human,Peru,A,Human_orthopneumovirus,False
KF826831,RSVA/Homo_sapiens/DEU/108/2009,,2009-12-01,Human,Germany,A,Human_orthopneumovirus,False
KJ627301,RSVA/Homo_sapiens/PER/FLE9262/2010,,2010-04-14,Human,Peru,A,Human_orthopneumovirus,False
KF530269,RSVA/Hep2_lab/USA/629_Q0030_RSV60/2009,,2009-12-10,Human,USA,A,Human_orthopneumovirus,False
KF826848,RSVA/Homo_sapiens/AUS/249/2007-XX-XX,,2007-XX-XX,Human,Australia,A,Human_orthopneumovirus,False
KJ627325,RSVA/Homo_sapiens/PER/FLE8626/2010,,2010-03-30,Human,Peru,A,Human_orthopneumovirus,False
KF826849,RSVA/Hep2_lab/USA/629_Q0115_RSV89/2010,,2010-01-05,Human,USA,A,Human_orthopneumovirus,False
KF530261,RSVA/Homo_sapiens/DEU/106/2008,,2008-05-01,Human,Germany,A,Human_orthopneumovirus,False
KF826852,RSVA/Homo_sapiens/USA/629_1/2007-XX-XX,,2007-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ627319,RSVA/Homo_sapiens/PER/FLA6912/2009,,2009-04-21,Human,Peru,A,Human_orthopneumovirus,False
KF826827,RSVA/Homo_sapiens/ARG/159/2004,,2004-05-26,Human,Argentina,A,Human_orthopneumovirus,False
KF826856,RSVA/Homo_sapiens/ITA/125/2009,,2009-04-23,Human,Italy,A,Human_orthopneumovirus,False
KF826838,RSVA/Homo_sapiens/ARG/177/2006,,2006-06-06,Human,Argentina,A,Human_orthopneumovirus,False
KF826828,RSVA/Homo_sapiens/ARG/162/2004,,2004-06-04,Human,Argentina,A,Human_orthopneumovirus,False
KF826850,RSVA/Homo_sapiens/USA/629_11_1/2008-XX-XX,,2008-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KF826823,RSVA/Homo_sapiens/USA/629_4360/1998,,1998-10-17,Human,USA,A,Human_orthopneumovirus,False
KF826832,RSVA/Homo_sapiens/ITA/120/2009,,2009-03-19,Human,Italy,A,Human_orthopneumovirus,False
KF826855,RSVA/Homo_sapiens/ITA/123/2009,,2009-03-26,Human,Italy,A,Human_orthopneumovirus,False
KF826854,RSVA/Homo_sapiens/ITA/119/2009,,2009-02-26,Human,Italy,A,Human_orthopneumovirus,False
KF826841,RSVA/Homo_sapiens/ARG/190/2007,,2007-05-02,Human,Argentina,A,Human_orthopneumovirus,False
KF826830,RSVA/Homo_sapiens/DEU/107/2009,,2009-03-01,Human,Germany,A,Human_orthopneumovirus,False
KJ627269,RSVA/Homo_sapiens/PER/FLE7930/2010,,2010-01-30,Human,Peru,A,Human_orthopneumovirus,False
KJ627337,RSVA/Homo_sapiens/PER/FLA7776/2009,,2009-05-27,Human,Peru,A,Human_orthopneumovirus,False
KJ627349,RSVA/Homo_sapiens/PER/FLE4190/2009,,2009-09-17,Human,Peru,A,Human_orthopneumovirus,False
KJ627245,RSVA/Homo_sapiens/PER/FLI1323/2010,,2010-04-29,Human,Peru,A,Human_orthopneumovirus,False
KJ627292,RSVA/Homo_sapiens/PER/FLE9226/2010,,2010-04-19,Human,Peru,A,Human_orthopneumovirus,False
KJ627312,RSVA/Homo_sapiens/PER/FLE9996/2010,,2010-05-20,Human,Peru,A,Human_orthopneumovirus,False
KJ627350,RSVA/Homo_sapiens/PER/FLA6714/2009,,2009-04-05,Human,Peru,A,Human_orthopneumovirus,False
KJ627372,RSVA/Homo_sapiens/PER/FLE8161/2010,,2010-02-27,Human,Peru,A,Human_orthopneumovirus,False
KJ627357,RSVA/Homo_sapiens/PER/CFI0314/2010,,2010-04-30,Human,Peru,A,Human_orthopneumovirus,False
KJ627351,RSVA/Homo_sapiens/PER/FPP00421/2011,,2011-04-13,Human,Peru,A,Human_orthopneumovirus,False
KJ627326,RSVA/Homo_sapiens/PER/FLE8134/2010,,2010-02-23,Human,Peru,A,Human_orthopneumovirus,False
KJ627267,RSVA/Homo_sapiens/PER/FLE7947/2010,,2010-02-08,Human,Peru,A,Human_orthopneumovirus,False
KJ627259,RSVA/Homo_sapiens/PER/FPI01734/2011,,2011-04-08,Human,Peru,A,Human_orthopneumovirus,False
KJ627362,RSVA/Homo_sapiens/PER/FLA7744/2009,,2009-05-19,Human,Peru,A,Human_orthopneumovirus,False
KJ627272,RSVA/Homo_sapiens/PER/FLA6795/2009,,2009-04-27,Human,Peru,A,Human_orthopneumovirus,False
KJ627365,RSVA/Homo_sapiens/PER/FLE8601/2010,,2010-03-23,Human,Peru,A,Human_orthopneumovirus,False
KJ627294,RSVA/Homo_sapiens/PER/FLE9761/2010,,2010-05-20,Human,Peru,A,Human_orthopneumovirus,False
KJ627288,RSVA/Homo_sapiens/PER/FLA7778/2009,,2009-05-28,Human,Peru,A,Human_orthopneumovirus,False
KJ627304,RSVA/Homo_sapiens/PER/FLA6734/2009,,2009-04-15,Human,Peru,A,Human_orthopneumovirus,False
KJ627252,RSVA/Homo_sapiens/PER/FLE7874/2010,,2010-01-19,Human,Peru,A,Human_orthopneumovirus,False
KF826833,RSVA/Homo_sapiens/ITA/121/2009,,2009-03-19,Human,Italy,A,Human_orthopneumovirus,False
KJ627305,RSVA/Homo_sapiens/PER/FLU5848/2007,,2007-03-17,Human,Peru,A,Human_orthopneumovirus,False
KF826821,RSVA/Homo_sapiens/USA/629_8_2/2007-XX-XX,,2007-XX-XX,Human,USA,A,Human_orthopneumovirus,False
KJ627335,RSVA/Homo_sapiens/PER/FLA7458/2009,,2009-05-16,Human,Peru,A,Human_orthopneumovirus,False
KJ627366,RSVA/Homo_sapiens/PER/FLA6758/2009,,2009-04-20,Human,Peru,A,Human_orthopneumovirus,False
KJ627327,RSVA/Homo_sapiens/PER/FLU7450/2007,,2007-07-25,Human,Peru,A,Human_orthopneumovirus,False
KJ627270,RSVA/Homo_sapiens/PER/FLE8614/2010,,2010-03-28,Human,Peru,A,Human_orthopneumovirus,False
KJ627318,RSVA/Homo_sapiens/PER/FLA6745/2009,,2009-04-17,Human,Peru,A,Human_orthopneumovirus,False
KJ627296,RSVA/Homo_sapiens/PER/FLE9488/2010,,2010-04-24,Human,Peru,A,Human_orthopneumovirus,False
KJ627374,RSVA/Homo_sapiens/PER/FPP00438/2011,,2011-04-19,Human,Peru,A,Human_orthopneumovirus,False
KJ627303,RSVA/Homo_sapiens/PER/FLE9106/2010,,2010-04-20,Human,Peru,A,Human_orthopneumovirus,False
KJ627370,RSVA/Homo_sapiens/PER/FPP00538/2011,,2011-05-16,Human,Peru,A,Human_orthopneumovirus,False
KJ627274,RSVA/Homo_sapiens/PER/FLA6534/2009,,2009-04-02,Human,Peru,A,Human_orthopneumovirus,False
KJ627256,RSVA/Homo_sapiens/PER/FLE2322/2009,,2009-08-16,Human,Peru,A,Human_orthopneumovirus,False
KJ627316,RSVA/Homo_sapiens/PER/FLE9593/2010,,2010-04-21,Human,Peru,A,Human_orthopneumovirus,False
KJ627264,RSVA/Homo_sapiens/PER/IPE01270/2012,,2012-05-16,Human,Peru,A,Human_orthopneumovirus,True
KJ627373,RSVA/Homo_sapiens/PER/FLA7446/2009,,2009-05-13,Human,Peru,A,Human_orthopneumovirus,False
KJ627329,RSVA/Homo_sapiens/PER/FLE9309/2010,,2010-04-28,Human,Peru,A,Human_orthopneumovirus,False
KJ627334,RSVA/Homo_sapiens/PER/FLI2436/2010,,2010-08-06,Human,Peru,A,Human_orthopneumovirus,False
KJ627313,RSVA/Homo_sapiens/PER/FLE9103/2010,,2010-04-22,Human,Peru,A,Human_orthopneumovirus,False
