strain	strain_name	date	segment	country	host
NC_006310.2	Influenza C virus (C/Ann Arbor/1/50) HEF gene for hemagglutinin-esterase-fusion, complete cds	1950-XX-XX	HE		NC_006310.2
LC720285.1	Influenza C virus C/Fukushima/O181/2018 viral cRNA, segment 4, nearly complete sequence	2018-XX-XX	HE	Japan	Homo sapiens LC720285.1
MH828688.1	Influenza C virus (C/Vietnam/1290/2014) segment 4 hemagglutinin-esterase (HE) gene, partial cds	2014-04-16	HE	Viet Nam	Homo sapiens MH828688.1
MZ330881.1	Influenza C virus (C/Biliran/TB2-162/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-06-25	HE	Philippines	Homo sapiens MZ330881.1
MZ330888.1	Influenza C virus (C/Biliran/TB2-180/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-07-07	HE	Philippines	Homo sapiens MZ330888.1
MZ330895.1	Influenza C virus (C/Biliran/TB2-204/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-07-24	HE	Philippines	Homo sapiens MZ330895.1
MZ330902.1	Influenza C virus (C/Biliran/TB2-293/2014) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2014-10-02	HE	Philippines	Homo sapiens MZ330902.1
MZ330909.1	Influenza C virus (C/Biliran/TB4-024/2017) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2017-05-16	HE	Philippines	Homo sapiens MZ330909.1
MZ330916.1	Influenza C virus (C/Biliran/TB4-067/2017) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2017-06-15	HE	Philippines	Homo sapiens MZ330916.1
MZ330923.1	Influenza C virus (C/Biliran/TB4-130/2018) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2018-03-27	HE	Philippines	Homo sapiens MZ330923.1
MZ330930.1	Influenza C virus (C/Biliran/TB4-169/2018) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2018-04-24	HE	Philippines	Homo sapiens MZ330930.1
MZ330937.1	Influenza C virus (C/Biliran/TB4-271/2019) segment 4 hemagglutinin-esterase (HE) gene, complete cds	2019-07-08	HE	Philippines	Homo sapiens MZ330937.1
