strain	strain_name	segment	date	host	country	subtype	virus
JX627336	RSVA/GN435/11	NA	2011-12-27	Human	South_Korea	A	Human_orthopneumovirus
KT285064	B614122905	NA	2014-12-29	Human	China	A	Human_orthopneumovirus
KC731482	RSV_A/NIV1114046/11	NA	2011-XX-XX	Human	India	A	Human_orthopneumovirus
KJ627264	RSVA/Homo_sapiens/PER/IPE01270/2012	NA	2012-05-16	Human	Peru	A	Human_orthopneumovirus
KM042391	RSVA/Homo_sapiens/USA/LA2_83/2013	NA	2013-03-15	Human	USA	A	Human_orthopneumovirus
KM042386	RSVA/Homo_sapiens/USA/LA2_49/2013	NA	2013-01-14	Human	USA	A	Human_orthopneumovirus
KJ672465	RSVA/Homo_sapiens/USA/LA2_13/2012	NA	2012-12-31	Human	USA	A	Human_orthopneumovirus
KJ672441	RSVA/Homo_sapiens/USA/LA2_87/2013	NA	2013-03-21	Human	USA	A	Human_orthopneumovirus
KU950505	RSVA/Homo_sapiens/USA/TH_10651/2013	NA	2013-11-07	Human	USA	A	Human_orthopneumovirus
KU950531	RSVA/Homo_sapiens/USA/TH_10523/2013	NA	2013-08-19	Human	USA	A	Human_orthopneumovirus
KJ672467	RSVA/Homo_sapiens/USA/LA2_97/2013	NA	2013-01-31	Human	USA	A	Human_orthopneumovirus
KJ672469	RSVA/Homo_sapiens/USA/LA2_44/2013	NA	2013-02-08	Human	USA	A	Human_orthopneumovirus
KJ672470	RSVA/Homo_sapiens/USA/LA2_34/2012	NA	2012-12-18	Human	USA	A	Human_orthopneumovirus
KJ672433	RSVA/Homo_sapiens/USA/LA2_95/2013	NA	2013-02-20	Human	USA	A	Human_orthopneumovirus
KJ672428	RSVA/Homo_sapiens/USA/LA2_55/2013	NA	2013-01-24	Human	USA	A	Human_orthopneumovirus
KJ672466	RSVA/Homo_sapiens/USA/LA2_08/2012	NA	2012-12-05	Human	USA	A	Human_orthopneumovirus
KJ672475	RSVA/Homo_sapiens/USA/LA2_17/2013	NA	2013-01-28	Human	USA	A	Human_orthopneumovirus
KJ672448	RSVA/Homo_sapiens/USA/LA2_74/2013	NA	2013-03-08	Human	USA	A	Human_orthopneumovirus
KJ672452	RSVA/Homo_sapiens/USA/LA2_91/2013	NA	2013-01-07	Human	USA	A	Human_orthopneumovirus
KJ672464	RSVA/Homo_sapiens/USA/LA2_04/2012	NA	2012-12-13	Human	USA	A	Human_orthopneumovirus
KJ672432	RSVA/Homo_sapiens/USA/LA2_72/2013	NA	2013-03-11	Human	USA	A	Human_orthopneumovirus
KJ672424	RSVA/Homo_sapiens/USA/LA2_106/2012	NA	2012-12-27	Human	USA	A	Human_orthopneumovirus
KJ672446	RSVA/Homo_sapiens/USA/LA2_27/2012	NA	2012-12-11	Human	USA	A	Human_orthopneumovirus
KJ672458	RSVA/Homo_sapiens/USA/LA2_77/2013	NA	2013-02-18	Human	USA	A	Human_orthopneumovirus
KJ672444	RSVA/Homo_sapiens/USA/LA2_11/2012	NA	2012-12-13	Human	USA	A	Human_orthopneumovirus
KJ672429	RSVA/Homo_sapiens/USA/LA2_69/2013	NA	2013-02-12	Human	USA	A	Human_orthopneumovirus
KJ672449	RSVA/Homo_sapiens/USA/LA2_28/2012	NA	2012-12-10	Human	USA	A	Human_orthopneumovirus
KJ672461	RSVA/Homo_sapiens/USA/LA2_105/2012	NA	2012-12-31	Human	USA	A	Human_orthopneumovirus
KJ672471	RSVA/Homo_sapiens/USA/LA2_85/2013	NA	2013-03-01	Human	USA	A	Human_orthopneumovirus
KJ672437	RSVA/Homo_sapiens/USA/LA2_99/2013	NA	2013-01-11	Human	USA	A	Human_orthopneumovirus
KJ672442	RSVA/Homo_sapiens/USA/LA2_45/2013	NA	2013-02-11	Human	USA	A	Human_orthopneumovirus
KJ672454	RSVA/Homo_sapiens/USA/LA2_73/2013	NA	2013-03-08	Human	USA	A	Human_orthopneumovirus
KJ672440	RSVA/Homo_sapiens/USA/LA2_22/2012	NA	2012-11-23	Human	USA	A	Human_orthopneumovirus
KJ672472	RSVA/Homo_sapiens/USA/LA2_15/2012	NA	2012-12-05	Human	USA	A	Human_orthopneumovirus
KM042390	RSVA/Homo_sapiens/USA/LA2_94/2013	NA	2013-02-19	Human	USA	A	Human_orthopneumovirus
KM042384	RSVA/Homo_sapiens/USA/LA2_78/2013	NA	2013-02-13	Human	USA	A	Human_orthopneumovirus
KM042388	RSVA/Homo_sapiens/USA/LA2_98/2013	NA	2013-01-11	Human	USA	A	Human_orthopneumovirus
