strain	strain_name	date	country
JN129834	Human coronavirus OC43 HK04-01	2004-11-XX	China
JN129835	Human coronavirus OC43 HK04-02	2004-11-XX	China
KF923890	Human coronavirus OC43 39A/2007	2007-04-XX	China
KF923907	Human coronavirus OC43 5370/2007	2007-05-XX	China
KF923911	Human coronavirus OC43 5479/2007	2007-06-XX	China
KF923914	Human coronavirus OC43 5508/2007	2007-06-XX	China
KF923912	Human coronavirus OC43 5484/2007	2007-06-XX	China
KF923909	Human coronavirus OC43 5442/2007	2007-06-XX	China
KF923901	Human coronavirus OC43 5472/2007	2007-06-XX	China
KF923919	Human coronavirus OC43 5595/2007	2007-07-XX	China
KF923910	Human coronavirus OC43 5445/2007	2007-06-XX	China
KF923892	Human coronavirus OC43 5345/2007	2007-05-XX	China
KF923920	Human coronavirus OC43 5617/2007	2007-07-XX	China
KF923913	Human coronavirus OC43 5485/2007	2007-06-XX	China
KF923915	Human coronavirus OC43 5517/2007	2007-06-XX	China
KF923891	Human coronavirus OC43 5240/2007	2007-05-XX	China
KF923894	Human coronavirus OC43 5352/2007	2007-05-XX	China
KF923917	Human coronavirus OC43 5566/2007	2007-06-XX	China
KY554974	Human coronavirus OC43 N08-33B_360X	2016-XX-XX	USA
KY554975	Human coronavirus OC43 N09-382B	2016-XX-XX	USA
KY674920	Human coronavirus OC43 N09-595B	2016-XX-XX	USA
KF923916	Human coronavirus OC43 5519/2007	2007-06-XX	China
KY554972	Human coronavirus OC43 N07-1541B_433X	2016-XX-XX	USA
KY554973	Human coronavirus OC43 N07-1689B_116X	2016-XX-XX	USA
KY674918	Human coronavirus OC43 N07-1647B	2016-XX-XX	USA
KY674917	Human coronavirus OC43 N07-1609B	2016-XX-XX	USA
KF923921	Human coronavirus OC43 69A/2007	2007-05-XX	China
KF923908	Human coronavirus OC43 5414/2007	2007-06-XX	China
KF923923	Human coronavirus OC43 892A/2008	2008-10-XX	China
KF923918	Human coronavirus OC43 10108/2010	2010-05-XX	China
KF923922	Human coronavirus OC43 8164/2009	2009-03-XX	China
KF923925	Human coronavirus OC43 10574/2010	2010-09-XX	China
KJ958219	Human coronavirus OC43 LY342	2011-10-04	China
KJ958218	Human coronavirus OC43 LY341	2011-10-03	China
KF923893	Human coronavirus OC43 2151A/2010	2010-07-XX	China
KF923924	Human coronavirus OC43 10290/2010	2010-07-XX	China
KX344031	Human coronavirus OC43 OC43/human/Mex/LRTI_238/2011	2011-02-09	Mexico
KF923897	Human coronavirus OC43 3269A/2012	2012-06-XX	China
KF923903	Human coronavirus OC43 12691/2012	2012-05-XX	China
KX538965	Human coronavirus OC43 MY-U208/12	2012-03-28	Malaysia
KX538969	Human coronavirus OC43 MY-U523/12	2012-05-18	Malaysia
KX538977	Human coronavirus OC43 MY-U1140/12	2012-09-10	Malaysia
KX538973	Human coronavirus OC43 MY-U868/12	2012-07-16	Malaysia
KX538971	Human coronavirus OC43 MY-U732/12	2012-06-25	Malaysia
KX538968	Human coronavirus OC43 MY-U464/12	2012-05-09	Malaysia
KX538974	Human coronavirus OC43 MY-U945/12	2012-08-01	Malaysia
KX538967	Human coronavirus OC43 MY-U413/12	2012-05-02	Malaysia
KX538975	Human coronavirus OC43 MY-U1024/12	2012-08-24	Malaysia
KF923900	Human coronavirus OC43 3647/2006	2006-10-XX	China
KF923899	Human coronavirus OC43 3582/2006	2006-09-XX	China
KF923905	Human coronavirus OC43 229/2005	2005-06-XX	China
KF923902	Human coronavirus OC43 12689/2012	2012-05-XX	China
KF923904	Human coronavirus OC43 12694/2012	2012-05-XX	China
KX538964	Human coronavirus OC43 MY-U002/12	2012-02-22	Malaysia
KX538972	Human coronavirus OC43 MY-U774/12	2012-07-04	Malaysia
KX538976	Human coronavirus OC43 MY-U1057/12	2012-08-27	Malaysia
KX538966	Human coronavirus OC43 MY-U236/12	2012-04-02	Malaysia
KX538970	Human coronavirus OC43 MY-U710/12	2012-06-20	Malaysia
KX538978	Human coronavirus OC43 MY-U1758/13	2013-01-02	Malaysia
KX538979	Human coronavirus OC43 MY-U1975/13	2013-02-15	Malaysia
LC315648	Human coronavirus OC43 Tokyo/SGH-06/2015	2015-XX-XX	Japan
LC315646	Human coronavirus OC43 Tokyo/SGH-36/2014	2014-XX-XX	Japan
OK073087	Human coronavirus OC43 H10	2014-XX-XX	China
KY967356	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC2924/2015	2015-XX-XX	USA
OK073088	Human coronavirus OC43 H31	2014-XX-XX	China
LC315647	Human coronavirus OC43 Tokyo/SGH-61/2014	2014-XX-XX	Japan
OL770288	Human coronavirus OC43 HCoV-OC43/09-83/QLD/AU/2019	2019-XX-XX	Australia
OL770287	Human coronavirus OC43 HCoV-OC43/03-16118/NSW/AU/2019	2019-XX-XX	Australia
OL770289	Human coronavirus OC43 HCoV-OC43/15-318/WA/AU/2019	2019-XX-XX	Australia
OK073090	Human coronavirus OC43 P43	2017-XX-XX	China
MG977451	Human coronavirus OC43 TNP 12636	2016-12-10	nan
MG977452	Human coronavirus OC43 TNP 12643	2016-12-10	nan
MF374983	Human coronavirus OC43 HCoV-OC43/USA/TCNP_0070/2016	2016-02-01	USA
KY369905	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC831/2016	2016-XX-XX	USA
KY983588	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC3118/2015	2015-XX-XX	USA
KY369906	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC622/2016	2016-XX-XX	USA
KY369907	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC9741/2016	2016-XX-XX	USA
MW587040	Human coronavirus OC43 S0128YHP	2016-XX-XX	China
MH121121	Human coronavirus OC43 HCoV-OC43/USA/ACRI_0213/2016	2016-12-19	USA
MT118667	Human coronavirus OC43 2017_1822	2017-XX-XX	USA
KY684759	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC2269/2016	2016-XX-XX	USA
KY983583	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC2481/2015	2015-XX-XX	USA
KY967361	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC2345/2015	2015-XX-XX	USA
KY967358	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC2770/2015	2015-XX-XX	USA
KY983585	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC2854/2015	2015-XX-XX	USA
MF374985	Human coronavirus OC43 HCoV-OC43/USA/TCNP_00212/2017	2017-01-17	USA
KY967359	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC2730/2015	2015-XX-XX	USA
MF374984	Human coronavirus OC43 HCoV-OC43/USA/TCNP_00204/2017	2017-01-03	USA
MW587041	Human coronavirus OC43 S0229XLX	2016-XX-XX	China
LC687399	Human coronavirus OC43 Fukushima_H773_2019	2019-XX-XX	Japan
LC720427	Human coronavirus OC43 HCoVOC43_Fukushima_OR7_2020	2020-XX-XX	Japan
LC720429	Human coronavirus OC43 HCoVOC43_Fukushima_O989_2019	2019-XX-XX	Japan
MN306036	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC0682/2019	2019-XX-XX	USA
MN306041	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC0810/2019	2019-XX-XX	USA
MT118673	Human coronavirus OC43 2018_9142	2018-XX-XX	USA
MT118678	Human coronavirus OC43 2018_9906	2018-XX-XX	USA
MW587042	Human coronavirus OC43 S0979LY	2016-XX-XX	China
MT118685	Human coronavirus OC43 2019_0546	2019-XX-XX	USA
MN306042	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC0839/2019	2019-XX-XX	USA
MT118683	Human coronavirus OC43 2019_0522	2019-XX-XX	USA
MN306053	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC9430/2018	2019-XX-XX	USA
OM386794	Human coronavirus OC43 HCoV_OC43/Ontario/Canada/S1-9324/2021	2021-12-12	Canada
OM386796	Human coronavirus OC43 HCoV_OC43/Ontario/Canada/S3-6741/2021	2021-11-23	Canada
OM386797	Human coronavirus OC43 HCoV_OC43/Ontario/Canada/S4-6742/2021	2021-11-23	Canada
OM386795	Human coronavirus OC43 HCoV_OC43/Ontario/Canada/S2-8132/2021	2021-12-09	Canada
MN310478	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC0776/2019	2019-XX-XX	USA
MW938760	Human coronavirus OC43 HK19-01	2019-08-08	Hong Kong
MW411432	Human coronavirus OC43 Shenzhen/Nanshan/20200604/LKH	2020-06-04	China
MW411433	Human coronavirus OC43 Shenzhen/Nanshan/20200604/HJD	2020-06-04	China
OM386798	Human coronavirus OC43 HCoV_OC43/Ontario/Canada/S5-9793/2021	2021-12-12	Canada
OM386799	Human coronavirus OC43 HCoV_OC43/Ontario/Canada/S6-9794/2021	2021-12-13	Canada
LC687400	Human coronavirus OC43 Fukushima_O502_2019	2019-XX-XX	Japan
LC687398	Human coronavirus OC43 Fukushima_H763_2019	2019-XX-XX	Japan
MT118692	Human coronavirus OC43 2019_1540	2019-XX-XX	USA
OK391228	Human coronavirus OC43 OC43/China/P21/2021	2021-02-01	China
OK391227	Human coronavirus OC43 OC43/China/43/2019	2019-07-14	China
OK391238	Human coronavirus OC43 OC43/China/41/2019	2019-07-08	China
MN026164	Human coronavirus OC43 OC43_KLF_01_2018	2018-01-18	Kenya
KF923895	Human coronavirus OC43 10285/2010	2010-07-XX	China
MW559057	Human coronavirus OC43 Guangzhou 201301	2013-03-27	China
KF530068	Human coronavirus OC43 OC43/human/USA/007-11/2000	2000-07-27	USA
