strain	strain_name	date	country
KF530072	Human coronavirus OC43 OC43/human/USA/9712-13/1997	1997-12-11	USA
KF530080	Human coronavirus OC43 OC43/human/USA/9712-31/1997	1997-12-18	USA
KF530064	Human coronavirus OC43 OC43/human/USA/9612-9/1996	1996-12-04	USA
KF530078	Human coronavirus OC43 OC43/human/USA/9612-29/1996	1996-12-17	USA
KF530092	Human coronavirus OC43 OC43/human/USA/008-5/2000	2000-08-08	USA
KY014281	Human coronavirus OC43 2002-04	2002-XX-XX	France
KF530065	Human coronavirus OC43 OC43/human/USA/901-41/1990	1990-01-17	USA
KF530073	Human coronavirus OC43 OC43/human/USA/8912-37/1989	1989-12-21	USA
KF530066	Human coronavirus OC43 OC43/human/USA/901-33/1990	1990-01-16	USA
KF530061	Human coronavirus OC43 OC43/human/USA/901-43/1990	1990-01-19	USA
KF530074	Human coronavirus OC43 OC43/human/USA/9212-33/1992	1992-12-16	USA
KF530090	Human coronavirus OC43 OC43/human/USA/931-85/1993	1993-01-26	USA
KF530097	Human coronavirus OC43 OC43/human/USA/9211-43/1992	1992-11-30	USA
KF530060	Human coronavirus OC43 OC43/human/USA/851-15/1985	1985-01-08	USA
KF530083	Human coronavirus OC43 OC43/human/USA/873-19/1987	1987-03-17	USA
KF530086	Human coronavirus OC43 OC43/human/USA/872-5/1987	1987-02-10	USA
KF530077	Human coronavirus OC43 OC43/human/USA/873-16/1987	1987-03-12	USA
KF530093	Human coronavirus OC43 OC43/human/USA/832-27/1983	1983-02-24	USA
KF530087	Human coronavirus OC43 OC43/human/USA/873-6/1987	1987-03-05	USA
KF530085	Human coronavirus OC43 OC43/human/USA/871-25/1987	1987-01-22	USA
KF530075	Human coronavirus OC43 OC43/human/USA/953-23/1995	1995-03-09	USA
KF530059	Human coronavirus OC43 OC43/human/USA/951-15/1995	1995-01-11	USA
KF530062	Human coronavirus OC43 OC43/human/USA/952-23/1995	1995-02-13	USA
KF923896	Human coronavirus OC43 3074A/2012	2012-02-XX	China
KF923906	Human coronavirus OC43 3194A/2012	2012-03-XX	China
KP198611	Human coronavirus OC43 1783A/10	2010-01-XX	China
KP198610	Human coronavirus OC43 2058A/10	2010-06-XX	China
KY014282	Human coronavirus OC43 2007-09	2007-XX-XX	France
KY967360	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC2476/2015	2015-XX-XX	USA
MN026165	Human coronavirus OC43 OC43_KLF_02_2017	2017-11-27	Kenya
MF314143	Human coronavirus OC43 HCoV-OC43/USA/ACRI_0052/2016	2016-03-07	USA
MT118672	Human coronavirus OC43 2018_8663	2018-XX-XX	USA
MT118671	Human coronavirus OC43 2018_8596	2018-XX-XX	USA
LC315649	Human coronavirus OC43 Tokyo/SGH-65/2016	2016-XX-XX	Japan
KU131570	Human coronavirus OC43 HCoV-OC43/UK/London/2011	2011-08-20	United Kingdom
KF572804	oc43/KF572804/1783A_10/2010	2010-01-XX	China
KF572805	oc43/KF572805/1908A_10/2010	2010-03-XX	China
KF572806	oc43/KF572806/1919A_10/2010	2010-03-XX	China
KF572807	oc43/KF572807/1926_06/2006	2006-03-XX	China
KF572808	oc43/KF572808/1997A_10/2010	2010-04-XX	China
KF572809	oc43/KF572809/2058A_10/2010	2010-06-XX	China
KF572810	oc43/KF572810/2145A_10/2010	2010-07-XX	China
KF572811	oc43/KF572811/2941A_11/2011	2011-12-XX	China
KF572812	oc43/KF572812/3074A_12/2012	2012-02-XX	China
KF572813	oc43/KF572813/3184A_12/2012	2012-03-XX	China
KF572814	oc43/KF572814/3194A_12/2012	2012-03-XX	China
KF963230	oc43/KF963230/HCoV_OC43/FRA_EPI/Caen/2001/01/2001	2001-02-20	France
KF963233	oc43/KF963233/HCoV_OC43/FRA_EPI/Caen/2002/04/2002	2002-02-21	France
KF963234	oc43/KF963234/HCoV_OC43/FRA_EPI/Caen/2003/05/2003	2003-01-17	France
KF963236	oc43/KF963236/HCoV_OC43/FRA_EPI/Caen/2005/07/2005	2005-02-07	France
KF963237	oc43/KF963237/HCoV_OC43/FRA_EPI/Caen/2006/08/2006	2006-04-12	France
KF963238	oc43/KF963238/HCoV_OC43/FRA_EPI/Caen/2007/09/2007	2007-06-16	France
KF963239	oc43/KF963239/HCoV_OC43/FRA_EPI/Caen/2008/10/2008	2008-01-17	France
KF963241	oc43/KF963241/HCoV_OC43/FRA_EPI/Caen/2010/12/2010	2010-12-17	France
LC506789	oc43/LC506789/HCoV_OC43/Yamagata.JPN/01.2011_0064/2011	2011-01-XX	Japan
LC506755	oc43/LC506755/HCoV_OC43/Yamagata.JPN/02.2009_0058/2009	2009-01-XX	Japan
LC506756	oc43/LC506756/HCoV_OC43/Yamagata.JPN/02.2009_0063/2009	2009-01-XX	Japan
LC506757	oc43/LC506757/HCoV_OC43/Yamagata.JPN/03.2009_0118/2009	2009-01-XX	Japan
LC506824	oc43/LC506824/HCoV_OC43/Yamagata.JPN/03.2014_0174/2014	2014-01-XX	Japan
LC506825	oc43/LC506825/HCoV_OC43/Yamagata.JPN/04.2014_0225/2014	2014-01-XX	Japan
LC506866	oc43/LC506866/HCoV_OC43/Yamagata.JPN/04.2015_0159/2015	2015-01-XX	Japan
LC506868	oc43/LC506868/HCoV_OC43/Yamagata.JPN/04.2015_0210/2015	2015-01-XX	Japan
LC506758	oc43/LC506758/HCoV_OC43/Yamagata.JPN/05.2009_0292/2009	2009-01-XX	Japan
LC506826	oc43/LC506826/HCoV_OC43/Yamagata.JPN/05.2014_0285/2014	2014-01-XX	Japan
LC506872	oc43/LC506872/HCoV_OC43/Yamagata.JPN/05.2015_0216/2015	2015-01-XX	Japan
LC506827	oc43/LC506827/HCoV_OC43/Yamagata.JPN/06.2014_0296/2014	2014-02-XX	Japan
LC506828	oc43/LC506828/HCoV_OC43/Yamagata.JPN/06.2014_0297/2014	2014-02-XX	Japan
LC506829	oc43/LC506829/HCoV_OC43/Yamagata.JPN/06.2014_0370/2014	2014-02-XX	Japan
LC506830	oc43/LC506830/HCoV_OC43/Yamagata.JPN/06.2014_0371/2014	2014-02-XX	Japan
LC506831	oc43/LC506831/HCoV_OC43/Yamagata.JPN/06.2014_0375/2014	2014-02-XX	Japan
LC506759	oc43/LC506759/HCoV_OC43/Yamagata.JPN/07.2009_0467/2009	2009-02-XX	Japan
LC506760	oc43/LC506760/HCoV_OC43/Yamagata.JPN/07.2009_0469/2009	2009-02-XX	Japan
LC506761	oc43/LC506761/HCoV_OC43/Yamagata.JPN/07.2009_0536/2009	2009-02-XX	Japan
LC506833	oc43/LC506833/HCoV_OC43/Yamagata.JPN/07.2014_0380/2014	2014-02-XX	Japan
LC506838	oc43/LC506838/HCoV_OC43/Yamagata.JPN/07.2014_0446/2014	2014-02-XX	Japan
LC506762	oc43/LC506762/HCoV_OC43/Yamagata.JPN/08.2009_0554/2009	2009-02-XX	Japan
LC506821	oc43/LC506821/HCoV_OC43/Yamagata.JPN/08.2013_0498/2013	2013-02-XX	Japan
LC506839	oc43/LC506839/HCoV_OC43/Yamagata.JPN/08.2014_0484/2014	2014-02-XX	Japan
LC506840	oc43/LC506840/HCoV_OC43/Yamagata.JPN/08.2014_0485/2014	2014-02-XX	Japan
LC506763	oc43/LC506763/HCoV_OC43/Yamagata.JPN/09.2009_0623/2009	2009-02-XX	Japan
LC506764	oc43/LC506764/HCoV_OC43/Yamagata.JPN/10.2009_0762/2009	2009-03-XX	Japan
LC331079	oc43/LC331079/HCoV_OC43/Yamagata.JPN/11.16_0552/2016	2016-03-XX	Japan
LC506766	oc43/LC506766/HCoV_OC43/Yamagata.JPN/11.2009_0842/2009	2009-03-XX	Japan
LC506939	oc43/LC506939/HCoV_OC43/Yamagata.JPN/12.2017_0640/2017	2017-03-XX	Japan
LC331080	oc43/LC331080/HCoV_OC43/Yamagata.JPN/14.16_0684/2016	2016-04-XX	Japan
LC331089	oc43/LC331089/HCoV_OC43/Yamagata.JPN/20.16_0885/2016	2016-05-XX	Japan
LC331081	oc43/LC331081/HCoV_OC43/Yamagata.JPN/20.16_0914/2016	2016-05-XX	Japan
LC331082	oc43/LC331082/HCoV_OC43/Yamagata.JPN/22.16_0950/2016	2016-06-XX	Japan
LC331090	oc43/LC331090/HCoV_OC43/Yamagata.JPN/24.16_1002/2016	2016-06-XX	Japan
LC331084	oc43/LC331084/HCoV_OC43/Yamagata.JPN/24.16_1005/2016	2016-06-XX	Japan
LC331085	oc43/LC331085/HCoV_OC43/Yamagata.JPN/24.16_1006/2016	2016-06-XX	Japan
LC331086	oc43/LC331086/HCoV_OC43/Yamagata.JPN/24.16_1008/2016	2016-06-XX	Japan
LC331087	oc43/LC331087/HCoV_OC43/Yamagata.JPN/24.16_1027/2016	2016-06-XX	Japan
LC331091	oc43/LC331091/HCoV_OC43/Yamagata.JPN/25.16_1044/2016	2016-06-XX	Japan
