strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DC357Y11	dengue	KM279518	2011-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM279518	Clinical Outcome and Genetic Differences within a Monophyletic Dengue Virus Type 2 Population	PLoS ONE 10 (3), E0121696 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25811657
V43254	dengue	MK629886	2015-XX-XX	Japan Korea	South Korea	South Korea	South Korea	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MK629886	Molecular characterization of Dengue viruses type 2 isolated in Korean travelers	Unpublished	?
Toulon_CNR_25679/2014	dengue	MF004385	2014-09-06	Europe	France	France	France	genbank	genome	Baronti et al	https://www.ncbi.nlm.nih.gov/nuccore/MF004385	Assessment of the antiviral activity of the FDA approved molecules against an extended panel of Flaviviruses	Unpublished	?
XHZF10615	dengue	KY937188	2015-XX-XX	China	China	China	China	genbank	genome	Jiang et al	https://www.ncbi.nlm.nih.gov/nuccore/KY937188	The deletion and insertion mutation occured in genome of dengue isolated in Xishuangbanna, Yunnan, China	Unpublished	?
DC635Y12	dengue	KM279537	2012-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM279537	Clinical Outcome and Genetic Differences within a Monophyletic Dengue Virus Type 2 Population	PLoS ONE 10 (3), E0121696 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25811657
TM61	dengue	KX452019	2014-01-XX	Southeast Asia	Malaysia	Malaysia	Malaysia	genbank	genome	Hardiyanto et al	https://www.ncbi.nlm.nih.gov/nuccore/KX452019	Whole genome sequencing and phylogenetic analysis of dengue virus isolated from Johor, Malaysia	Unpublished	?
DENV_2/VN/BID_V735/2006	dengue	EU482672	2006-XX-XX	Southeast Asia	Vietnam	Vietnam	Vietnam	genbank	genome	Henn et al	https://www.ncbi.nlm.nih.gov/nuccore/EU482672	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	?
DC735Y12	dengue	KM279559	2012-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM279559	Clinical Outcome and Genetic Differences within a Monophyletic Dengue Virus Type 2 Population	PLoS ONE 10 (3), E0121696 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25811657
DENV2/CN/GZDF615/2014	dengue	KT187557	2014-XX-XX	China	China	China	China	genbank	genome	Zhan et al	https://www.ncbi.nlm.nih.gov/nuccore/KT187557	Direct Submission	Submitted (17-JUN-2015) Department of Microbiology, Zhongshan School of Medicine, Sun Yat-Sen University, Key Laboratory of Tropical Disease Control, Ministry of Education, W1334, Science & Technology Building, 74 Zhongshan Road Ii, Guangzhou, Guangdong 510080, China	?
MKS_0068	dengue	KC762665	2007-07-06	Southeast Asia	Indonesia	Indonesia	Indonesia	genbank	genome	Sasmono et al	https://www.ncbi.nlm.nih.gov/nuccore/KC762665	Genomic analysis and growth characteristic of dengue viruses from Makassar, Indonesia	Infect. Genet. Evol. 32, 165-177 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/25784569
