strain,begin,length,end,BLAST,BLAST score,refseq,reverse complement,ORF1 type,ORF1 type support,ORF1 subtype,ORF1 subtype support,ORF2 type,ORF2 type support,ORF2 subtype,ORF2 subtype support
AB933740|HuGII.4Chiba22009JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,96,GII.4,100,New_Orleans_2009,98
AB933760|HuGII.4Hiroshima52011,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
KR154230|HuGII.17CGMH692015TW|,11,7552,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
AB933664|HuGII.4Nagano12010JP|,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933738|HuGII.4Niigata52009JP,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,73,GII.4,100,Could not assign,
AB933685|HuGII.4Ehime32010JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933710|HuGII.4Aomori42011JP|,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,96,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933767|HuGII.4Hokkaido32011J,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
AB933659|HuGII.4Iwate52010JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933676|HuGII.4Niigata22010JP,5,7506,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933702|HuGII.4Osaka32011JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933679|HuGII.4Fukui22010JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933723|HuGII.4Saga32011JP|NA,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933725|HuGII.4Shimane62011JP,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933729|HuGII.4Fukui52009JP|N,5,7506,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,99,GII.4,100,Apeldoorn_2007,100
AB933751|HuGII.4Hiroshima52009,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,100,GII.4,100,New_Orleans_2009,100
AB933681|HuGII.4Fukui42010JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KJ196298|NagoyaKY531|NA|2007|H,1,7745,7654,Norovirus GI,,NC_001959.2,FALSE,GI.P8,100,,,GI.8,100,,
AB933697|HuGII.4Shimane22011JP,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933715|HuGII.4Iwate42011JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933708|HuGII.4Hiroshimacity3,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,94,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933677|HuGII.4Niigata32010JP,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933705|HuGII.4Ehime22011JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,95,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB933759|HuGII.4Nagano262011JP,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,100,GII.4,100,Apeldoorn_2007,100
AB933675|HuGII.4Hokkaido42010J,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,98,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KT202796|HuGuangzhouGZ2014_L13,1,7513,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KT970370|HuGuangzhouGZ2014_L31,1,7495,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
AB983218|HuGIIJP2014GII.P17_GI,7,7550,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT970373|HuGuangzhouGZ2015_L33,1,7495,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT970377|HuGuangzhouGZ2015_L36,1,7495,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT970376|HuGuangzhouGZ2015_L34,1,7495,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
LC043167|HuGIIJP2013GII.P17_GI,22,7534,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT992790|HuGII.17HNkaohaoNanya,1,7548,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT970374|HuGuangzhouGZ2015_L33,1,7495,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT202793|HuGuangzhouGZ2013_L10,1,7513,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KT992789|HuGII.17HN05NanyangCH,1,7501,7477,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT202795|HuGuangzhouGZ2014_L12,1,7513,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KT970372|HuGuangzhouGZ2015_L32,1,7495,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT992786|HuGII.17HN02NanyangCH,2,7499,7476,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT970375|HuGuangzhouGZ2015_L34,1,7495,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
LC037415|HuGIIJP2015GII.P17_GI,7,7555,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT970371|HuGuangzhouGZ2015_L32,1,7495,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT380915|HuGII.17142700Shangha,1,7569,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KF509947|HuGII.4AlbertaEI33720,37,7483,7477,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,92,GII.4,100,Sydney_2012,100
KT992787|HuGII.17HN03NanyangCH,2,7499,7476,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT202797|HuGuangzhouGZ2014_L29,1,7513,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KT992788|HuGII.17HN04NanyangCH,2,7498,7475,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT202794|HuGuangzhouGZ2014_L10,1,7513,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB933716|HuGII.4Iwate52011JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,95,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KT202798|HuGuangzhouGZ2014_L30,1,7513,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KT970369|HuGuangzhouGZ2014_L31,1,7495,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
LC043168|HuGIIJP2013GII.P17_GI,22,7535,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
KT992785|HuGII.17HN01NanyangCH,2,7498,7475,Norovirus GII,,NC_029646.1,FALSE,GII.P17,100,,,GII.17,100,,
AB972502|HuGII.4GII4_NG1242201,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972486|HuGII.4OsakaCity42012,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,95,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
KF509946|HuGII.4AlbertaEI06320,12,7531,7498,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972470|HuGII.4Akita42012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972480|HuGII.4Fukui62012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972503|HuGII.4GII4_NG1315201,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972495|HuGII.4Hiroshima52012,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972488|HuGII.4Sakai22012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
KU311158|OU2|NA|2014_09|Human|,14,7525,7494,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972465|HuGII.4Hokkaido12012J,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,94,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
AB972487|HuGII.4Sakai12012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972472|HuGII.4Iwate42012JP|N,5,7452,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972505|HuGII.4GII4_NG1365201,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972482|HuGII.4Fukui82012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972494|HuGII.4Hiroshima42012,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972496|HuGII.4HiroshimaCity3,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972479|HuGII.4Fukui42012JP|N,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
AB972469|HuGII.4Aomori52012JP|,5,7509,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P31 (GII.Pe),100,,,GII.4,100,Sydney_2012,100
