strain,begin,length,end,BLAST,BLAST score,refseq,reverse complement,ORF1 type,ORF1 type support,ORF1 subtype,ORF1 subtype support,ORF2 type,ORF2 type support,ORF2 subtype,ORF2 subtype support
DQ366347|HuOsakaNI2004JP|NA|20,1,7558,7512,Norovirus GII,,NC_029646.1,FALSE,GII.P40 (GII.P22),100,,,GII.2,100,,
AY134748|UNKNOWN_AY134748|NA|N,1,7537,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P30 (GII.Pc),100,,,GII.2,100,,
AB084071|GIFU99|NA|NA|Human|Ja,1,7562,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P7,100,,,GII.6,100,,
AB083780|YURI|NA|NA|Human|Japa,1,7560,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P22,100,,,GII.22,100,,
FJ515294|HuGI.2Leuven2003BEL|N,1,7699,7654,Norovirus GI,,NC_001959.2,FALSE,GI.P2,100,,,GI.2,100,,
HQ664990|HuGII.12HS2062010USA|,1,7523,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P33 (GII.Pg),100,,,GII.12,100,,
GQ845370|HuGII.e_GII.12StGeorg,1,7523,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P33 (GII.Pg),100,,,GII.12,100,,
GQ845366|HuGII.4NSW36392008AU|,1,7560,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P4,97,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
GU991355|HuShanghaiSH3122009CH,1,7544,7518,Norovirus GII,,NC_029646.1,FALSE,GII.P12,99,,,GII.3,100,,
GU991354|HuShanghaiSH52009CHN|,3,7511,7471,Norovirus GII,,NC_029646.1,FALSE,GII.P4,99,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
JQ388274|HuGI.6KingstonACT160D,1,7691,7654,Norovirus GI,,NC_001959.2,FALSE,GI.P11 (GI.Pb),78,,,GI.6,100,,
JX445159|HuGII.4AlbertaEI00920,37,7488,7482,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Den_Haag_2006b,100,GII.4,100,Den_Haag_2006b,100
JX445161|HuGII.4AlbertaEI21020,42,7494,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Apeldoorn_2007,99,GII.4,100,Apeldoorn_2007,100
JX445165|HuGII.4AlbertaEI11920,21,7515,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,New_Orleans_2009,91,GII.4,100,New_Orleans_2009,98
JX445152|HuGII.4AlbertaEI13120,21,7515,7491,Norovirus GII,,NC_029646.1,FALSE,GII.P4,100,Farmington_Hills_2002,100,GII.4,100,Farmington_Hills_2002,100
