virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,legible_rate_per_codon,legible_rate_per_gene,standard_gene,legible_gene_name
h3n2,,h3n2,PB1,0.3766366936727955,0.21699818274332774,0.558040146880419,"[0.21699818274332774, 0.558040146880419]",758,0.285490613803979,0.16448462251944243,0.42299443133535763,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.38×10⁻³ muts per codon per year,0.29 muts per year,polymerase,PB1 (Polymerase)
h1n1pdm,,h1n1pdm,PB1,0.2579977225161696,0.00011188686378259515,0.5514758267754997,"[0.00011188686378259515, 0.5514758267754997]",758,0.19556227366725656,8.481024274720712e-05,0.41801867669582876,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.26×10⁻³ muts per codon per year,0.2 muts per year,polymerase,PB1 (Polymerase)
vic,,vic,PB1,0.15221731366235564,-0.0047389255622350196,0.3519768196890038,"[-0.0047389255622350196, 0.3519768196890038]",753,0.11461963718775381,-0.0035684109483629695,0.2650385452258199,Influenza B/Vic,Orthomyxovirus,#E06E85,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.15×10⁻³ muts per codon per year,0.11 muts per year,polymerase,PB1 (Polymerase)
yam,,yam,PB1,0.10391206806778398,0.004773948652859584,0.25038424132036374,"[0.004773948652859584, 0.25038424132036374]",753,0.07824578725504135,0.003594783335603267,0.1885393337142339,Influenza B/Yam,Orthomyxovirus,#ED9AB0,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.1×10⁻³ muts per codon per year,0.08 muts per year,polymerase,PB1 (Polymerase)
influenzaC,Yamagata,influenzaC_Yamagata,PB1,0.10826260167388382,0.0,0.25713114146965943,"[0.0, 0.25713114146965943]",755,0.08173826426378229,0.0,0.19413401180959286,Influenza C/Yamagata,Orthomyxovirus,#eb0076,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.11×10⁻³ muts per codon per year,0.08 muts per year,polymerase,PB1 (Polymerase)
measles,,measles,L,0.05754878002982296,0.0,0.11641075676668375,"[0.0, 0.11641075676668375]",2184,0.12568653558513335,0.0,0.2542410927784373,Measles,Paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.06×10⁻³ muts per codon per year,0.13 muts per year,polymerase,L (Polymerase)
mumps,,mumps,L,-0.0036394625647537962,-0.011686816009316748,0.016236636926292045,"[-0.011686816009316748, 0.016236636926292045]",2262,-0.008232464321473088,-0.026435577813074485,0.0367272727272726,Mumps,Paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,-0.0×10⁻³ muts per codon per year,-0.01 muts per year,polymerase,L (Polymerase)
parainfluenza,1,parainfluenza_1,L,0.040551303570147884,-0.03509573839692516,0.09579490629066545,"[-0.03509573839692516, 0.09579490629066545]",2224,0.0901860991400089,-0.07805292219476156,0.21304787159043997,Parainfluenza-1,Paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.04×10⁻³ muts per codon per year,0.09 muts per year,polymerase,L (Polymerase)
parainfluenza,3,parainfluenza_3,L,0.0,0.0,0.0,"[0.0, 0.0]",2234,0.0,0.0,0.0,Parainfluenza-3,Paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year,polymerase,L (Polymerase)
rsv,A,rsv_A,L,0.17156366175709323,0.08110333003605077,0.26374687370408456,"[0.08110333003605077, 0.26374687370408456]",2166,0.37160689136586394,0.17566981285808597,0.5712757284430471,RSV-A,"Paramyxovirus, pneumovirus",#0B194C,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,0.17×10⁻³ muts per codon per year,0.37 muts per year,polymerase,L (Polymerase)
rsv,B,rsv_B,L,0.24274621364122578,0.13007785839443292,0.37374772982542065,"[0.13007785839443292, 0.37374772982542065]",2167,0.5260310449605363,0.2818787191407361,0.8099113305316865,RSV-B,"Paramyxovirus, pneumovirus",#6C7593,RNA,Negative-sense RNA,True,Respiratory,"Heparan Sulfate, others",Class I,0.24×10⁻³ muts per codon per year,0.53 muts per year,polymerase,L (Polymerase)
