virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,legible_rate_percodon,legible_rate_pergene
measles,,measles,N,0.00334268551607006,0.0,0.07112213675210444,"[0.0, 0.07112213675210444]",526,0.0017582525814528517,0.0,0.03741024393160693,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
measles,,measles,P,0.15186431243026824,0.0,0.4313001864894452,"[0.0, 0.4313001864894452]",508,0.07714707071457626,0.0,0.21910049473663815,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.15×10⁻³ muts per codon per year,0.08 muts per year
measles,,measles,V,0.055373768544907845,0.0,0.2320593676769418,"[0.0, 0.2320593676769418]",300,0.01661213056347235,0.0,0.06961781030308253,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.06×10⁻³ muts per codon per year,0.02 muts per year
measles,,measles,C,0.13259002250833096,0.0,0.4019021404432644,"[0.0, 0.4019021404432644]",187,0.02479433420905789,0.0,0.07515570026289044,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.13×10⁻³ muts per codon per year,0.02 muts per year
measles,,measles,M,0.0,0.0,0.0,"[0.0, 0.0]",336,0.0,0.0,0.0,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
measles,,measles,F,0.023204988206857895,0.0,0.1267469147467929,"[0.0, 0.1267469147467929]",551,0.0127859485019787,0.0,0.06983755002548288,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.02×10⁻³ muts per codon per year,0.01 muts per year
measles,,measles,H,0.06658684763252894,0.0,0.17027405481629548,"[0.0, 0.17027405481629548]",618,0.04115067183690288,0.0,0.10522936587647061,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.07×10⁻³ muts per codon per year,0.04 muts per year
measles,,measles,L,0.05754878002982296,0.0,0.11641075676668375,"[0.0, 0.11641075676668375]",2184,0.12568653558513335,0.0,0.2542410927784373,Measles,paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,0.06×10⁻³ muts per codon per year,0.13 muts per year
mumps,,mumps,NC,0.0,0.0,0.0,"[0.0, 0.0]",437,0.0,0.0,0.0,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
mumps,,mumps,V,0.0,0.0,0.0,"[0.0, 0.0]",225,0.0,0.0,0.0,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
mumps,,mumps,I,0.0,0.0,0.0,"[0.0, 0.0]",172,0.0,0.0,0.0,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
mumps,,mumps,M,0.0,0.0,0.0,"[0.0, 0.0]",376,0.0,0.0,0.0,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
mumps,,mumps,F,0.21806924568029012,0.0,0.6542077370408702,"[0.0, 0.6542077370408702]",539,0.11753932342167638,0.0,0.35261797026502906,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.22×10⁻³ muts per codon per year,0.12 muts per year
mumps,,mumps,SH,0.15788808892257175,0.0,0.473664266767715,"[0.0, 0.473664266767715]",58,0.009157509157509163,0.0,0.027472527472527472,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.16×10⁻³ muts per codon per year,0.01 muts per year
mumps,,mumps,HN,0.0,0.0,0.0,"[0.0, 0.0]",583,0.0,0.0,0.0,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
mumps,,mumps,L,0.002254881156526864,0.0,0.010521866077798902,"[0.0, 0.010521866077798902]",2262,0.005100541176063767,0.0,0.02380046106798112,Mumps,paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.01 muts per year
parainfluenza,1,parainfluenza_1,N,0.029748333441903894,0.0,0.10486287538271097,"[0.0, 0.10486287538271097]",525,0.015617875056999544,0.0,0.055053009575923254,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.03×10⁻³ muts per codon per year,0.02 muts per year
parainfluenza,1,parainfluenza_1,P,0.19163498320129962,-0.11828746945419556,0.5682651149665133,"[-0.11828746945419556, 0.5682651149665133]",569,0.10904030544153949,-0.06730557011943727,0.32334285041594607,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.19×10⁻³ muts per codon per year,0.11 muts per year
parainfluenza,1,parainfluenza_1,C,-0.12572085125301175,-0.8798321162278195,0.5609809793349809,"[-0.8798321162278195, 0.5609809793349809]",205,-0.025772774506867407,-0.180365583826703,0.1150011007636711,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,-0.13×10⁻³ muts per codon per year,-0.03 muts per year
parainfluenza,1,parainfluenza_1,M,0.0,0.0,0.0,"[0.0, 0.0]",349,0.0,0.0,0.0,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
parainfluenza,1,parainfluenza_1,F,0.11967118465874368,-0.02608682720190459,0.28472073518616575,"[-0.02608682720190459, 0.28472073518616575]",556,0.06653717867026149,-0.014504275924258951,0.15830472876350818,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.12×10⁻³ muts per codon per year,0.07 muts per year
parainfluenza,1,parainfluenza_1,HN,-0.031982438375573394,-0.4313910203051406,0.3581231904118228,"[-0.4313910203051406, 0.3581231904118228]",576,-0.018421884504330275,-0.248481227695761,0.2062789576772099,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,-0.03×10⁻³ muts per codon per year,-0.02 muts per year
parainfluenza,1,parainfluenza_1,L,0.040551303570147884,-0.03509573839692516,0.09579490629066545,"[-0.03509573839692516, 0.09579490629066545]",2224,0.09018609914000889,-0.07805292219476156,0.21304787159043997,Parainfluenza-1,paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.04×10⁻³ muts per codon per year,0.09 muts per year
parainfluenza,3,parainfluenza_3,N,0.0,0.0,0.0,"[0.0, 0.0]",516,0.0,0.0,0.0,Parainfluenza-3,paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
parainfluenza,3,parainfluenza_3,P,0.0,0.0,0.0,"[0.0, 0.0]",603,0.0,0.0,0.0,Parainfluenza-3,paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
parainfluenza,3,parainfluenza_3,C,0.0,0.0,0.0,"[0.0, 0.0]",200,0.0,0.0,0.0,Parainfluenza-3,paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
parainfluenza,3,parainfluenza_3,M,0.0,0.0,0.0,"[0.0, 0.0]",354,0.0,0.0,0.0,Parainfluenza-3,paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
parainfluenza,3,parainfluenza_3,F,0.0,0.0,0.0,"[0.0, 0.0]",540,0.0,0.0,0.0,Parainfluenza-3,paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
parainfluenza,3,parainfluenza_3,HN,0.0,0.0,0.0,"[0.0, 0.0]",573,0.0,0.0,0.0,Parainfluenza-3,paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
parainfluenza,3,parainfluenza_3,L,0.0,0.0,0.0,"[0.0, 0.0]",2234,0.0,0.0,0.0,Parainfluenza-3,paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,0.0×10⁻³ muts per codon per year,0.0 muts per year
h3n2,,h3n2,HA1,3.898504661124469,2.9484743812918675,5.298891854155753,"[2.9484743812918675, 5.298891854155753]",329,1.2826080335099503,0.9700480714450245,1.7433354200172426,Influenza A/H3N2,orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,3.9×10⁻³ muts per codon per year,1.28 muts per year
h3n2,,h3n2,HA2,0.8033590849790735,0.2681217737478106,1.3906873162631403,"[0.2681217737478106, 1.3906873162631403]",221,0.17754235778037525,0.059254911998266144,0.307341896894154,Influenza A/H3N2,orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.8×10⁻³ muts per codon per year,0.18 muts per year
h3n2,,h3n2,NA,2.210773423217525,1.5578043103251331,3.060141932270529,"[1.5578043103251331, 3.060141932270529]",469,1.0368527354890194,0.7306102215424874,1.4352065662348783,Influenza A/H3N2,orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,2.21×10⁻³ muts per codon per year,1.04 muts per year
h3n2,,h3n2,NP,0.6689883836080732,0.3118547381870782,1.0981100053064463,"[0.3118547381870782, 1.0981100053064463]",499,0.33382520342042854,0.155615514355352,0.5479568926479167,Influenza A/H3N2,orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.67×10⁻³ muts per codon per year,0.33 muts per year
h3n2,,h3n2,PA,0.43142906868208225,0.21752406265046867,0.7625585488471789,"[0.21752406265046867, 0.7625585488471789]",717,0.30933464224505297,0.15596475292038606,0.5467544795234273,Influenza A/H3N2,orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.43×10⁻³ muts per codon per year,0.31 muts per year
h3n2,,h3n2,PB1,0.3766366936727955,0.21699818274332774,0.558040146880419,"[0.21699818274332774, 0.558040146880419]",758,0.285490613803979,0.16448462251944243,0.4229944313353576,Influenza A/H3N2,orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.38×10⁻³ muts per codon per year,0.29 muts per year
h3n2,,h3n2,PB2,0.37266852929624067,0.21816787143127717,0.580398434411902,"[0.21816787143127717, 0.580398434411902]",760,0.2832280822651429,0.16580758228777065,0.4411028101530455,Influenza A/H3N2,orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0.37×10⁻³ muts per codon per year,0.28 muts per year
