strain	strain_name	date	country
LC687394	Human coronavirus NL63 Fukushima_H257_2018	2018-XX-XX	Japan
LC687395	Human coronavirus NL63 Fukushima_H486_2018	2018-XX-XX	Japan
MW202337	None	2018-XX-XX	USA
LC687397	Human coronavirus NL63 Fukushima_O579_2019	2019-XX-XX	Japan
LC687402	Human coronavirus NL63 Fukushima_OR236_2021	2021-XX-XX	Japan
LC687401	Human coronavirus NL63 Fukushima_OR215_2021	2021-XX-XX	Japan
LC654455	None	2018-XX-XX	Japan
MN306040	Human coronavirus NL63 HCoV_NL63/Seattle/USA/SC0768/2019	2019-XX-XX	USA
MT118686	Human coronavirus NL63 2019_0711	2019-XX-XX	USA
MT118694	Human coronavirus NL63 2019_1580	2019-XX-XX	USA
LC687396	Human coronavirus NL63 Fukushima_H552_2019	2019-XX-XX	Japan
LC720428	Human coronavirus NL63 HCoVNL63_Fukushima_O650_2019	2019-XX-XX	Japan
MW202338	None	2018-XX-XX	USA
MK334045	Human coronavirus NL63 ChinaGD05	2018-08-14	China
MH828488	Human coronavirus NL63 vzcorona-a2	2015-08-18	Viet Nam
KF530106	Human coronavirus NL63 NL63/human/USA/8712-17/1987	1987-12-16	USA
MG772808	Human coronavirus NL63 CN0601/14	2014-11-25	South Korea
MZ682627	Human coronavirus NL63 NCCP43214	2017-06-XX	South Korea
OK625405	Human coronavirus NL63 NCCP 43214	2017-XX-XX	South Korea
OK073075	Human coronavirus NL63 H45	2014-XX-XX	China
JQ765563	Human coronavirus NL63 NL63/DEN/2009/9	2009-03-16	USA
JQ765569	Human coronavirus NL63 NL63/DEN/2005/232	2005-01-18	USA
JQ765570	Human coronavirus NL63 NL63/DEN/2005/235	2005-01-19	USA
DQ445912	None	2006-11-21	Netherlands
KF530112	Human coronavirus NL63 NL63/human/USA/0111-25/2001	2001-11-21	USA
JQ765564	Human coronavirus NL63 NL63/DEN/2009/14	2009-03-01	USA
JQ765565	Human coronavirus NL63 NL63/DEN/2009/15	2009-02-13	USA
JQ900256	Human coronavirus NL63 NL63/DEN/2009/22	2009-03-03	USA
JQ900258	Human coronavirus NL63 NL63/DEN/2005/291	2005-01-26	USA
MK334047	Human coronavirus NL63 ChinaGD04	2018-07-25	China
MK334046	Human coronavirus NL63 ChinaGD01	2018-09-01	China
LC488389	None	2018-XX-XX	Japan
MW587039	Human coronavirus NL63 S0069ZH	2016-XX-XX	China
KY983586	Human coronavirus NL63 HCoV_NL63/Seattle/USA/SC2940/2015	2015-XX-XX	USA
LC488390	None	2017-XX-XX	Japan
DQ445911	None	2006-11-21	Netherlands
MN026166	Human coronavirus NL63 NL63_KLF_01_2018	2018-01-29	Kenya
AF304460	229e/AF304460/229e_ref/Germany/2000	2000-XX-XX	Germany
KM055607	nl63/KM055607/1014A_2008/2008	2008-XX-XX	China
KM055608	nl63/KM055608/1023A_2008/2008	2008-XX-XX	China
KM055609	nl63/KM055609/1093A_2008/2008	2008-XX-XX	China
KT359829	nl63/KT359829/12MYKL0280/2012	2012-XX-XX	Malaysia
KT359830	nl63/KT359830/12MYKL0482/2012	2012-XX-XX	Malaysia
KT359831	nl63/KT359831/12MYKL0630/2012	2012-XX-XX	Malaysia
KT359832	nl63/KT359832/12MYKL0719/2012	2012-XX-XX	Malaysia
KT359833	nl63/KT359833/12MYKL0730/2012	2012-XX-XX	Malaysia
KT359834	nl63/KT359834/12MYKL0736/2012	2012-XX-XX	Malaysia
KT359835	nl63/KT359835/12MYKL0750/2012	2012-XX-XX	Malaysia
KT359836	nl63/KT359836/12MYKL0779/2012	2012-XX-XX	Malaysia
KT359837	nl63/KT359837/12MYKL0780/2012	2012-XX-XX	Malaysia
KT359838	nl63/KT359838/12MYKL0802/2012	2012-XX-XX	Malaysia
KT359839	nl63/KT359839/12MYKL0809/2012	2012-XX-XX	Malaysia
KT359840	nl63/KT359840/12MYKL0813/2012	2012-XX-XX	Malaysia
KT359841	nl63/KT359841/12MYKL0862/2012	2012-XX-XX	Malaysia
KT359842	nl63/KT359842/12MYKL0863/2012	2012-XX-XX	Malaysia
KT359843	nl63/KT359843/12MYKL0865/2012	2012-XX-XX	Malaysia
KT359844	nl63/KT359844/12MYKL0880/2012	2012-XX-XX	Malaysia
KT359845	nl63/KT359845/12MYKL0903/2012	2012-XX-XX	Malaysia
KT359846	nl63/KT359846/12MYKL0943/2012	2012-XX-XX	Malaysia
KT359847	nl63/KT359847/12MYKL0964/2012	2012-XX-XX	Malaysia
KT359848	nl63/KT359848/12MYKL0967/2012	2012-XX-XX	Malaysia
KT359849	nl63/KT359849/12MYKL1002/2012	2012-XX-XX	Malaysia
KT359850	nl63/KT359850/12MYKL1007/2012	2012-XX-XX	Malaysia
KT359851	nl63/KT359851/12MYKL1013/2012	2012-XX-XX	Malaysia
KT359852	nl63/KT359852/12MYKL1055/2012	2012-XX-XX	Malaysia
KT359853	nl63/KT359853/12MYKL1064/2012	2012-XX-XX	Malaysia
KT359854	nl63/KT359854/12MYKL1079/2012	2012-XX-XX	Malaysia
KT359855	nl63/KT359855/12MYKL1088/2012	2012-XX-XX	Malaysia
KT359856	nl63/KT359856/12MYKL1089/2012	2012-XX-XX	Malaysia
KT359857	nl63/KT359857/12MYKL1193/2012	2012-XX-XX	Malaysia
KT359858	nl63/KT359858/12MYKL1195/2012	2012-XX-XX	Malaysia
KT359859	nl63/KT359859/12MYKL1197/2012	2012-XX-XX	Malaysia
KT359860	nl63/KT359860/12MYKL1229/2012	2012-XX-XX	Malaysia
KT359861	nl63/KT359861/12MYKL1238/2012	2012-XX-XX	Malaysia
KT359862	nl63/KT359862/12MYKL1253/2012	2012-XX-XX	Malaysia
KT359863	nl63/KT359863/12MYKL1288/2012	2012-XX-XX	Malaysia
KT359864	nl63/KT359864/12MYKL1336/2012	2012-XX-XX	Malaysia
KT359865	nl63/KT359865/12MYKL1337/2012	2012-XX-XX	Malaysia
KT359866	nl63/KT359866/12MYKL1350/2012	2012-XX-XX	Malaysia
KT359867	nl63/KT359867/12MYKL1528/2012	2012-XX-XX	Malaysia
KT359868	nl63/KT359868/13MYKL1791/2013	2013-XX-XX	Malaysia
KT359869	nl63/KT359869/13MYKL1797/2013	2013-XX-XX	Malaysia
KT359870	nl63/KT359870/13MYKL1870/2013	2013-XX-XX	Malaysia
KT359871	nl63/KT359871/13MYKL2005/2013	2013-XX-XX	Malaysia
KM055591	nl63/KM055591/180A_2007/2007	2007-XX-XX	China
KM055592	nl63/KM055592/188A_2007/2007	2007-XX-XX	China
KM055593	nl63/KM055593/197A_2007/2007	2007-XX-XX	China
KM055610	nl63/KM055610/2093A_2010/2010	2010-XX-XX	China
KM055594	nl63/KM055594/225A_2007/2007	2007-XX-XX	China
KM055595	nl63/KM055595/236A_2007/2007	2007-XX-XX	China
KM055596	nl63/KM055596/277A_2007/2007	2007-XX-XX	China
KM055597	nl63/KM055597/374A_2007/2007	2007-XX-XX	China
KM055598	nl63/KM055598/909A_2008/2008	2008-XX-XX	China
KM055599	nl63/KM055599/930A_2008/2008	2008-XX-XX	China
KM055600	nl63/KM055600/940A_2008/2008	2008-XX-XX	China
KM055601	nl63/KM055601/945A_2008/2008	2008-XX-XX	China
KM055602	nl63/KM055602/954A_2008/2008	2008-XX-XX	China
KM055603	nl63/KM055603/971A_2008/2008	2008-XX-XX	China
KM055604	nl63/KM055604/990A_2008/2008	2008-XX-XX	China
KM055605	nl63/KM055605/996A_2008/2008	2008-XX-XX	China
KM055606	nl63/KM055606/997A_2008/2008	2008-XX-XX	China
DQ846901	nl63/DQ846901/BJ8081/NA	NA	China
KM055611	nl63/KM055611/GS05_2009/2009	2009-XX-XX	China
KY862074	nl63/KY862074/NL63/FRA_EPI/Caen/2004/01/2004	2004-10-11	France
KY862073	nl63/KY862073/NL63/FRA_EPI/Caen/2004/02/2004	2004-12-18	France
KY862072	nl63/KY862072/NL63/FRA_EPI/Caen/2005/03/2005	2005-01-24	France
KY862071	nl63/KY862071/NL63/FRA_EPI/Caen/2005/04/2005	2005-02-23	France
KY862070	nl63/KY862070/NL63/FRA_EPI/Caen/2008/05/2008	2008-02-15	France
KY862069	nl63/KY862069/NL63/FRA_EPI/Caen/2008/06/2008	2008-02-19	France
KY862068	nl63/KY862068/NL63/FRA_EPI/Caen/2009/07/2009	2009-01-08	France
KY862067	nl63/KY862067/NL63/FRA_EPI/Caen/2009/08/2009	2009-04-24	France
KY862066	nl63/KY862066/NL63/FRA_EPI/Caen/2010/09/2010	2010-10-05	France
KY862065	nl63/KY862065/NL63/FRA_EPI/Caen/2010/10/2010	2010-12-17	France
KY862064	nl63/KY862064/NL63/FRA_EPI/Caen/2011/11/2011	2011-02-21	France
KY862063	nl63/KY862063/NL63/FRA_EPI/Caen/2011/12/2011	2011-10-08	France
KY862062	nl63/KY862062/NL63/FRA_EPI/Caen/2012/13/2012	2012-02-01	France
KY862061	nl63/KY862061/NL63/FRA_EPI/Caen/2012/14/2012	2012-02-17	France
KY862060	nl63/KY862060/NL63/FRA_EPI/Caen/2013/15/2013	2013-03-20	France
KY862059	nl63/KY862059/NL63/FRA_EPI/Caen/2013/16/2013	2013-02-01	France
KY862058	nl63/KY862058/NL63/FRA_EPI/Caen/2014/17/2014	2014-03-16	France
KY862057	nl63/KY862057/NL63/FRA_EPI/Caen/2014/18/2014	2014-01-03	France
KY862056	nl63/KY862056/NL63/FRA_EPI/Caen/2015/19/2015	2015-01-05	France
KY862055	nl63/KY862055/NL63/FRA_EPI/Caen/2015/20/2015	2015-02-15	France
KX179497	nl63/KX179497/NL63/Haiti_2/2015/2015	2015-01-21	Haiti
KX179498	nl63/KX179498/NL63/Haiti_3/2015/2015	2015-01-22	Haiti
KX179499	nl63/KX179499/NL63/Haiti_4/2015/2015	2015-01-27	Haiti
