strain	strain_name	segment	date	host	country	subtype	virus
LC474554	RSV/B/Sendai/690/17	NA	2017-XX-XX	Human	Japan	B	Human_orthopneumovirus
KP317952	Kilifi_9465_6_RSVB_2010	NA	2010-05-09	Human	Kenya	B	Human_orthopneumovirus
JQ582844	NH1067	NA	2002-XX-XX	Human	USA	B	Human_orthopneumovirus
KP317925	Kilifi_9697_7_RSVB_2004	NA	2004-12-22	Human	Kenya	B	Human_orthopneumovirus
KP317928	Kilifi_9465_9_RSVB_2011	NA	2011-07-08	Human	Kenya	B	Human_orthopneumovirus
KP317923	Kilifi_9465_4_RSVB_2012	NA	2012-03-01	Human	Kenya	B	Human_orthopneumovirus
JQ582843	NH1125	NA	2002-XX-XX	Human	USA	B	Human_orthopneumovirus
KP856961	RSVB/Homo_sapiens/USA/89E_108_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KP856963	RSVB/Homo_sapiens/USA/80E_030_01/1980-XX-XX	NA	1980-XX-XX	Human	USA	B	Human_orthopneumovirus
KP856965	RSVB/Homo_sapiens/USA/89E_067_01/1989-XX-XX	NA	1989-XX-XX	Human	USA	B	Human_orthopneumovirus
KP317934	Kilifi_9465_1_RSVB_2012	NA	2012-02-13	Human	Kenya	B	Human_orthopneumovirus
KF826829	RSVB/Homo_sapiens/MEX/24/2005	NA	2005-12-13	Human	Mexico	B	Human_orthopneumovirus
KP317941	Kilifi_9465_11_RSVB_2010	NA	2010-02-13	Human	Kenya	B	Human_orthopneumovirus
KP856966	RSVB/Homo_sapiens/USA/98I_010A_01/1998-XX-XX	NA	1998-XX-XX	Human	USA	B	Human_orthopneumovirus
KF826825	RSVB/Homo_sapiens/MEX/20/2004	NA	2004-10-18	Human	Mexico	B	Human_orthopneumovirus
KF640637	B05	NA	2005-01-06	Human	United_Kingdom	B	Human_orthopneumovirus
KF826844	RSVB/Homo_sapiens/MEX/62/2008	NA	2008-10-19	Human	Mexico	B	Human_orthopneumovirus
KJ939933	VN_817_8/10	NA	2010-08-16	Human	Viet_Nam	B	Human_orthopneumovirus
KJ939925	VN_200_11/09	NA	2009-11-18	Human	Viet_Nam	B	Human_orthopneumovirus
KP663729	HRSV_B/GW0047/14	NA	2014-01-14	Human	South_Korea	B	Human_orthopneumovirus
KF826843	RSVB/Homo_sapiens/MEX/51/2008	NA	2008-09-07	Human	Mexico	B	Human_orthopneumovirus
KP317932	Kilifi_9465_12_RSVB_2010	NA	2010-04-06	Human	Kenya	B	Human_orthopneumovirus
KP317945	Kilifi_9465_8_RSVB_2011	NA	2011-04-14	Human	Kenya	B	Human_orthopneumovirus
KP317917	Kilifi_9697_5_RSVB_2006	NA	2006-01-27	Human	Kenya	B	Human_orthopneumovirus
KP317927	Kilifi_9465_7_RSVB_2011	NA	2011-02-01	Human	Kenya	B	Human_orthopneumovirus
KP663730	HRSV_B/IC0027/14	NA	2014-01-13	Human	South_Korea	B	Human_orthopneumovirus
KJ939919	VN_125_7/09	NA	2009-07-30	Human	Viet_Nam	B	Human_orthopneumovirus
KJ939922	VN_156_9/09	NA	2009-09-24	Human	Viet_Nam	B	Human_orthopneumovirus
KJ939923	VN_165_10/09	NA	2009-10-07	Human	Viet_Nam	B	Human_orthopneumovirus
KJ939934	VN_827_9/10	NA	2010-09-08	Human	Viet_Nam	B	Human_orthopneumovirus
KJ939921	VN_144_8/09	NA	2009-08-31	Human	Viet_Nam	B	Human_orthopneumovirus
KJ939920	VN_135_8/09	NA	2009-08-17	Human	Viet_Nam	B	Human_orthopneumovirus
KJ939930	VN_731_10/09	NA	2009-10-26	Human	Viet_Nam	B	Human_orthopneumovirus
KJ939929	VN_382_7/10	NA	2010-07-07	Human	Viet_Nam	B	Human_orthopneumovirus
