strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
AB527028	KUH389	2006-04-03	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GU377153	Nov06_1214	2006-06-XX	9	G	Russia	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB306266	05SLC056	2005-08-18	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364374	GUP30	2004-12-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527035	KUH520	2006-07-27	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU708595	Z434	2006-03-04	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU839939	MMC172	2005-04-XX	9	G	Bangladesh	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GQ869843	MMC183	2006-03-XX	9	G	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB585936	9516	2007-02-06	9	G	Hong_Kong	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527041	KUH605	2006-10-27	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527013	KUH131	2005-06-28	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU708600	E664	2007-10-05	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364382	AHH12	2005-02-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364378	AHH11	2005-02-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527031	KUH429	2006-06-08	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU839940	DH373	2004-10-XX	9	G	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU708599	L865	2007-01-15	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
FJ348355	Cu_Ha_100_G9	2008-02-XX	9	G	Cuba	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU839930	SK427	2005-11-XX	9	G	Bangladesh	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527038	KUH566	2006-09-22	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527022	KUH353	2006-03-01	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB585932	4576	2005-02-25	9	G	Hong_Kong	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GQ149703	CMH017/05	2005-02-07	9	G	Thailand	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_H1	G9
EU708594	Z413	2005-12-31	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB534529	Strain285	2006-02-05	9	G	Bangladesh	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
FJ348353	Cu_Cm_15/08_G9	2008-01-XX	9	G	Cuba	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB585935	9891	2005-12-30	9	G	Hong_Kong	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527019	KUH314	2006-01-18	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB306265	05SLC051	2005-08-07	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527034	KUH515	2006-07-31	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527012	KUH114	2005-04-28	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GQ149704	CMH020/05	2005-02-11	9	G	Thailand	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_E1_H1	G9
GU377137	Nov04_H343	2004-02-XX	9	G	Russia	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364373	GUP180	2005-11-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527027	KUH387	2006-04-01	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU708598	L720	2007-01-XX	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364383	GUP54	2005-04-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB585931	6992	2004-12-24	9	G	Hong_Kong	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB534528	Strain263	2006-01-28	9	G	Bangladesh	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364372	AHP85	2005-08-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU839938	MMC147	2005-03-XX	9	G	Bangladesh	G9_P[6]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
FJ348351	Cu_Ha_16_G9	2006-06-XX	9	G	Cuba	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364377	AHP32	2005-03-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527030	KUH403	2006-04-29	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527023	KUH358	2006-02-03	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GU392976	GER20_08	2008-01-XX	9	G	Germany	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527016	KUH230	2005-08-31	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364376	AHP28	2005-03-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU839933	SK441	2005-06-XX	9	G	Bangladesh	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527018	KUH289	2005-10-20	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527037	KUH558	2006-09-19	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527011	KUH057	2005-05-18	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU708593	Z386	2005-12-03	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB585933	7512	2006-01-11	9	G	Hong_Kong	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
FJ348354	Cu_Ha_21_G9	2006-07-XX	9	G	Cuba	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB585934	2768	2006-12-22	9	G	Hong_Kong	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527026	KUH376	2006-03-23	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364384	GUH13	2005-03-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU839937	MMC38	2005-04-XX	9	G	Bangladesh	G9_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	G9
AB527040	KUH596	2006-10-16	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527033	KUH509	2006-07-27	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364369	AHP102	2005-10-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GQ869841	DH389	2004-11-XX	9	G	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB534530	Strain305	2006-02-14	9	G	Bangladesh	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU708597	SNR004	2007-01-17	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
FJ348352	Cu_Cm_42/08_G9	2008-04-XX	9	G	Cuba	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527015	KUH179	2005-07-23	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB585930	6208	2004-12-16	9	G	Russia	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527024	KUH362	2006-03-10	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU708592	E192	2007-04-22	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GU392986	GER96_08	2008-03-XX	9	G	Germany	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364371	GUP102	2005-10-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU839932	SK432	2005-12-XX	9	G	Bangladesh	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU708596	L463	2006-12-10	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364375	AHP66	2005-06-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527017	KUH283	2005-10-23	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GU377139	Nov04_H364	2004-02-XX	9	G	Russia	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527021	KUH324	2006-02-01	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364368	AHH41	2005-11-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527029	KUH392	2006-04-08	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527036	KUH528	2006-08-06	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GQ869842	MMC153	2006-04-XX	9	G	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB306267	05SLC057	2005-08-18	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527032	KUH442	2006-06-21	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU839929	DH396	2004-11-XX	9	G	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU708591	E205	2007-05-19	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527025	KUH375	2006-02-25	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527014	KUH171	2005-07-15	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364379	GUP148	2005-11-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU839936	MMC24	2005-03-XX	9	G	Bangladesh	G9_P[6]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU839941	DH375	2004-10-XX	9	G	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364380	AHP22	2005-02-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364381	AHP58	2005-04-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU708601	L880	2007-10-30	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB527039	KUH585	2006-10-08	9	G	Sri_Lanka	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
AB364370	AHP74	2005-08-XX	9	G	Turkey	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
EU839931	SK430	2005-11-XX	9	G	Bangladesh	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GU392978	GER67_08	2008-03-XX	9	G	Germany	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JF813106	Z1108	2008-11-03	9	G	China	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	G9
JF813102	E1545	2009-03-02	9	G	China	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	G9
GQ452938	Nov06_1195	2006-06-XX	9	G	Russia	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	G9
GQ117007	Nov06_974	2006-04-XX	9	G	Russia	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	G9
FJ447570	RUS_Nov04_H508	2004-04-XX	9	G	Russia	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JQ837881	RVA/Human_wt/IDN/PL_2500/2006/G9P[8]	2006-11-XX	9	G	Indonesia	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GU377148	Nov05_122	2005-04-XX	9	G	Russia	G9_P[x]_I1_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154486	RVA/Human_wt/BFA/6_BF/2010/G9P[8]	2010-01-31	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154544	RVA/Human_wt/BFA/235_BF/2010/G9P[8]	2010-01-14	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154522	RVA/Human_wt/BFA/47_BF/2010/G9P[8]	2010-01-29	9	G	Burkina_Faso	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154485	RVA/Human_wt/BFA/5_BF/2010/G9P[8]	2010-01-15	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154512	RVA/Human_wt/BFA/37_BF/2010/G9P[8]	2010-01-14	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154521	RVA/Human_wt/BFA/46_BF/2010/G9P[8]	2010-01-29	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154506	RVA/Human_wt/BFA/28_BF/2010/G9P[8]	2010-02-23	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154514	RVA/Human_wt/BFA/39_BF/2010/G9P[8]	2010-01-18	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154540	RVA/Human_wt/BFA/166_BF/2009/G9P[8]	2009-12-15	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154524	RVA/Human_wt/BFA/49_BF/2010/G9P[8]	2010-02-03	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154531	RVA/Human_wt/BFA/56_BF/2010/G9P[8]	2010-02-11	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154516	RVA/Human_wt/BFA/41_BF/2010/G9P[8]	2010-01-19	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154518	RVA/Human_wt/BFA/43_BF/2010/G9P[8]	2010-01-21	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154539	RVA/Human_wt/BFA/162_BF/2009/G9P[8]	2009-12-10	9	G	Burkina_Faso	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154498	RVA/Human_wt/BFA/20_BF/2010/G9P[6]	2010-02-04	9	G	Burkina_Faso	G9_P[6]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154489	RVA/Human_wt/BFA/11_BF/2010/G9P[8]	2010-01-18	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154541	RVA/Human_wt/BFA/169_BF/2009/G9P[8]	2009-12-16	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154542	RVA/Human_wt/BFA/231_BF/2010/G9P[8]	2010-01-13	9	G	Burkina_Faso	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154543	RVA/Human_wt/BFA/232_BF/2010/G9P[8]	2010-01-13	9	G	Burkina_Faso	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154505	RVA/Human_wt/BFA/27_BF/2010/G9P[8]	2010-02-23	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154515	RVA/Human_wt/BFA/40_BF/2010/G9P[8]	2010-01-18	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
GU377164	Omsk08_381	2008-03-XX	9	G	Russia	G9_P[x]_I1_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154519	RVA/Human_wt/BFA/44_BF/2010/G9P[8]	2010-01-22	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX154528	RVA/Human_wt/BFA/53_BF/2010/G9P[8]	2010-02-10	9	G	Burkina_Faso	G9_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JN699033	Hu/HK75/CN/1978/G9	1978-01-10	9	G	China	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
KC677701	RVA/Human_wt/RUS/NN561_12/2012/G9P[8]	2012-02-XX	9	G	Russia	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	G9
KC677699	RVA/Human_wt/RUS/NN445_12/2012/G9P[8]	2012-02-XX	9	G	Russia	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	G9
KC677700	RVA/Human_wt/RUS/NN459_12/2012/G9P[8]	2012-02-XX	9	G	Russia	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	G9
KC242226	LL51695	2006-11-30	9	G	China	G9_P[6]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
KC677698	RVA/Human_wt/RUS/NN2626_11/2011/G9P[8]	2011-12-XX	9	G	Russia	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	G9
JX029856	17Hu	2011-10-XX	9	G	Canada	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JX029857	18Hu	2011-10-XX	9	G	Canada	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JF965006	09RT068	2009-04-22	9	G	Canada	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JF965009	09RT085	2009-04-25	9	G	Canada	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JF965010	09RT088	2009-04-28	9	G	Canada	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JF965005	09RT066	2009-04-18	9	G	Canada	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
JF965008	09RT083	2009-04-22	9	G	Canada	G9_P[x]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	G9
