strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
GQ414548	GER1H_09	2009-01-XX	7	T	Germany	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	T2
HQ641370	MMC88	2005-01-XX	7	T	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	T2
HQ641361	MMC6	2005-09-XX	7	T	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	T2
JF304934	AK26	1982-07-XX	7	T	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N1_T2_E2_H2	T2
JF304923	D205	1989-08-XX	7	T	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	T2
JN116545	RVA/Human_wt/BFA/238_BF/2010/G6P[6]	2010-01-19	7	T	Burkina_Faso	G6_P[6]_I2_Rx_Cx_Mx_A2_Nx_T2_E2_H2	T2
JQ715666	RVA/Human_wt/BRA/NSC209/1993/G2P[4]	1993-07-14	7	T	Brazil	G2_P[4]_Ix_R2_C2_M2_A2_N2_T2_Ex_H2	T2
JQ715669	RVA/Human_wt/BRA/HSP034/1998/G2P[6]	1998-07-23	7	T	Brazil	G2_P[x]_Ix_R2_C2_M2_A2_Nx_T2_Ex_H2	T2
JQ715665	RVA/Human_wt/BRA/NSC206/1993/G2P[x]	1993-07-08	7	T	Brazil	G2_P[x]_Ix_R2_Cx_M2_A2_N2_T2_Ex_H2	T2
JQ715667	RVA/Human_wt/BRA/NSC212/1993/G2P[4]	1993-07-20	7	T	Brazil	G2_P[4]_Ix_Rx_Cx_Mx_Ax_N2_T2_Ex_H2	T2
JF460842	Hu/BEL/F01498/2009/G3P[6]	2009-03-14	7	T	Belgium	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	T2
JF460831	Hu/BEL/F01322/2009/G3P[6]	2009-02-18	7	T	Belgium	G3_P[6]_I2_R2_C2_M2_A2_N2_T2_E2_H2	T2
JX307626	RVA/Human_wt/IND/mcs90/2011/G8P[4]	2011-02-22	7	T	India	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H3	T2
JX307625	RVA/Human_wt/IND/mcs72/2011/G8P[4]	2011-02-17	7	T	India	G8_P[4]_I2_R2_C2_M5_A2_N2_T2_E2_H3	T2
JX307623	RVA/Human_wt/IND/mcs63/2011/G8P[4]	2011-02-15	7	T	India	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H3	T2
JX307624	RVA/Human_wt/IND/mcs65/2011/G8P[4]	2011-02-15	7	T	India	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H3	T2
KF636319	RVA/Human_wt/ZAF/MRC_DPRU1061/2009/G2P[4]	2009-05-18	7	T	South_Africa	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	T2
KF636354	RVA/Human_wt/ZMB/MRC_DPRU1621/2008/G8P[4]	2008-10-19	7	T	Zambia	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	T2
KF636342	RVA/Human_wt/SWZ/MRC_DPRU4390/2010/G8G9P[6]_mixed_genotype	2010-07-22	7	T	Swaziland	G8_G9_P[6]_I2_R2_C2_M2_A2_N1_N2_T2_E2_H2_mixed_genotype	T2
KF636308	RVA/Human_wt/ZMB/MRC_DPRU3463/2009/G8P[4]	2009-04-13	7	T	Zambia	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	T2
KJ751610	RVA/Human_wt/TZA/MRC_DPRU4568/2011/G8P[4]	2011-01-14	7	T	Tanzania	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	T2
