strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
GQ414544	GER1H_09	2009-01-XX	6	I	Germany	G8_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	I2
EU839963	SK424	2005-11-XX	6	I	Bangladesh	G2_P[8]_I2_Rx_Cx_Mx_Ax_Nx_Tx_E2_Hx	I2
HQ641358	MMC6	2005-09-XX	6	I	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	I2
HQ641367	MMC88	2005-01-XX	6	I	Bangladesh	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	I2
JF421979	KF17	2010-02-XX	6	I	Japan	G6_P[9]_I2_R2_C2_M2_A3_N2_T3_E3_H3	I2
JF304930	AK26	1982-07-XX	6	I	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N1_T2_E2_H2	I2
JF304919	D205	1989-08-XX	6	I	Kenya	G2_P[4]_I2_R2_C2_M2_A2_N2_T2_E2_H2	I2
GQ477121	Nov09_D1	2009-01-XX	6	I	Russia	G2_P[x]_I2_Rx_Cx_Mx_Ax_Nx_Tx_E2_Hx	I2
GU390456	Nov09_D152	2009-06-XX	6	I	Russia	Gx_P[4]_I2_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	I2
GQ477119	Nov09_B39	2009-03-XX	6	I	Russia	G2_P[x]_I2_Rx_Cx_Mx_Ax_Nx_Tx_E2_Hx	I2
GQ477122	Nov09_D2	2009-01-XX	6	I	Russia	Gx_P[4]_I2_Rx_Cx_Mx_Ax_Nx_Tx_E2_Hx	I2
GQ477133	Nov09_KZ	2009-03-XX	6	I	Russia	Gx_P[x]_I2_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	I2
JN116521	RVA/Human_wt/BFA/277_BF/2010/G6P[6]	2010-02-09	6	I	Burkina_Faso	G6_P[6]_I2_Rx_Cx_Mx_Ax_Nx_Tx_Ex_Hx	I2
