seqName,errors,warnings,failedGenes
"KP317952","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"JQ582844","","",""
"KP317925","","",""
"KP856961","","",""
"LC474554","","",""
"KP317923","","",""
"KP856963","","",""
"JQ582843","","",""
"KP317928","","",""
"KP317941","","",""
"KP317934","","",""
"KP856965","","",""
"KF640637","","",""
"KF826825","","",""
"KF826829","","",""
"KP856966","","",""
"KF826843","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KF826844","","",""
"KP317932","","",""
"KJ939933","","",""
"KJ939925","","",""
"KP663729","","",""
"KJ939922","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KJ939919","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KP317917","","",""
"KP317927","","",""
"KP317945","","",""
"KJ939930","","",""
"KP663730","","",""
"KJ939929","","",""
"KJ939934","","",""
"KJ939920","","",""
"KJ939923","","",""
"KJ939931","","",""
"KJ939921","","",""
"KJ939932","","",""
"KJ939928","","",""
"JX576744","","",""
"JX576761","","",""
"JX576733","","",""
"JX576757","","",""
"JX576750","","",""
"JX576737","","",""
"JX576759","","",""
"JX576731","","",""
"JX576735","","",""
"JX576749","","",""
"JX576738","","",""
"KF826859","","",""
"JX576760","","",""
"KF530259","","",""
"KJ627342","","",""
"JX576740","","",""
"KF826860","","",""
"JX576762","","",""
"JX576753","","",""
"JX576758","","",""
"JX576751","","",""
"JX576739","","",""
"JX576743","","",""
"JX576754","","",""
"JX576741","","",""
"JX576746","","",""
"JX576742","","",""
"JX576736","","",""
"JX576730","","",""
"JX576748","","",""
"JX576734","","",""
"JX576752","","",""
"JX576756","","",""
"JX576745","","",""
"JX576747","","",""
"JX576732","","",""
"JX576755","","",""
"KF826820","","",""
"JX576729","","",""
"KJ627348","","",""
"KF826842","","",""
"KF826845","","",""
"KF826835","","",""
"KF826858","","",""
"KF826834","","",""
"KJ627340","","",""
"KJ627341","","",""
"KF826851","","",""
"KJ627277","","",""
"KF826857","","",""
"KJ627330","","",""
"KJ627285","","",""
"KJ627247","","",""
"KF826822","","",""
"KJ627332","","",""
"KJ627251","","",""
"KJ627254","","",""
"KJ627280","","",""
"KJ627262","","",""
"KJ627299","","",""
"KJ627364","","",""
"KJ627278","","",""
"KJ627302","","",""
"KJ627317","","",""
"KF826853","","",""
"KJ627310","","",""
"KJ627359","","",""
"KJ723466","","",""
"KP258731","","",""
"KJ672430","","",""
"KP258713","","",""
"KP258712","","",""
"KP258745","","",""
"KP258698","","",""
"KJ723460","","",""
"KP258724","","",""
"KJ723480","","",""
"KP258705","","",""
"KP258721","","",""
"KU950577","","",""
"KP258702","","",""
"KU316105","","",""
"KU950619","","",""
"KU950510","","",""
"KU316172","","",""
"KU950588","","",""
"KJ723477","","",""
"KJ939924","","",""
"KU316147","","",""
"KJ672473","","",""
"KJ672476","","",""
"KU316158","","",""
"KJ723485","","",""
"KJ723482","","",""
"KJ672425","","",""
"KP258708","","",""
"KU316129","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KJ672481","","",""
"KJ723463","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KJ723476","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KP258736","","",""
"KP258735","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KU316097","","",""
"KU316116","","",""
"KP258714","","",""
"KJ672438","","",""
"KP258739","","",""
"KJ723479","","",""
"KP258742","","",""
"KJ723469","","",""
"KJ723470","","",""
"KJ939927","","",""
"KP258738","","",""
"KF826839","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KP258718","","",""
"KP258720","","",""
"KU316181","","",""
"KU316136","","",""
"KJ723484","","",""
"KU316182","","",""
"KJ939926","","",""
"KU316132","","",""
"KJ723481","","",""
"KU316156","","",""
"KU316113","","",""
"KU316102","","",""
"KM517573","","",""
"KU316117","","",""
"KU316101","","",""
"KU316122","","",""
"KM042393","","",""
"KU316094","","",""
"KU950663","","",""
"KU950488","","",""
"KU950656","","",""
"KU316114","","",""
"KU316111","","",""
"KU950553","","",""
"KU316144","","",""
"KU950530","","",""
"KU316173","","",""
"KU316130","","",""
"KU316095","","",""
"KU316163","","",""
"KU316115","","",""
"KU950552","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KU316175","","",""
"KU316127","","",""
"KU950688","","",""
"KU950681","","",""
"KU950611","","",""
"KU950503","","",""
"KU950516","","",""
"KU950603","","",""
"KU950659","","",""
"KU950606","","",""
"KU950533","","",""
"KU950543","","",""
"KU839632","","",""
"KU950675","","",""
"KU950665","","",""
"KU950599","","",""
"KU950630","","",""
"KU950695","","",""
"KU950489","","",""
"KU316179","","",""
"KU950584","","",""
"KU950625","","",""
"KR350475","","",""
"KU950467","","",""
"KU950693","","",""
"KU950586","","",""
"KU950476","","",""
"KU950462","","",""
"KU950602","","",""
"KU950601","","",""
"KU950525","","",""
"KU950558","","",""
"KU950539","","",""
"KU839627","","",""
"KU839623","","",""
"KU950477","","",""
"KU839635","","",""
"KU950535","","",""
"KU950562","","",""
"KU950621","","",""
"KU950676","","",""
"KU950494","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KU950669","","",""
"KU950548","","",""
"KU950461","","",""
"KU316108","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KU316151","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KU950574","","",""
"KU950635","","",""
"KU839634","","",""
"KU316128","","",""
"KU316177","","",""
"KU316134","","",""
"KU839636","","",""
"KU950687","","",""
"KU950481","","",""
"KU950495","","",""
"KU950512","","",""
"KU950691","","",""
"KU950613","","",""
"KU950571","","",""
"KU839641","","",""
"KU950534","","",""
"KU839628","","",""
"KU839633","","",""
"KU950618","","",""
"KU950648","","",""
"KU950689","","",""
"KU950657","","",""
"KU950637","","",""
"KU839629","","",""
"KU950591","","",""
"KU950614","","",""
"KU839625","","",""
"KU950565","","",""
"KU950576","","",""
"KU950514","","",""
"KU950568","","",""
"KU950478","","",""
"KU950580","","",""
"KU950504","","",""
"KU316100","","",""
"KU950463","","",""
"KU950587","","",""
"KU950593","","",""
"KU950458","","",""
"KU950484","","",""
"KU950578","","",""
"KU950682","","",""
"KU950526","","",""
"KU950559","","",""
"KU950684","","",""
"KU950500","","",""
"KU950678","","",""
"KU950604","","",""
"KU950496","","",""
"KU316159","","",""
"KU950633","","",""
"KU950515","","",""
"KU950465","","",""
"KU950569","","",""
"KU950622","","",""
"KU950662","","",""
"KU950532","","",""
"KU950582","","",""
"KU950517","","",""
"KU950542","","",""
"KU950466","","",""
"KU950690","","",""
"KU950605","","",""
"KU950471","","",""
"KU950555","","",""
"KU950679","","",""
"KU950697","","",""
"KU950668","","",""
"KU950589","","",""
"KU950482","","",""
"KU839638","","",""
"KU950647","","",""
"KU950607","","",""
"KU950497","","",""
"KU950457","","",""
"MN306044","","",""
"KU950672","","",""
"MH685715","","",""
"KU950547","","",""
"KU839640","","",""
"KU950508","","",""
"LC474542","","",""
"LC385004","","",""
"KX655624","","",""
"LC488177","","",""
"KX655629","","",""
"KX655633","","",""
"KX655641","","",""
"KX655642","","",""
"KX655645","","",""
"KX655660","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KX655646","","",""
"KX655648","","",""
"KX655649","","",""
"KX655654","","",""
"KX655655","","",""
"KX655653","","",""
"KX655674","Unable to align: too many insertions, deletions, duplications, or ambiguous seed matches","","<<ALL>>"
"KX655664","","",""
"KX655669","","",""
"KX655661","","",""
"KX655671","","",""
"KX655683","","",""
"KX655681","","",""
"KX655684","","",""
"KX655686","","",""
"KX655685","","",""
"KX655690","","",""
"KX655693","","",""
"KX655698","","",""
"KX655700","","",""
"KX765888","","",""
"KX765890","","",""
"KX765889","","",""
"KX765892","","",""
"KX765893","","",""
"KX765895","","",""
"KX765897","","",""
"KX765903","","",""
