Accession	Virus	Author	Publication_Title	Journal	Database
ON585703	Hepatitis B-D3	Roca,T.P., Villar,L.M., Nogueira Lima,F.S., Vasconcelos,M.P.A., Borzacov,L.M.P., Silva,E.C.E., Lago,B.V.D., Silva,M.T.L.D., Botelho Souza,L.F., Salcedo,J.M.V., Santos,A.O.D. and Vieira,D.S.	Genomic Variability of Hepatitis B Virus Circulating in Brazilian Western Amazon	Viruses 14 (10), 2100 (2022)	Genbank
ON585704	Hepatitis B-D3	Roca,T.P., Villar,L.M., Nogueira Lima,F.S., Vasconcelos,M.P.A., Borzacov,L.M.P., Silva,E.C.E., Lago,B.V.D., Silva,M.T.L.D., Botelho Souza,L.F., Salcedo,J.M.V., Santos,A.O.D. and Vieira,D.S.	Genomic Variability of Hepatitis B Virus Circulating in Brazilian Western Amazon	Viruses 14 (10), 2100 (2022)	Genbank
OK143467	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143468	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143469	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143471	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143473	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143476	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143479	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143480	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143485	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143486	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143488	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143491	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143494	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
OK143497	Hepatitis B-D3	Karlsen,A., Asadi Mobarhan,F., Isaeva,O., Kyuregyan,K. and Mikhaylov,M.	Direct Submission	Submitted (15-SEP-2021) Ministry of Healthcare of the Russian Federation, Russian Medical Academy of Continuous Professional Education, Barricadnaya Str., 2/1, P. 1, Moscow 125993, Russia	Genbank
