strain	strain_name	date	country	host
MW815994.1	HAdV7/China/Hubei/19B0009083/2019-05-20	2019-05-20	China	Homo sapiens
MW815995.1	HAdV7/China/Hubei/19B0009084R/2019-05-19	2019-05-19	China	Homo sapiens
MW815996.1	HAdV7/China/Hubei/19B0009089/2019-06-14	2019-06-14	China	Homo sapiens
MW815997.1	HAdV7/China/Hubei/19B0009106/2019-05-14	2019-05-14	China	Homo sapiens
MW815998.1	HAdV7/China/Hubei/19B0009107/2019-05-14	2019-05-14	China	Homo sapiens
MW815999.1	HAdV7/China/Hubei/19B0009120/2019-05-15	2019-05-15	China	Homo sapiens
MW816000.1	HAdV7/China/Hubei/19B0009125/2019-05-26	2019-05-26	China	Homo sapiens
MW816001.1	HAdV7/China/Hubei/19B0009130/2019-05-15	2019-05-15	China	Homo sapiens
MW816002.1	HAdV7/China/Hubei/19B0009131/2019-05-18	2019-05-18	China	Homo sapiens
MW816003.1	HAdV7/China/Hubei/19B0009134/2019-05-26	2019-05-26	China	Homo sapiens
MW816004.1	HAdV7/China/Hubei/19B0009136/2019-05-25	2019-05-25	China	Homo sapiens
MW816005.1	HAdV7/China/Hubei/19B0009139/2019-05-01	2019-05-01	China	Homo sapiens
MW816006.1	HAdV7/China/Hubei/19B0009141/2019-05-01	2019-05-01	China	Homo sapiens
MW816007.1	HAdV7/China/Hubei/19B0009142/2019-04-30	2019-04-30	China	Homo sapiens
MW816008.1	HAdV7/China/Hubei/19B0009146/2019-05-13	2019-05-13	China	Homo sapiens
MW816009.1	HAdV7/China/Hubei/19B0009147/2019-05-11	2019-05-11	China	Homo sapiens
MW816010.1	HAdV7/China/Hubei/19B0009149/2019-04-29	2019-04-29	China	Homo sapiens
MW816011.1	HAdV7/China/Hubei/19B0012250/2019-05-09	2019-05-09	China	Homo sapiens
MW816012.1	HAdV7/China/Hubei/19B0012251/2019-04-26	2019-04-26	China	Homo sapiens
MW816013.1	HAdV7/China/Hubei/19B0012259/2019-05-26	2019-05-26	China	Homo sapiens
MW816014.1	HAdV7/China/Hubei/19B0012262/2019-05-23	2019-05-23	China	Homo sapiens
MW816015.1	HAdV7/China/Hubei/19B0012265/2019-05-23	2019-05-23	China	Homo sapiens
MW816016.1	HAdV7/China/Hubei/19B0012269/2019-05-22	2019-05-22	China	Homo sapiens
MW816017.1	HAdV7/China/Hubei/19B0012271/2019-05-13	2019-05-13	China	Homo sapiens
MW816018.1	HAdV7/China/Hubei/19B0012273/2019-04-17	2019-04-17	China	Homo sapiens
MW816019.1	HAdV7/China/Hubei/19B0012276/2019-03-29	2019-03-29	China	Homo sapiens
MW816020.1	HAdV7/China/Hubei/19B0012967/2019-01-19	2019-01-19	China	Homo sapiens
MW816021.1	HAdV7/China/Hubei/19B0013009/2019-03-06	2019-03-06	China	Homo sapiens
MW816022.1	HAdV7/China/Hubei/19B0013027/2019-03-07	2019-03-07	China	Homo sapiens
MW816023.1	HAdV7/China/Hubei/19B0013131/2019-04-13	2019-04-13	China	Homo sapiens
MW816024.1	HAdV7/China/Hubei/19B0013132/2019-04-08	2019-04-08	China	Homo sapiens
MW816025.1	HAdV7/China/Hubei/19B0013142/2019-04-20	2019-04-20	China	Homo sapiens
MW816026.1	HAdV7/China/Hubei/19B0013148/2019-06-13	2019-06-13	China	Homo sapiens
MW816027.1	HAdV7/China/Hubei/19B0019388/2019-04-15	2019-04-15	China	Homo sapiens
MW816028.1	HAdV7/China/Hubei/19B0019427/2019-04-25	2019-04-25	China	Homo sapiens
MW816029.1	HAdV7/China/Hubei/19B0019495/2019-05-07	2019-05-07	China	Homo sapiens
MW816030.1	HAdV7/China/Hubei/19B0024324/2019-03-22	2019-03-22	China	Homo sapiens
MW816031.1	HAdV7/China/Hubei/19B0024328/2019-03-23	2019-03-23	China	Homo sapiens
MW816032.1	HAdV7/China/Hubei/19B0027613/2019-04-02	2019-04-02	China	Homo sapiens
MW816033.1	HAdV7/China/Hubei/19B0027619/2019-04-07	2019-04-07	China	Homo sapiens
MW816034.1	HAdV7/China/Hubei/19B0027743/2019-04-22	2019-04-22	China	Homo sapiens
MW816035.1	HAdV7/China/Hubei/19B0048511/2019-04-16	2019-04-16	China	Homo sapiens
MW816036.1	HAdV7/China/Hubei/19B0048580/2019-05-12	2019-05-12	China	Homo sapiens
MW816037.1	HAdV7/China/Hubei/19B0048593/2019-05-15	2019-05-15	China	Homo sapiens
MW816038.1	HAdV7/China/Hubei/19B0048644/2019-05-17	2019-05-17	China	Homo sapiens
MW816039.1	HAdV7/China/Hubei/19B0048645/2019-05-17	2019-05-17	China	Homo sapiens
MW816040.1	HAdV7/China/Hubei/19B0048769/2019-06-05	2019-06-05	China	Homo sapiens
MW816041.1	HAdV7/China/Hubei/19B0048770/2019-06-04	2019-06-04	China	Homo sapiens
MW816042.1	HAdV7/China/Hubei/19B0048771/2019-06-03	2019-06-03	China	Homo sapiens
MW816043.1	HAdV7/China/Hubei/19B0063953/2019-06-22	2019-06-22	China	Homo sapiens
MW816044.1	HAdV7/China/Hubei/19B0063957/2019-07-03	2019-07-03	China	Homo sapiens
MW816045.1	HAdV7/China/Hubei/19B0063958/2019-07-03	2019-07-03	China	Homo sapiens
MW816046.1	HAdV7/China/Hubei/19B0063959/2019-07-01	2019-07-01	China	Homo sapiens
MW816047.1	HAdV7/China/Hubei/19B0063985/2019-06-26	2019-06-26	China	Homo sapiens
MW816048.1	HAdV7/China/Hubei/19B0063986/2019-06-26	2019-06-26	China	Homo sapiens
MW816049.1	HAdV7/China/Hubei/19B0069202/2019-08-18	2019-08-18	China	Homo sapiens
MW816050.1	HAdV7/China/Hubei/19B0082502/2019-05-29	2019-05-29	China	Homo sapiens
MW816051.1	HAdV7/China/Hubei/19B0082504/2019-06-01	2019-06-01	China	Homo sapiens
MW816052.1	HAdV7/China/Hubei/19B0082515/2019-05-31	2019-05-31	China	Homo sapiens
MW816053.1	HAdV7/China/Hubei/19B0082559/2019-06-22	2019-06-22	China	Homo sapiens
MW816054.1	HAdV7/China/Hubei/19B0082562/2019-06-24	2019-06-24	China	Homo sapiens
MW816055.1	HAdV7/China/Hubei/19B0090149/2019-06-29	2019-06-29	China	Homo sapiens
MW816056.1	HAdV7/China/Hubei/19B0090151/2019-06-28	2019-06-28	China	Homo sapiens
MW816057.1	HAdV7/China/Hubei/19B0090152/2019-06-29	2019-06-29	China	Homo sapiens
MW816058.1	HAdV7/China/Hubei/19B0090199/2019-07-04	2019-07-04	China	Homo sapiens
MW816059.1	HAdV7/China/Hubei/19B0090204/2019-07-06	2019-07-06	China	Homo sapiens
MW816060.1	HAdV7/China/Hubei/19B0090207/2019-07-05	2019-07-05	China	Homo sapiens
MW816061.1	HAdV7/China/Hubei/19B0090208/2019-07-09	2019-07-09	China	Homo sapiens
MW816062.1	HAdV7/China/Hubei/19B0090212/2019-07-12	2019-07-12	China	Homo sapiens
MW816063.1	HAdV7/China/Hubei/19B0090250/2019-07-04	2019-07-04	China	Homo sapiens
MW816064.1	HAdV7/China/Hubei/19B0090259/2019-07-29	2019-07-29	China	Homo sapiens
MW816065.1	HAdV7/China/Hubei/19B0090270/2019-07-21	2019-07-21	China	Homo sapiens
MW816066.1	HAdV7/China/Hubei/19B0090273/2019-07-20	2019-07-20	China	Homo sapiens
MW816067.1	HAdV7/China/Hubei/19B0090275/2019-07-15	2019-07-15	China	Homo sapiens
MW816068.1	HAdV7/China/Hubei/19B0090276/2019-07-18	2019-07-18	China	Homo sapiens
MW816069.1	HAdV7/China/Hubei/19B0090277/2019-07-07	2019-07-07	China	Homo sapiens
MW816070.1	HAdV7/China/Hubei/19B0090330/2019-07-15	2019-07-15	China	Homo sapiens
MW816071.1	HAdV7/China/Hubei/19B0090494/2019-08-26	2019-08-26	China	Homo sapiens
MW816072.1	HAdV7/China/Hubei/19B0090497/2019-08-14	2019-08-14	China	Homo sapiens
MW816073.1	HAdV7/China/Hubei/19S0009088/2019-05-17	2019-05-17	China	Homo sapiens
MW816074.1	HAdV7/China/Hubei/19S0012260/2019-05-06	2019-05-06	China	Homo sapiens
MW816075.1	HAdV7/China/Hubei/19S0012958/2019-03-27	2019-03-27	China	Homo sapiens
MW816076.1	HAdV7/China/Hubei/19S0012977/2019-02-13	2019-02-13	China	Homo sapiens
MW816077.1	HAdV7/China/Hubei/19S0012982/2019-02-27	2019-02-27	China	Homo sapiens
MW816078.1	HAdV7/China/Hubei/19S0012984/2019-02-15	2019-02-15	China	Homo sapiens
MW816079.1	HAdV7/China/Hubei/19S0013005/2019-02-20	2019-02-20	China	Homo sapiens
MW816081.1	HAdV7/China/Hubei/19S0016355/2019-01-29	2019-01-29	China	Homo sapiens
MW816082.1	HAdV7/China/Hubei/19S0016367/2019-02-12	2019-02-12	China	Homo sapiens
MW816083.1	HAdV7/China/Hubei/19S0016369/2019-02-20	2019-02-20	China	Homo sapiens
MW816084.1	HAdV7/China/Hubei/19S0016415/2019-02-01	2019-02-01	China	Homo sapiens
MW816085.1	HAdV7/China/Hubei/19S0016442/2019-02-10	2019-02-10	China	Homo sapiens
MW816086.1	HAdV7/China/Hubei/19S0016447/2019-02-17	2019-02-17	China	Homo sapiens
MW816087.1	HAdV7/China/Hubei/19S0016451/2019-02-11	2019-02-11	China	Homo sapiens
MW816088.1	HAdV7/China/Hubei/19S0019386/2019-04-09	2019-04-09	China	Homo sapiens
MW816089.1	HAdV7/China/Hubei/19S0024187/2019-02-20	2019-02-20	China	Homo sapiens
MW816090.1	HAdV7/China/Hubei/19S0024189/2019-02-21	2019-02-21	China	Homo sapiens
MW816091.1	HAdV7/China/Hubei/19S0024193/2019-03-03	2019-03-03	China	Homo sapiens
MW816092.1	HAdV7/China/Hubei/19S0024314/2019-03-12	2019-03-12	China	Homo sapiens
MW816093.1	HAdV7/China/Hubei/19S0024321/2019-03-19	2019-03-19	China	Homo sapiens
MW816094.1	HAdV7/China/Hubei/19S0024341/2019-03-26	2019-03-26	China	Homo sapiens
MW816095.1	HAdV7/China/Hubei/19S0024343/2019-03-25	2019-03-25	China	Homo sapiens
MW816096.1	HAdV7/China/Hubei/19S0027593/2019-04-18	2019-04-18	China	Homo sapiens
MW816097.1	HAdV7/China/Hubei/19S0027686/2019-04-26	2019-04-26	China	Homo sapiens
MW816098.1	HAdV7/China/Hubei/19S0027702/2019-04-23	2019-04-23	China	Homo sapiens
MW816099.1	HAdV7/China/Hubei/19S0027704/2019-04-25	2019-04-25	China	Homo sapiens
MW816100.1	HAdV7/China/Hubei/19S0027747/2019-04-20	2019-04-20	China	Homo sapiens
MW816101.1	HAdV7/China/Hubei/19S0082726/2019-06-07	2019-06-07	China	Homo sapiens
MN422292.1	HAdV-B/USA/HLH 2-11/2019/P7H7F7	2019-05-XX	USA	Homo sapiens
MN422293.1	HAdV-B/USA/HLH 3-19/2019/P7H7F7	2019-05-XX	USA	Homo sapiens
MN422294.1	HAdV-B/USA/HLH 4-22/2019/P7H7F7	2019-06-XX	USA	Homo sapiens
MN422295.1	HAdV-B/USA/HLH 5-27/2019/P7H7F7	2019-05-XX	USA	Homo sapiens
MT920215.1	GZ/2019	2019-04-14	China	Homo sapiens
MT941567.1	GZ/2019	2019-XX-XX	China	Homo sapiens
MT941568.1	GZ/2019	2019-XX-XX	China	Homo sapiens
MT950360.1	GZ/2019	2019-06-25	China	Homo sapiens
MT950361.1	GZ/2019	2019-06-28	China	Homo sapiens
MT993342.1	GZ/2019	2019-07-03	China	Homo sapiens
MT350344.1	None	2018-XX-XX	China	Homo sapiens
MT350345.1	None	2018-XX-XX	China	Homo sapiens
MT350346.1	None	2018-XX-XX	China	Homo sapiens
MT367394.1	None	2015-XX-XX	China	Homo sapiens
MT367395.1	None	2015-XX-XX	China	Homo sapiens
MT367396.1	None	2015-XX-XX	China	Homo sapiens
MT367397.1	None	2014-XX-XX	China	Homo sapiens
MT367398.1	None	2014-XX-XX	China	Homo sapiens
MT367399.1	None	2015-XX-XX	China	Homo sapiens
MT367400.1	None	2016-XX-XX	China	Homo sapiens
MT367401.1	None	2017-XX-XX	China	Homo sapiens
MT367402.1	None	2017-XX-XX	China	Homo sapiens
MT367403.1	None	2017-XX-XX	China	Homo sapiens
MT367404.1	None	2017-XX-XX	China	Homo sapiens
MT367405.1	None	2017-XX-XX	China	Homo sapiens
MT367406.1	None	2018-XX-XX	China	Homo sapiens
MT367407.1	None	2018-XX-XX	China	Homo sapiens
MN638755.1	HAdV-B/USA/10476/2019/P7H7F7	2019-XX-XX	USA: New York	Homo sapiens
MN638756.1	HAdV-B/USA/10506/2019/P7H7F7	2019-XX-XX	USA: New York	Homo sapiens
MN638757.1	HAdV-B/USA/13751/2019/P7H7F7	2019-XX-XX	USA: New York	Homo sapiens
MT325873.1	JX-adv117-2017	2017-05-04	China: Jiangxi	Homo sapiens
MN936178.1	vaccine	2008-09-26	USA	None
LC530212.1	293	2018-XX-XX	Japan:Sendai	Homo sapiens
MN531562.1	HAdV 7/Haiti-0707/2014	2014-11-17	Haiti	Homo sapiens
MN307146.1	HAdV-B/USA_MD/9631/2018/P7H7F7	2018-10-29	USA: Maryland	Homo sapiens
MN307147.1	HAdV-B/USA_MD/9630/2018/P7H7F7	2018-11-15	USA: Maryland	Homo sapiens
MN307148.1	HAdV-B/USA_MD/6201/2018/P7H7F7	2018-11-30	USA: Maryland	Homo sapiens
MN307149.1	HAdV-B/USA_PA/9761/2018/P7H7F7	2018-10-06	USA: Pennsylvania	Homo sapiens
MN307150.1	HAdV-B/USA_PA/7575/2018/P7H7F7	2018-11-28	USA: Pennsylvania	Homo sapiens
MN307151.1	HAdV-B/USA_PA/7599/2018/P7H7F7	2018-12-14	USA: Pennsylvania	Homo sapiens
MN307152.1	HAdV-B/USA_PA/7605/2018/P7H7F7	2018-12-17	USA: Pennsylvania	Homo sapiens
MN307153.1	HAdV-B/USA_MI/6118/2019/P7H7F7	2019-03-13	USA: Michigan	Homo sapiens
MN307154.1	HAdV-B/USA_MI/8596/2019/P7H7F7	2019-04-03	USA: Michigan	Homo sapiens
MN307155.1	HAdV-B/USA_MI/7744/2019/P7H7F7	2019-03-22	USA: Michigan	Homo sapiens
MN307156.1	HAdV-B/USA_MI/0380/2019/P7H7F7	2019-05-07	USA: Michigan	Homo sapiens
MN307157.1	HAdV-B/USA_WI/6005/2018/P7H7F7	2018-11-19	USA: Wisconsin	Homo sapiens
MN307158.1	HAdV-B/USA_WI/6007/2018/P7H7F7	2018-11-27	USA: Wisconsin	Homo sapiens
MN307159.1	HAdV-B/USA_WI/6001/2018/P7H7F7	2018-12-01	USA: Wisconsin	Homo sapiens
MN307160.1	HAdV-B/USA_WI/6013/2018/P7H7F7	2018-12-03	USA: Wisconsin	Homo sapiens
MN307161.1	HAdV-B/USA_WI/5539/2018/P7H7F7	2018-12-06	USA: Wisconsin	Homo sapiens
MN307162.1	HAdV-B/USA_WI/5542/2018/P7H7F7	2018-12-07	USA: Wisconsin	Homo sapiens
MN307163.1	HAdV-B/USA_WI/5555/2018/P7H7F7	2018-12-17	USA: Wisconsin	Homo sapiens
MK492255.1	HAdV-B/NW-MM/Illinois/USA/2014/P7H7F7	2014-12-XX	USA	Homo sapiens
MK492256.1	HAdV-B/NW-VM/Illinois/USA/2014/P7H7F7	2014-12-XX	USA	Homo sapiens
MK492257.1	HAdV-B/NW-14993/Illinois/USA/2017/P7H7F7	2017-02-XX	USA	Homo sapiens
MN164629.1	None	2018-XX-XX	China	Homo sapiens
MN135993.1	163	2018-XX-XX	China	Homo sapiens
MH910662.1	HAdV-B/USA/S 1058/1955	1955-XX-XX	USA: Maryland	Homo sapiens
MH910663.1	HAdV-B/USA/750/1997	1997-XX-XX	USA: Illinois	Homo sapiens
MH910664.1	HAdV-B/USA/25-625/1997	1997-XX-XX	USA: Illinois	Homo sapiens
MH910666.1	HAdV-B/USA/V9368/1996	1996-XX-XX	USA: Georgia	Homo sapiens
MH910667.1	HAdV-B/USA/R081586/1999	1999-XX-XX	USA: New York	Homo sapiens
MH910668.1	HAdV-B/USA/6866/1997	1997-XX-XX	USA: South Carolina	Homo sapiens
MH910669.1	HAdV-B/USA/55142/1960s	2019-03-02	USA	Homo sapiens
MH697600.1	HAdV-B/USA_VA/5675/2017/P7H7F7	2017-08-01	USA	Homo sapiens
MH697601.1	HAdV-B/USA_VA/5682/2017/P7H7F7	2017-08-03	USA	Homo sapiens
MH697602.1	HAdV-B/USA_VA/5799/2017/P7H7F7	2017-08-11	USA	Homo sapiens
MH697603.1	HAdV-B/USA_VA/1403/2017/P7H7F7	2017-07-25	USA	Homo sapiens
MH697604.1	HAdV-B/USA_VA/1404/2017/P7H7F7	2017-07-30	USA	Homo sapiens
MH697605.1	HAdV-B/USA_VA/5677/2017/P7H7F7	2017-08-02	USA	Homo sapiens
MH697606.1	HAdV-B/USA_VA/5801/2017/P7H7F7	2017-08-09	USA	Homo sapiens
MH697607.1	HAdV-B/USA_PA/5803/2017/P7H7F7	2017-08-10	USA	Homo sapiens
MH355567.1	BJ/CHN/2018	2018-01-01	China	Homo sapiens
MH262318.1	HAdV-B/USA_NJ/5644/2016/P7H7F7	2016-12-12	USA	Homo sapiens
MH262319.1	HAdV-B/USA_NJ/5645/2016/P7H7F7	2016-12-14	USA	Homo sapiens
MH262320.1	HAdV-B/USA_NJ/5646/2016/P7H7F7	2016-12-14	USA	Homo sapiens
MH262321.1	HAdV-B/USA_NJ/5649/2016/P7H7F7	2016-12-19	USA	Homo sapiens
MH262322.1	HAdV-B/USA_NJ/6294/2017/P7H7F7	2017-02-15	USA	Homo sapiens
MH262323.1	HAdV-B/USA_NJ/6295/2017/P7H7F7	2017-02-16	USA	Homo sapiens
MH262324.1	HAdV-B/USA_NJ/6296/2017/P7H7F7	2017-02-09	USA	Homo sapiens
MH262325.1	HAdV-B/USA_PA/1200/2017/P7H7F7	2017-01-10	USA	Homo sapiens
MH262326.1	HAdV-B/USA_PA/1201/2017/P7H7F7	2017-01-11	USA	Homo sapiens
MG696128.1	None	2018-10-17	China	Homo sapiens
MG696129.1	None	2018-10-17	China	Homo sapiens
MG696130.1	None	2018-10-17	China	Homo sapiens
MG696131.1	None	2018-10-17	China	Homo sapiens
MG696132.1	None	2018-10-17	China	Homo sapiens
MG696133.1	None	2018-10-17	China	Homo sapiens
MG696134.1	None	2018-10-17	China	Homo sapiens
MG696135.1	None	2018-10-17	China	Homo sapiens
MG696136.1	None	2018-10-17	China	Homo sapiens
MG696137.1	None	2018-10-17	China	Homo sapiens
MG696138.1	None	2018-10-17	China	Homo sapiens
MG696139.1	None	2018-10-17	China	Homo sapiens
MG696140.1	None	2018-10-17	China	Homo sapiens
MG696141.1	None	2018-10-17	China	Homo sapiens
MG696142.1	None	2018-10-17	China	Homo sapiens
MG696143.1	None	2018-10-17	China	Homo sapiens
MG696144.1	None	2018-10-17	China	Homo sapiens
MG696145.1	None	2018-10-17	China	Homo sapiens
MG696146.1	None	2018-10-17	China	Homo sapiens
MG696147.1	None	2018-10-17	China	Homo sapiens
MG696148.1	None	2018-10-17	China	Homo sapiens
MG696149.1	None	2018-10-17	China	Homo sapiens
MG736303.1	None	2017-04-28	China	Homo sapiens
MG736304.1	None	2017-04-30	China	Homo sapiens
MG923581.1	hAdV/Saint-Petersburg/40/2013	2013-09-28	Russia: Saint Petersburg	Homo sapiens
MG923582.1	hAdV/Saint-Petersburg/43/2013	2013-09-16	Russia: Saint Petersburg	Homo sapiens
KP896479.1	Hubei/JZ01/2013	2013-02-25	China	Homo sapiens
KP896480.1	Shanxi/TY01/2013	2013-01-19	China	Homo sapiens
KP896481.1	Hubei/XF/2013	2013-01-18	China	Homo sapiens
KX897164.1	None	2015-XX-XX	China	Homo sapiens
KU361344.1	19BOVLB/Volgograd/Rus/2014	2014-03-19	Russia: Volgograd province	Homo sapiens
KT963081.1	CDC 2014012.949	2014-02-19	USA: Oregon	Homo sapiens
KP670855.2	human/CHN/GZ7015/2011/7[P7H7F7]	2011-07-08	China	Homo sapiens
KP670856.2	human/CHN/GZ6965/2011/7[P7H7F7]	2011-05-12	China	Homo sapiens
KP670857.1	human/CHN/GZ6784/2011/7[P7H7F7]	2011-03-09	China	Homo sapiens
KP670858.1	human/CHN/GZ6080/2010/7[P7H7F7]	2010-07-20	China	Homo sapiens
KP670859.1	human/CHN/GZ8987/2012/7[P7H7F7]	2012-08-04	China	Homo sapiens
KP670860.1	human/CHN/GZ8546/2012/7[P7H7F7]	2012-04-26	China	Homo sapiens
KP670861.1	human/CHN/GZ7052/2011/7[P7H7F7]	2011-08-08	China	Homo sapiens
KJ019879.1	XY6/XY/CHN/2013	2013-XX-XX	China	Homo sapiens
KJ019880.1	XY1/XY/CHN/2012	2012-XX-XX	China	Homo sapiens
KJ019881.1	L34/XY/CHN/2012	2012-XX-XX	China	Homo sapiens
KJ019882.1	K57/JM/CHN/2012	2012-XX-XX	China	Homo sapiens
KJ019883.1	K22/JM/CHN/2013	2013-XX-XX	China	Homo sapiens
KJ019884.1	CDC228/JM/CHN/2012	2012-XX-XX	China	Homo sapiens
KJ019885.1	H12/JM/CHN/2012	2012-XX-XX	China	Homo sapiens
KJ019886.1	H18/JM/CHN/2013	2013-XX-XX	China	Homo sapiens
KJ019887.1	JM11/JM/CHN/2013	2013-XX-XX	China	Homo sapiens
KJ019888.1	L14/XY/CHN/2012	2012-XX-XX	China	Homo sapiens
KC440171.1	human/CHN/DG01/2011/7[P7H7F7]	2011-03-06	China	Homo sapiens; cell-line A549
KC857700.1	HAdV B7 XZ2011-93	2012-01-25	China	Homo sapiens
KF268117.1	human/USA/UFL_Adv7d2-2/unknown/7[P7H7F7]	2013-08-26	USA: Iowa	Homo sapiens
KF268125.1	human/USA/CL_44/1988/7[P7H7F7]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
KF268134.1	human/USA/CL_43/1988/7[P7H7F7]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
KF268135.1	human/USA/UFL_Adv7d2-3/unknown/7[P7H7F7]	2013-08-26	USA: Iowa	Homo sapiens
KF268314.1	human/CHN/DG/2011/7[P7H7F7]	2011-03-05	China: Dongguan	Homo sapiens
KF268316.1	human/CHN/a238/2011/7[P7H7F7]	2011-10-08	China: Guangzhou	Homo sapiens; sex: F; age: 8M
KF429748.1	human/USA/Pitts_00102/1988/7[P7H7F7]	1988-XX-XX	USA: Pittsburgh, Pennsylvania	Homo sapiens
JX625134.1	None	2010-11-XX	China	Homo sapiens
JX423383.1	human/USA/ak35_AdV7d2/2006/7[P7H7F7]	2006-04-01	USA: Missouri	Homo sapiens
JX423387.1	human/USA/ak39_AdV7d2/1997/7[P7H7F7]	1997-09-01	USA: Illinios	Homo sapiens
JX423388.1	human/USA/ak40_AdV7b/1997/7[P7H7F7]	1997-08-01	USA: Illinios	Homo sapiens
JF800905.1	0901HZ/ShX/CHN/2009	2009-01-08	China: Shaanxi Province	Homo sapiens
JN860677.1	FS2154	2009-XX-XX	USA	Homo sapiens
HQ659699.1	gz07	2007-11-XX	China	Homo sapiens
GQ478341.1	GZ08	2008-02-01	China	Homo sapiens
AY601634.1	NHRC 1315	2006-05-10	USA: Illinois, NTC Great Lakes	None
AY594256.1	None	2006-05-10	None	None
AY594255.1	Gomen	2006-05-10	None	None
AC_000018.1	None	2018-08-13	None	None
AY495969.1	vaccine strain	2004-01-14	China	None
