virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,index,legible_gene_name
measles,,measles,polymerase,0.06964774897890218,0.00196299179496196,0.14772181745031096,"[0.00196299179496196, 0.14772181745031096]",2184,0.15211068376992237,0.004287174080196921,0.3226244493114791,Measles,Paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,3,L (Polymerase)
measles,,measles,receptor_binding,0.14887607811058914,0.0,0.46453696576620107,"[0.0, 0.46453696576620107]",618,0.0920054162723441,0.0,0.2870838448435123,Measles,Paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,5,H (Receptor Binding)
mumps,,mumps,polymerase,-0.0036394625647537962,-0.011686816009316748,0.016236636926292045,"[-0.011686816009316748, 0.016236636926292045]",2262,-0.008232464321473086,-0.026435577813074485,0.03672727272727261,Mumps,Paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,12,L (Polymerase)
mumps,,mumps,receptor_binding,0.01771219184348429,0.0,0.08375614421642087,"[0.0, 0.08375614421642087]",583,0.010326207844751342,0.0,0.04882983207817337,Mumps,Paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,14,HN (Receptor Binding)
parainfluenza,1,parainfluenza_1,polymerase,0.12455444892356664,0.021358519468912436,0.24969375959532172,"[0.021358519468912436, 0.24969375959532172]",2224,0.2770090944060122,0.047501347298861255,0.5553189213399955,Parainfluenza-1,Paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,18,L (Polymerase)
parainfluenza,3,parainfluenza_3,polymerase,0.01684405083900623,0.0,0.05182895451560882,"[0.0, 0.05182895451560882]",2234,0.03762960957433992,0.0,0.11578588438787012,Parainfluenza-3,Paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,18,L (Polymerase)
parainfluenza,1,parainfluenza_1,receptor_binding,0.5301824829604939,-0.08076133355131188,1.0682467463132916,"[-0.08076133355131188, 1.0682467463132916]",576,0.30538511018524445,-0.04651852812555564,0.6153101258764561,Parainfluenza-1,Paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,20,HN (Receptor Binding)
parainfluenza,3,parainfluenza_3,receptor_binding,0.0,0.0,0.0,"[0.0, 0.0]",573,0.0,0.0,0.0,Parainfluenza-3,Paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,20,HN (Receptor Binding)
h3n2,,h3n2,polymerase,0.3804195219421517,0.2019456795663166,0.587181685626881,"[0.2019456795663166, 0.587181685626881]",758,0.288357997632151,0.153074825111268,0.4450837177051758,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,21,PB1 (Polymerase)
h3n2,,h3n2,receptor_binding,3.9680178263073245,2.9588538202053436,4.99468539503025,"[2.9588538202053436, 4.99468539503025]",329,1.3054778648551097,0.9734629068475581,1.6432514949649522,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,23,HA1 (Receptor Binding)
