strain	strain_name	date	segment	country	host
LC124977.1	Influenza C virus (C/Taylor/1233/1947) NS1, NS2 genes for nonstructural protein 1, nonstructural protein 2, complete cds	1947-XX-XX	NS	USA	Homo sapiens LC124977.1
LC124978.1	Influenza C virus (C/Great Lakes/1167/1954) NS1, NS2 genes for nonstructural protein 1, nonstructural protein 2, complete cds	1954-XX-XX	NS	USA	Homo sapiens LC124978.1
LC124979.1	Influenza C virus (C/Johannesburg/1/66) NS1, NS2 genes for nonstructural protein 1, nonstructural protein 2, complete cds	1966-XX-XX	NS	South Africa	Homo sapiens LC124979.1
LC124980.1	Influenza C virus (C/Paris/1/67) NS1, NS2 genes for nonstructural protein 1, nonstructural protein 2, complete cds	1967-XX-XX	NS	France	Homo sapiens LC124980.1
LC124981.1	Influenza C virus (C/Georgia/1/69) NS1, NS2 genes for nonstructural protein 1, nonstructural protein 2, complete cds	1969-XX-XX	NS	USA	Homo sapiens LC124981.1
LC124982.1	Influenza C virus (C/Mississippi/80) NS1, NS2 genes for nonstructural protein 1, nonstructural protein 2, complete cds	1980-XX-XX	NS	USA	Homo sapiens LC124982.1
LC124998.1	Influenza C virus (C/Yamagata/26/2004) NS1, NS2 genes for nonstructural protein 1, nonstructural protein 2, complete cds	2004-05-28	NS	Japan	Homo sapiens LC124998.1
FR671425.1	Influenza C virus (C/JJ/1950) NS1 gene for nonstructural protein 1 and NEP/NS2 gene for nuclear export protein/nonstructural protein 2, genomic RNA	1950-XX-XX	NS		FR671425.1
AM410043.1	Influenza C virus (C/Johannesburg/1/66) segment 7, complete sequence, genomic RNA	1966-XX-XX	NS		AM410043.1
AB283001.1	Influenza C virus (C/Ann Arbor/1/50) genomic RNA, segment 7, complete sequence	1950-XX-XX	NS	USA	AB283001.1
AB099624.1	Influenza C virus (C/NewJersey/76) NS gene for nonstructural protein 1 (NS1), nonstructural protein 2 (NS2), complete cds	1976-XX-XX	NS		AB099624.1
AB099625.1	Influenza C virus (C/California/78) NS gene for nonstructural protein 1 (NS1), nonstructural protein 2 (NS2), complete cds	1978-XX-XX	NS		AB099625.1
AB099626.1	Influenza C virus (C/Kansas/1/79) NS gene for nonstructural protein 1 (NS1), nonstructural protein 2 (NS2), complete cds	1979-XX-XX	NS		AB099626.1
AB099627.1	Influenza C virus (C/Greece/79) NS gene for nonstructural protein 1 (NS1), nonstructural protein 2 (NS2), complete cds	1979-XX-XX	NS	Greece	AB099627.1
AB086796.1	Influenza C virus (C/Miyagi/7/93) NS1 and NS2 genes for nonstructural protein 1 and nonstructural protein 2, complete cds	1993-XX-XX	NS		AB086796.1
AB086801.1	Influenza C virus (C/Miyagi/4/96) NS1 and NS2 genes for nonstructural protein 1 and nonstructural protein 2, complete cds	1996-XX-XX	NS		AB086801.1
AB086803.1	Influenza C virus (C/Miyagi/7/96) NS1 and NS2 genes for nonstructural protein 1 and nonstructural protein 2, complete cds	1996-XX-XX	NS		AB086803.1
AB034155.1	Influenza C virus (strain:C/Yamagata/64) gene for NS1, NS2, complete cds	1964-XX-XX	NS		AB034155.1
AB034156.1	Influenza C virus (strain:C/Johannesburg/4/67) gene for NS1, NS2, complete cds	1967-XX-XX	NS		AB034156.1
AB034157.1	Influenza C virus (strain:C/Sapporo/71) gene for NS1, NS2, complete cds	1971-XX-XX	NS		AB034157.1
AB034158.1	Influenza C virus (strain:C/Aomori/74) gene for NS1, NS2, complete cds	1974-XX-XX	NS		AB034158.1
AB034159.1	Influenza C virus (strain:C/Kanagawa/1/76) gene for NS1, NS2, complete cds	1976-XX-XX	NS		AB034159.1
AB034160.1	Influenza C virus (strain:C/Miyagi/77) gene for NS1, NS2, complete cds	1977-XX-XX	NS		AB034160.1
AB034161.1	Influenza C virus (strain:C/Kyoto/1/79) gene for NS1, NS2, complete cds	1979-XX-XX	NS		AB034161.1
AB034162.1	Influenza C virus (strain:C/Aichi/1/81) gene for NS1, NS2, complete cds	1981-XX-XX	NS		AB034162.1
AB034165.1	Influenza C virus (strain:C/Nara/82) gene for NS1, NS2, complete cds	1982-XX-XX	NS		AB034165.1
AB034166.1	Influenza C virus (strain:C/Kyoto/41/82) gene for NS1, NS2, complete cds	1982-XX-XX	NS		AB034166.1
AB034167.1	Influenza C virus (strain:C/Hyogo/1/83) gene for NS1, NS2, complete cds	1983-XX-XX	NS		AB034167.1
M10087.1	Influenza C virus (STRAIN C/CALIFORNIA/78) segment 7 nonstructural protein gene, complete cds	1978-XX-XX	NS		M10087.1
M14881.1	Influenza C/Taylor/1233/47 nonstructural proteins 1 and 2 RNA (seg 8), 3' end	1947-XX-XX	NS		M14881.1
M15089.1	Influenza C/Great Lakes/1167/54 nonstructural proteins 1 and 2 RNA (seg 8), 3' end	1954-XX-XX	NS		M15089.1
M15090.1	Influenza C/Johannesburg/1/66 nonstructural proteins 1 and 2 RNA (seg 8), 3' end	1966-XX-XX	NS		M15090.1
M31007.1	Influenza C virus (STRAIN C/MISSISSIPPI/80) segment 7 nonstructural protein 2 and nonstructural protein 1 genes, partial cds	1980-XX-XX	NS		M31007.1
