strain	strain_name	date	segment	country	host
LC720286.1	Influenza C virus C/Fukushima/O181/2018 viral cRNA, segment 6, nearly complete sequence	2018-XX-XX	M	Japan	Homo sapiens LC720286.1
MH828689.1	Influenza C virus (C/Vietnam/1290/2014) segment 6 matrix protein 1 (M1) and CM2 protein (CM2) genes, complete cds	2014-04-16	M	Viet Nam	Homo sapiens MH828689.1
MZ330882.1	Influenza C virus (C/Biliran/TB2-162/2014) segment 6 matrix protein 1 (M1) and CM2 protein (CM2) genes, complete cds	2014-06-25	M	Philippines	Homo sapiens MZ330882.1
MZ330889.1	Influenza C virus (C/Biliran/TB2-180/2014) segment 6 matrix protein 1 (M1) and CM2 protein (CM2) genes, complete cds	2014-07-07	M	Philippines	Homo sapiens MZ330889.1
MZ330896.1	Influenza C virus (C/Biliran/TB2-204/2014) segment 6 matrix protein 1 (M1) and CM2 protein (CM2) genes, complete cds	2014-07-24	M	Philippines	Homo sapiens MZ330896.1
MZ330903.1	Influenza C virus (C/Biliran/TB2-293/2014) segment 6 matrix protein 1 (M1) and CM2 protein (CM2) genes, complete cds	2014-10-02	M	Philippines	Homo sapiens MZ330903.1
MZ330910.1	Influenza C virus (C/Biliran/TB4-024/2017) segment 6 matrix protein 1 (M1) and CM2 protein (CM2) genes, complete cds	2017-05-16	M	Philippines	Homo sapiens MZ330910.1
MZ330917.1	Influenza C virus (C/Biliran/TB4-067/2017) segment 6 matrix protein 1 (M1) and CM2 protein (CM2) genes, complete cds	2017-06-15	M	Philippines	Homo sapiens MZ330917.1
MZ330924.1	Influenza C virus (C/Biliran/TB4-130/2018) segment 6 matrix protein 1 (M1) and CM2 protein (CM2) genes, complete cds	2018-03-27	M	Philippines	Homo sapiens MZ330924.1
MZ330931.1	Influenza C virus (C/Biliran/TB4-169/2018) segment 6 matrix protein 1 (M1) and CM2 protein (CM2) genes, complete cds	2018-04-24	M	Philippines	Homo sapiens MZ330931.1
MZ330938.1	Influenza C virus (C/Biliran/TB4-271/2019) segment 6 matrix protein 1 (M1) and CM2 protein (CM2) genes, complete cds	2019-07-08	M	Philippines	Homo sapiens MZ330938.1
MZ330945.1	Influenza C virus (C/Biliran/TB5-195/2014) segment 6 matrix protein 1 (M1) and CM2 protein (CM2) genes, complete cds	2014-06-02	M	Philippines	Homo sapiens MZ330945.1
