strain	strain_name	date	country	host	genotype	subgenotype
MW845286	None	2022-10-29	Germany	Homo sapiens	B	None
MW845287	None	2022-10-29	Brazil	Homo sapiens	B	None
MW845288	None	2022-10-29	Brazil	Homo sapiens	B	None
MW845289	None	2022-10-29	Brazil	Homo sapiens	B	None
MW845290	None	2022-10-29	Germany	Homo sapiens	B	None
MW845291	None	2022-10-29	Germany	Homo sapiens	B	None
MW845292	None	2022-10-29	Germany	Homo sapiens	B	None
MW845293	None	2022-10-29	Germany	Homo sapiens	B	None
MW845294	None	2022-10-29	Germany	Homo sapiens	B	None
MW845295	None	2022-10-29	Germany	Homo sapiens	B	None
MW845296	None	2022-10-29	Germany	Homo sapiens	B	None
MW845297	None	2022-10-29	Germany	Homo sapiens	B	None
MW845298	None	2022-10-29	Germany	Homo sapiens	B	None
MW845299	None	2022-10-29	Germany	Homo sapiens	B	None
MW845300	None	2022-10-29	Germany	Homo sapiens	B	None
MW845301	None	2022-10-29	Germany	Homo sapiens	B	None
MW845302	None	2022-10-29	Germany	Homo sapiens	B	None
MW845303	None	2022-10-29	Germany	Homo sapiens	B	None
MW845304	None	2022-10-29	Germany	Homo sapiens	B	None
MW845305	None	2022-10-29	Germany	Homo sapiens	B	None
MW845306	None	2022-10-29	United Kingdom	Homo sapiens	B	None
MW845307	None	2022-10-29	United Kingdom	Homo sapiens	B	None
MW845308	None	2022-10-29	United Kingdom	Homo sapiens	B	None
MW845309	None	2022-10-29	United Kingdom	Homo sapiens	B	None
MW845310	None	2022-10-29	United Kingdom	Homo sapiens	B	None
MW845311	None	2022-10-29	United Kingdom	Homo sapiens	B	None
MW845312	None	2022-10-29	United Kingdom	Homo sapiens	B	None
MZ934423	None	2020-10-01	China	Homo sapiens	B	None
MZ934426	None	2020-10-01	China	Homo sapiens	B	None
MZ934427	None	2020-10-01	China	Homo sapiens	B	None
MZ934428	None	2020-10-01	China	Homo sapiens	B	None
MZ934429	None	2020-10-01	China	Homo sapiens	B	None
MZ934430	None	2020-10-01	China	Homo sapiens	B	None
MZ934435	None	2020-10-01	China	Homo sapiens	B	None
MZ934436	None	2020-10-01	China	Homo sapiens	B	None
MZ934437	None	2020-10-01	China	Homo sapiens	B	None
MZ934438	None	2020-10-01	China	Homo sapiens	B	None
MZ934439	None	2020-10-01	China	Homo sapiens	B	None
MZ934440	None	2020-10-01	China	Homo sapiens	B	None
MW847940	None	1998-04-06	Australia	Homo sapiens	B	None
MW847941	None	2003-01-29	Australia	Homo sapiens	B	None
MW847943	None	2004-05-20	Australia	Homo sapiens	B	None
MW497299	None	2020-10-01	China	Homo sapiens	B	None
OM669567	59	2015-XX-XX	China	Homo sapiens	B	None
OM669568	697	2016-XX-XX	China	Homo sapiens	B	None
OM669569	444	2016-XX-XX	China	Homo sapiens	B	None
OM669570	C100	2014-XX-XX	China	Homo sapiens	B	None
OM669571	C101	2014-XX-XX	China	Homo sapiens	B	None
OM669572	C117	2014-XX-XX	China	Homo sapiens	B	None
OM669573	C130	2014-XX-XX	China	Homo sapiens	B	None
OM669574	C132	2014-XX-XX	China	Homo sapiens	B	None
OM669575	C136	2014-XX-XX	China	Homo sapiens	B	None
OM669576	C138	2014-XX-XX	China	Homo sapiens	B	None
OM669577	C144	2014-XX-XX	China	Homo sapiens	B	None
OM669578	C147	2014-XX-XX	China	Homo sapiens	B	None
OM669579	C150	2014-XX-XX	China	Homo sapiens	B	None
OM669580	C156	2014-XX-XX	China	Homo sapiens	B	None
OM669581	C164	2014-XX-XX	China	Homo sapiens	B	None
OM669582	C175	2014-XX-XX	China	Homo sapiens	B	None
OM669583	C185	2014-XX-XX	China	Homo sapiens	B	None
OM669584	C19	2014-XX-XX	China	Homo sapiens	B	None
OM669585	C193	2014-XX-XX	China	Homo sapiens	B	None
OM669586	C195	2014-XX-XX	China	Homo sapiens	B	None
OM669587	C205	2014-XX-XX	China	Homo sapiens	B	None
OM669588	C210	2014-XX-XX	China	Homo sapiens	B	None
OM669589	C22	2014-XX-XX	China	Homo sapiens	B	None
OM669590	c27	2014-XX-XX	China	Homo sapiens	B	None
OM669591	C30	2014-XX-XX	China	Homo sapiens	B	None
OM669592	C31	2014-XX-XX	China	Homo sapiens	B	None
OM669593	C33	2014-XX-XX	China	Homo sapiens	B	None
OM669594	C34	2014-XX-XX	China	Homo sapiens	B	None
OM669595	C35	2014-XX-XX	China	Homo sapiens	B	None
OM669596	C37	2014-XX-XX	China	Homo sapiens	B	None
OM669597	C39	2014-XX-XX	China	Homo sapiens	B	None
OM669598	C52	2014-XX-XX	China	Homo sapiens	B	None
OM669599	C62	2014-XX-XX	China	Homo sapiens	B	None
OM669600	C66	2014-XX-XX	China	Homo sapiens	B	None
OM669601	C664	2016-XX-XX	China	Homo sapiens	B	None
OM669602	C71	2014-XX-XX	China	Homo sapiens	B	None
OM669603	C73	2014-XX-XX	China	Homo sapiens	B	None
OM669604	C80	2014-XX-XX	China	Homo sapiens	B	None
OM669605	C84	2015-XX-XX	China	Homo sapiens	B	None
OM669606	C89	2014-XX-XX	China	Homo sapiens	B	None
OM669607	C90	2014-XX-XX	China	Homo sapiens	B	None
OM669608	LQ10	2017-XX-XX	China	Homo sapiens	B	None
OM669609	LQ17	2017-XX-XX	China	Homo sapiens	B	None
OM669610	LQ19	2017-XX-XX	China	Homo sapiens	B	None
OM669611	LQ21	2017-XX-XX	China	Homo sapiens	B	None
OM669612	lq23	2017-XX-XX	China	Homo sapiens	B	None
OM669613	LQ26	2017-XX-XX	China	Homo sapiens	B	None
OM669614	LQ27	2017-XX-XX	China	Homo sapiens	B	None
OM669615	LQ31	2017-XX-XX	China	Homo sapiens	B	None
OM669616	LQ41	2017-XX-XX	China	Homo sapiens	B	None
OM669617	LQ43	2017-XX-XX	China	Homo sapiens	B	None
OM669618	LQ6	2017-XX-XX	China	Homo sapiens	B	None
