strain	strain_name	date	country	host	genotype	subgenotype
LC730886	N009	2013-11-05	Japan: Saitama	Homo sapiens	C	C2
MZ934422	None	2020-10-01	China	Homo sapiens	C	None
MZ934424	None	2020-10-01	China	Homo sapiens	C	None
MZ934425	None	2020-10-01	China	Homo sapiens	C	None
MZ934431	None	2020-10-01	China	Homo sapiens	C	None
MZ934432	None	2020-10-01	China	Homo sapiens	C	None
MZ934433	None	2020-10-01	China	Homo sapiens	C	None
MZ934434	None	2020-10-01	China	Homo sapiens	C	None
MW847942	None	2004-04-01	Australia	Homo sapiens	C	None
MW755445	None	2020-10-01	China	Homo sapiens	C	None
OL780537	None	2020-10-01	China	Homo sapiens	C	None
MW675885	None	1989-XX-XX	Australia	Homo sapiens	C	C13
MW675886	None	1989-XX-XX	Australia	Homo sapiens	C	C14
MW675887	None	1989-XX-XX	Australia	Homo sapiens	C	C13
MW675888	None	1989-XX-XX	Australia	Homo sapiens	C	C14
MW675889	None	1989-XX-XX	Australia	Homo sapiens	C	C14
MW675890	None	1989-XX-XX	Australia	Homo sapiens	C	C14
MW675891	None	1989-XX-XX	Australia	Homo sapiens	C	C14
MW675892	None	1989-XX-XX	Australia	Homo sapiens	C	C14
MW675893	None	1989-XX-XX	Australia	Homo sapiens	C	C14
MW675894	None	1989-XX-XX	Australia	Homo sapiens	C	C14
MW675895	None	1989-XX-XX	Australia	Homo sapiens	C	C14
MW675896	None	1989-XX-XX	Australia	Homo sapiens	C	C12
MW887641	None	2022-05-10	Brazil	Homo sapiens	C	None
MW887642	None	2022-05-10	Brazil	Homo sapiens	C	None
MW887643	None	2022-05-10	Germany	Homo sapiens	C	None
MW887644	None	2022-05-10	Germany	Homo sapiens	C	None
MW887645	None	2022-05-10	Germany	Homo sapiens	C	None
MW887646	None	2022-05-10	Germany	Homo sapiens	C	None
MW887647	None	2022-05-10	Germany	Homo sapiens	C	None
MW887648	None	2022-05-10	Germany	Homo sapiens	C	None
MW887649	None	2022-05-10	Germany	Homo sapiens	C	None
MW887650	None	2022-05-10	Germany	Homo sapiens	C	None
MW887651	None	2022-05-10	Germany	Homo sapiens	C	None
MW887652	None	2022-05-10	United Kingdom	Homo sapiens	C	None
OM669628	C105	2014-XX-XX	China	Homo sapiens	C	None
OM669629	C111	2014-XX-XX	China	Homo sapiens	C	None
OM669630	C181	2014-XX-XX	China	Homo sapiens	C	None
OM669631	C182	2014-XX-XX	China	Homo sapiens	C	None
OM669632	C20	2014-XX-XX	China	Homo sapiens	C	None
OM669633	C21	2014-XX-XX	China	Homo sapiens	C	None
