strain	strain_name	date	country	host	genotype	subgenotype
ON585703	None	2018-11-23	Brazil: Novo Horizonte, RO	Homo sapiens	D	D3
ON585704	None	2018-11-28	Brazil: Guajara Mirim, RO	Homo sapiens	D	D3
OM025254	None	2021-XX-XX	Russia: Tyva Republic	Homo sapiens	D	None
OK143467	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143468	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143469	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143470	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	D	D2
OK143471	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143472	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D2
OK143473	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143474	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	D	D2
OK143475	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D1
OK143476	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143479	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143480	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	D	D3
OK143485	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	D	D3
OK143486	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143487	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D2
OK143488	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143489	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	D	D2
OK143490	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	D	D2
OK143491	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
OK143493	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D1
OK143494	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	D	D3
OK143496	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	D	D2
OK143497	None	2008-XX-XX	Russia: Moscow	Homo sapiens	D	D3
MW675897	None	1989-XX-XX	Australia	Homo sapiens	D	D4
MW675898	None	1989-XX-XX	Australia	Homo sapiens	D	D3
MZ097624	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097625	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097626	None	2022-05-10	Brazil	Homo sapiens	D	None
MZ097627	None	2022-05-10	Brazil	Homo sapiens	D	None
MZ097628	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097629	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097630	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097631	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097632	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097633	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097634	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097635	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097636	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097637	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097638	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097639	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097640	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097641	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097642	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097643	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097644	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097645	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097646	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097647	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097648	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097649	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097650	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097651	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097652	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097653	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097654	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097655	None	2022-05-10	Germany	Homo sapiens	D	None
MZ097656	None	2022-05-10	Germany	Homo sapiens	D	None
