strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
GU189553	R479	2004-12-XX	3	M	Ireland	G1_G4_P[6]_I5_R1_C1_M1_A1_N1_T7_E1_H1_mixed_genotype	M1
FJ747627	GER172_08	2008-07-XX	3	M	Germany	G12_P[6]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
FJ747615	GER126_08	2008-04-XX	3	M	Germany	Gx_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
GU199505	RVA/Human_wt/BGD/Matlab36/2002/G11P[8]	2002-08-22	3	M	Bangladesh	G11_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
EF560706	RVA/Human_wt/BGD/Dhaka6/2001/G11P[25]	2001-07-01	3	M	Bangladesh	G11_P[25]_I1_R1_C1_M1_A1_N1_T1_Ex_H1	M1
EU984105	0613158_CA	2006-05-XX	3	M	India	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
GU199494	RVA/Human_wt/NPL/KTM368/2004/G11P[25]	2004-04-XX	3	M	Nepal	G11_P[25]_I12_R1_C1_M1_A1_N1_T1_E1_H1	M1
HQ670641	MMC71	2005-11-XX	3	M	Bangladesh	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
HQ670634	MMC38	2005-04-XX	3	M	Bangladesh	G9_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
JQ087436	RVA/Human_tc/CHN/R588/2005/G1P[8]	2005-06-XX	3	M	China	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
JQ087425	RVA/Human_tc/CHN/Y128/2004/G1P[8]	2004-11-XX	3	M	China	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
JQ087447	RVA/Human_tc/E1911/2009/G1P[8]	2009-11-XX	3	M	China	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
AB714260	Vietnam/163/G10P[8]	2008-05-XX	3	M	Viet_Nam	G10_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
JX509937	ZTR_68/CHN/2010/G1P[8]	2010-11-12	3	M	China	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
AB741651	Ryukyu_1120	2011-11-XX	3	M	Japan	G5_P[6]_I5_R1_C1_M1_A8_N1_T1_E1_H1	M1
KF636203	RVA/Human_wt/ZAF/MRC_DPRU2030/2010/G1P[8]	2010-07-12	3	M	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF636225	RVA/Human_wt/ZAF/MRC_DPRU1262/2004/G1P[8]	2004-06-01	3	M	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF636236	RVA/Human_wt/ZAF/MRC_DPRU2035/2010/G1P[8]	2010-07-19	3	M	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF636192	RVA/Human_wt/ZAF/MRC_DPRU1492/2010/G1P[8]	2010-06-16	3	M	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF636181	RVA/Human_wt/ZAF/MRC_DPRU2061/2010/G1P[8]	2010-08-10	3	M	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF636148	RVA/Human_wt/ZMB/MRC_DPRU3491/2009/G12P[6]	2009-09-08	3	M	Zambia	G12_P[6]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF636335	RVA/Human_wt/ZAF/MRC_DPRU1289/2007/G1P[8]	2007-04-27	3	M	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF636269	RVA/Human_wt/ZAF/MRC_DPRU2330/2009/G1P[8]	2009-06-22	3	M	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF636280	RVA/Human_wt/ZAF/MRC_DPRU2052/2010/G1P[8]	2010-08-05	3	M	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF636159	RVA/Human_wt/ZAF/MRC_DPRU2325/2009/G1P[8]	2009-06-19	3	M	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF636214	RVA/Human_wt/ZAF/MRC_DPRU1544/2010/G1P[8]	2010-07-25	3	M	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF636170	RVA/Human_wt/ZAF/MRC_DPRU2306/2009/G1P[8]	2009-06-09	3	M	South_Africa	G1_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KC412047	RVA/Human_wt/ARG/Arg4671/2006/G4P6	2006-04-14	3	M	Argentina	Gx_P[6]_I1_R1_C1_M1_A8_N1_T1_E1_H1	M1
KC412046	RVA/Human_wt/ARG/Arg4605/2006/G4P6	2006-01-12	3	M	Argentina	Gx_P[6]_I1_R1_C1_M1_A8_N1_T7_E1_H1	M1
KF371864	RVA/Human_wt/CHN/E2461/2011/G3P[8]	2011-01-09	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371853	RVA/Human_wt/CHN/E2432/2010/G3P[8]	2010-12-12	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371928	RVA/Human_wt/CHN/R1267/2006/G3P[8]	2006-09-21	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371820	RVA/Human_wt/CHN/E2000/2010/G3P[8]	2010-02-01	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371776	RVA/Human_wt/CHN/E956/2008/G3P[8]	2008-02-25	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371754	RVA/Human_wt/CHN/E329/2007/G3P[8]	2007-06-18	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371961	RVA/Human_wt/CHN/R107/2003/G3P[8]	2003-11-26	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371787	RVA/Human_wt/CHN/E1367/2008/G3P[8]	2008-10-21	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371743	RVA/Human_wt/CHN/E093/2007/G3P[8]	2007-03-13	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371950	RVA/Human_wt/CHN/L1450/2012/G3P[8]	2012-01-01	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371939	RVA/Human_wt/CHN/L1621/2013/G3P[8]	2013-03-02	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371809	RVA/Human_wt/CHN/E1861/2009/G3P[8]	2009-10-19	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371917	RVA/Human_wt/CHN/L1066/2009/G3P[8]	2009-02-08	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371710	RVA/Human_wt/CHN/31/2002/G3P[8]	2002-09-XX	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371875	RVA/Human_wt/CHN/E2835/2011/G3P[8]	2011-11-XX	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF372016	RVA/Human_wt/CHN/Z1602/2012/G3P[8]	2012-01-11	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371669	RVA/Human_tc/CHN/E566/2007/G3P[8]	2007-09-03	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371972	RVA/Human_wt/CHN/R303/2004/G3P[8]	2004-01-05	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371983	RVA/Human_wt/CHN/R1604/2011/G3P[8]	2011-01-19	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371886	RVA/Human_wt/CHN/E3239/2012/G3P[8]	2012-09-XX	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371700	RVA/Human_tc/CHN/Y111/2004/G3P[8]	2004-10-26	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371732	RVA/Human_wt/CHN/A16/2000/G3P[8]	2000-12-20	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371798	RVA/Human_wt/CHN/E1857/2009/G3P[8]	2009-10-12	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371842	RVA/Human_wt/CHN/E2422/2010/G3P[8]	2010-12-07	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371831	RVA/Human_wt/CHN/E2421/2010/G3P[8]	2010-12-07	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371765	RVA/Human_wt/CHN/E707/2007/G3P[8]	2007-10-18	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371897	RVA/Human_wt/CHN/L210/2005/G3P[8]	2005-02-07	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371721	RVA/Human_wt/CHN/723/2003/G3P[8]	2003-01-31	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371679	RVA/Human_tc/CHN/L148/2004/G3P[8]	2004-12-02	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371690	RVA/Human_tc/CHN/R709/2005/G3P[8]	2005-08-10	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371994	RVA/Human_wt/CHN/Y106/2004/G3P[8]	2004-10-21	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
KF371907	RVA/Human_wt/CHN/L478/2006/G3P[8]	2006-01-06	3	M	China	G3_P[8]_I1_R1_C1_M1_A1_N1_T1_E1_H1	M1
