strain	strain_name	date	segment_num	segment_name	country	full_genotype	genotype_group
FJ915088	Omsk07_217	2007-09-XX	10	E	Russia	Gx_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465036	Nov09_D58	2009-02-XX	10	E	Russia	G1_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465012	Nov05_701	2005-10-XX	10	E	Russia	Gx_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465017	Nov06_1358	2006-07-XX	10	E	Russia	Gx_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465026	Nov09_B34	2009-03-XX	10	E	Russia	Gx_P[x]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465032	Nov09_D23	2009-01-XX	10	E	Russia	G3_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465013	Nov05_K25	2005-10-XX	10	E	Russia	Gx_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465022	Omsk08_351	2008-03-XX	10	E	Russia	G1_P[8]_Ix_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465021	Omsk08_350	2008-03-XX	10	E	Russia	G1_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465011	Nov05_688	2005-11-XX	10	E	Russia	Gx_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465028	Nov09_B56	2009-05-XX	10	E	Russia	Gx_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GU592516	Nov09_D67	2009-02-XX	10	E	Russia	Gx_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
EU839969	SK423	2005-12-XX	10	E	Bangladesh	G12_P[6]_I1_Rx_Cx_Mx_A1_N1_T1_E1_H1	E1
GQ465035	Nov09_D57	2009-02-XX	10	E	Russia	Gx_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
FJ915085	Omsk07_7	2007-02-XX	10	E	Russia	G1_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465016	Nov06_1195	2006-06-XX	10	E	Russia	G9_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465025	Nov09_B28	2009-03-XX	10	E	Russia	Gx_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465031	Nov09_D10	2009-01-XX	10	E	Russia	G9_P[x]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GU189558	R479	2004-12-XX	10	E	Ireland	G1_G4_P[6]_I5_R1_C1_M1_A1_N1_T7_E1_H1_mixed_genotype	E1
FJ685615	NIV929893	1992-07-XX	10	E	India	G1_P[19]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465019	Nov08_3404	2008-05-XX	10	E	Russia	Gx_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
GQ465010	Nov05_650	2005-10-XX	10	E	Russia	Gx_P[8]_I1_Rx_Cx_Mx_Ax_Nx_Tx_E1_Hx	E1
