strain	strain_name	segment	date	host	country	subtype	virus
JX069801	RSVA/human/USA/A1998-03-02/1998	NA	1998-03-02	Human	USA	NA	Human_orthopneumovirus
JF920065	A/WI/629_4071/98	NA	1998-01-09	Human	USA	NA	Human_orthopneumovirus
JX069800	RSVA/human/USA/A1997_12_35/1997	NA	1997-12-22	Human	USA	NA	Human_orthopneumovirus
JF920062	A/WI/629_3248/98	NA	1998-01-06	Human	USA	NA	Human_orthopneumovirus
KP258743	RSVA/Homo_sapiens/USA/98E_027_01/1998-XX-XX	NA	1998-XX-XX	Human	USA	NA	Human_orthopneumovirus
OK649658	HRSV/A/Canada/CAN885/1995-XX-XX	NA	1995-XX-XX	Human	Canada	NA	Human_orthopneumovirus
OK649678	HRSV/A/Texas.USA/79303/2005-XX-XX	NA	2005-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316142	RSVA/Homo_sapiens/USA/83I_026A_01_01/1982-XX-XX	NA	1982-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316148	RSVA/Homo_sapiens/USA/84E_072_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316166	RSVA/Homo_sapiens/USA/81G_411_01/1977-XX-XX	NA	1977-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642056	RSVA/Homo_sapiens/USA/MCRSV_229/1982-XX-XX	NA	1982-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642081	RSVA/Homo_sapiens/USA/MCRSV_235/1982-XX-XX	NA	1982-XX-XX	Human	USA	NA	Human_orthopneumovirus
MG642026	RSVA/Homo_sapiens/USA/MCRSV_233/1982-XX-XX	NA	1982-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316126	RSVA/Homo_sapiens/USA/84E_039_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258700	RSVA/Homo_sapiens/USA/85E_107_01/1985-XX-XX	NA	1985-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316167	RSVA/Homo_sapiens/USA/85I_040A_01_01/1985-XX-XX	NA	1985-XX-XX	Human	USA	NA	Human_orthopneumovirus
KU316110	RSVA/Homo_sapiens/USA/84I_220A_01_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	NA	Human_orthopneumovirus
KP258737	RSVA/Homo_sapiens/USA/84E_016_01/1984-XX-XX	NA	1984-XX-XX	Human	USA	NA	Human_orthopneumovirus
