virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,index,legible_gene_name
measles,,measles,polymerase,0.0575487800298229,0.0,0.1164107567666837,"[0.0, 0.11641075676668375]",2184,0.1256865355851333,0.0,0.2542410927784373,Measles,Paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,60,L (Polymerase)
mumps,,mumps,polymerase,0.0022548811565268,0.0,0.0105218660777989,"[0.0, 0.010521866077798902]",2262,0.0051005411760637,0.0,0.0238004610679811,Mumps,Paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,54,L (Polymerase)
parainfluenza,1,parainfluenza_1,polymerase,0.0405513035701478,-0.0350957383969251,0.0957949062906654,"[-0.03509573839692516, 0.09579490629066545]",2224,0.0901860991400088,-0.0780529221947615,0.2130478715904399,Parainfluenza-1,Paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,51,L (Polymerase)
parainfluenza,3,parainfluenza_3,polymerase,0.0,0.0,0.0,"[0.0, 0.0]",2234,0.0,0.0,0.0,Parainfluenza-3,Paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,51,L (Polymerase)
h3n2,,h3n2,polymerase,0.3766366936727955,0.2169981827433277,0.558040146880419,"[0.21699818274332774, 0.558040146880419]",758,0.285490613803979,0.1644846225194424,0.4229944313353576,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0,PB1 (Polymerase)
h1n1pdm,,h1n1pdm,polymerase,0.0,0.0,0.0,"[0.0, 0.0]",758,0.0,0.0,0.0,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,63,PB1 (Polymerase)
vic,,vic,polymerase,0.1522173136623556,-0.004738925562235,0.3519768196890038,"[-0.0047389255622350196, 0.3519768196890038]",753,0.1146196371877538,-0.0035684109483629,0.2650385452258199,Influenza B/Vic,Orthomyxovirus,#E06E85,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,33,PB1 (Polymerase)
yam,,yam,polymerase,0.1039120680677839,0.0047739486528595,0.2503842413203637,"[0.004773948652859584, 0.25038424132036374]",753,0.0782457872550413,0.0035947833356032,0.1885393337142339,Influenza B/Yam,Orthomyxovirus,#ED9AB0,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,42,PB1 (Polymerase)
influenzaC,Yamagata,influenzaC_Yamagata,polymerase,0.1082626016738838,0.0,0.2571311414696594,"[0.0, 0.25713114146965943]",755,0.0817382642637822,0.0,0.1941340118095928,Influenza C/Yamagata,Orthomyxovirus,#eb0076,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,3,PB1 (Polymerase)
oc43,A,oc43_A,polymerase,0.0406166982386654,0.0,0.1327245440144168,"[0.0, 0.1327245440144168]",928,0.0376922959654815,0.0,0.1231683768453787,OC43-A,Coronavirus,#208288,RNA,Positive-sense RNA,True,Respiratory,Sialic acid,Class I,39,RdRp (Polymerase)
