virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,index,legible_gene_name
measles,,measles,polymerase,0.06964774897890218,0.00196299179496196,0.14772181745031096,"[0.00196299179496196, 0.14772181745031096]",2184,0.15211068376992237,0.004287174080196921,0.3226244493114791,Measles,Paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,66,L (Polymerase)
measles,,measles,membrane_fusion,0.03412723421062971,0.0,0.12664729613010564,"[0.0, 0.12664729613010564]",551,0.01880410605005697,0.0,0.0697826601676882,Measles,Paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,67,F (Membrane Fusion)
measles,,measles,receptor_binding,0.14887607811058914,0.0,0.46453696576620107,"[0.0, 0.46453696576620107]",618,0.0920054162723441,0.0,0.2870838448435123,Measles,Paramyxovirus,#F5AD52,RNA,Negative-sense RNA,True,Respiratory,"SLAMF1, Nectin-4",Class I,68,H (Receptor Binding)
mumps,,mumps,polymerase,-0.0036394625647537962,-0.011686816009316748,0.016236636926292045,"[-0.011686816009316748, 0.016236636926292045]",2262,-0.008232464321473086,-0.026435577813074485,0.03672727272727261,Mumps,Paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,51,L (Polymerase)
mumps,,mumps,membrane_fusion,0.1855287569573284,0.0,0.5565862708719852,"[0.0, 0.5565862708719852]",539,0.10000000000000002,0.0,0.3,Mumps,Paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,52,F (Membrane Fusion)
mumps,,mumps,receptor_binding,0.01771219184348429,0.0,0.08375614421642087,"[0.0, 0.08375614421642087]",583,0.010326207844751342,0.0,0.04882983207817337,Mumps,Paramyxovirus,#eb520d,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,53,HN (Receptor Binding)
parainfluenza,1,parainfluenza_1,polymerase,0.12455444892356664,0.021358519468912436,0.24969375959532172,"[0.021358519468912436, 0.24969375959532172]",2224,0.2770090944060122,0.047501347298861255,0.5553189213399955,Parainfluenza-1,Paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,12,L (Polymerase)
parainfluenza,3,parainfluenza_3,polymerase,0.01684405083900623,0.0,0.05182895451560882,"[0.0, 0.05182895451560882]",2234,0.03762960957433992,0.0,0.11578588438787012,Parainfluenza-3,Paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,12,L (Polymerase)
parainfluenza,1,parainfluenza_1,membrane_fusion,0.23369647795520732,-0.02081682107895973,0.5410301047679817,"[-0.02081682107895973, 0.5410301047679817]",556,0.1299352417430953,-0.01157415251990161,0.3008127382509978,Parainfluenza-1,Paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,13,F (Membrane Fusion)
parainfluenza,3,parainfluenza_3,membrane_fusion,0.08737472821571152,0.0,0.2843842907782046,"[0.0, 0.2843842907782046]",540,0.04718235323648422,0.0,0.15356751702023047,Parainfluenza-3,Paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,13,F (Membrane Fusion)
parainfluenza,1,parainfluenza_1,receptor_binding,0.5301824829604939,-0.08076133355131188,1.0682467463132916,"[-0.08076133355131188, 1.0682467463132916]",576,0.30538511018524445,-0.04651852812555564,0.6153101258764561,Parainfluenza-1,Paramyxovirus,#ff9000,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,14,HN (Receptor Binding)
parainfluenza,3,parainfluenza_3,receptor_binding,0.0,0.0,0.0,"[0.0, 0.0]",573,0.0,0.0,0.0,Parainfluenza-3,Paramyxovirus,#ffb24e,RNA,Negative-sense RNA,True,Respiratory,Sialic acid,Class I,14,HN (Receptor Binding)
h3n2,,h3n2,polymerase,0.3804195219421517,0.2019456795663166,0.587181685626881,"[0.2019456795663166, 0.587181685626881]",758,0.288357997632151,0.153074825111268,0.4450837177051758,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,0,PB1 (Polymerase)
h3n2,,h3n2,membrane_fusion,1.0497908687777266,0.5150513839070636,1.728545760743127,"[0.5150513839070636, 1.728545760743127]",221,0.2320037819998776,0.11382635584346106,0.382008613124231,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,1,HA2 (Membrane Fusion)
h3n2,,h3n2,receptor_binding,3.9680178263073245,2.9588538202053436,4.99468539503025,"[2.9588538202053436, 4.99468539503025]",329,1.3054778648551097,0.9734629068475581,1.6432514949649522,Influenza A/H3N2,Orthomyxovirus,#9F2A44,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,2,HA1 (Receptor Binding)
h1n1pdm,,h1n1pdm,polymerase,0.2579977225161696,0.00011188686378259515,0.5514758267754997,"[0.00011188686378259515, 0.5514758267754997]",758,0.19556227366725656,8.481024274720712e-05,0.4180186766958287,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,15,PB1 (Polymerase)
h1n1pdm,,h1n1pdm,membrane_fusion,0.5689255351836264,0.0,2.022570696989094,"[0.0, 2.022570696989094]",222,0.12630146881076507,0.0,0.44901069473157884,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,16,HA2 (Membrane Fusion)
h1n1pdm,,h1n1pdm,receptor_binding,3.219679667857635,1.4684420732961403,6.400207020752558,"[1.4684420732961403, 6.400207020752558]",327,1.0528352513894468,0.4801805579678379,2.0928676957860866,Influenza A/H1N1pdm,Orthomyxovirus,#CC415A,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,17,HA1 (Receptor Binding)
vic,,vic,polymerase,0.15156925192387774,0.0023655998857976504,0.31541866857078404,"[0.0023655998857976504, 0.31541866857078404]",753,0.11413164669867995,0.0017812967140056308,0.2375102574338004,Influenza B/Vic,Orthomyxovirus,#E06E85,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,30,PB1 (Polymerase)
vic,,vic,membrane_fusion,0.44745108872105754,0.11805571654382999,1.032398870972455,"[0.11805571654382999, 1.032398870972455]",225,0.10067649496223795,0.026562536222361745,0.2322897459688024,Influenza B/Vic,Orthomyxovirus,#E06E85,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,31,HA2 (Membrane Fusion)
vic,,vic,receptor_binding,1.1534834193373809,0.5371777048905576,1.7054541798505731,"[0.5371777048905576, 1.7054541798505731]",346,0.3991052630907338,0.18586348589213292,0.5900871462282983,Influenza B/Vic,Orthomyxovirus,#E06E85,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,32,HA1 (Receptor Binding)
yam,,yam,polymerase,0.10491098460295935,-0.00705053002780142,0.2730279027767181,"[-0.00705053002780142, 0.2730279027767181]",753,0.07899797140602838,-0.00530904911093447,0.20559001079086875,Influenza B/Yam,Orthomyxovirus,#ED9AB0,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,39,PB1 (Polymerase)
yam,,yam,membrane_fusion,0.0,0.0,0.0,"[0.0, 0.0]",224,0.0,0.0,0.0,Influenza B/Yam,Orthomyxovirus,#ED9AB0,RNA,"Negative-sense RNA, segmented",True,Respiratory,Sialic acid,Class I,40,HA2 (Membrane Fusion)
