Accession	Virus	Strain	Author	Publication_Title	Journal	Database
JF262783	Dengue (denv4)	INDIA_G11337	Rossi et al	Genetic and phenotypic characterization of sylvatic dengue virus type 4 strains	Virology (2011) In press	Genbank
FJ196850	Dengue (denv4)	GD09/90	Wu et al	Molecular epidemiology of dengue viruses in southern China from 1978 to 2006	Virol. J. 8 (1), 322 (2011)	Genbank
KY670635	Dengue (denv4)	D4/Philippines/0310aTw	Yang et al	Molecular epidemiology of dengue virus in Taiwan	Unpublished	Genbank
KR011349	Dengue (denv4)	H241	?			Genbank
GQ868594	Dengue (denv4)	DENV_4/PH/BID_V3361/1956	Henn et al	Direct Submission	Submitted (03-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
JQ922559	Dengue (denv4)	DENV_4/IND/793679/1979	Jayashri et al	Evolutionary Dynamics of Dengue Virus in India	Unpublished	Genbank
KU509287	Dengue (denv4)	DENV4_3274	Shihada et al	Genetic Diversity and New Lineages of Dengue Virus Serotypes 3 and 4 in Returning Travelers, Germany, 2006-2015	Emerging Infect. Dis. (2017) In press	Genbank
KX845005	Dengue (denv4)	UOH_23916	?			Genbank
JQ922560	Dengue (denv4)	DENV_4/IND/0952326/2009	Jayashri et al	Evolutionary Dynamics of Dengue Virus in India	Unpublished	Genbank
KF041260	Dengue (denv4)	D4/Pakistan/150/2009	Koo et al	Evolution and heterogeneity of multiple serotypes of Dengue virus in Pakistan, 2006-2011	Virol. J. 10, 275 (2013)	Genbank
MG272272	Dengue (denv4)	D4/IND/PUNE/IRSHA_FG_01_1028_	Shrivastava et al	Co-circulation of all the four dengue virus serotypes and detection of a novel clade of DENV-4 (genotype I) virus in Pune, India during 2016 season	PLoS ONE 13 (2), e0192672 (2018)	Genbank
MG272274	Dengue (denv4)	D4/IND/PUNE/IRSHA_FG_03_S_49_	Shrivastava et al	Co-circulation of all the four dengue virus serotypes and detection of a novel clade of DENV-4 (genotype I) virus in Pune, India during 2016 season	PLoS ONE 13 (2), e0192672 (2018)	Genbank
AY618991	Dengue (denv4)	ThD4_0087_77	Klungthong et al	The molecular epidemiology of dengue virus serotype 4 in Bangkok, Thailand	Virology 329 (1), 168-179 (2004)	Genbank
KY924607	Dengue (denv4)	DENV4_002	Quyen et al	Dengue virus 4 virus culture	Unpublished	Genbank
KP792537	Dengue (denv4)	SG_EHI_D4/25178Y11	Hapuarachchi et al	Dengue virus population diversity in Singapore	Unpublished	Genbank
MK614093	Dengue (denv4)	GZ18XN11706	Su et al	Molecular characterization and phylogenetic analysis of dengue virus serotype 4 in Guangzhou City, 2018	Unpublished	Genbank
MK614092	Dengue (denv4)	GZ18XN13312	Su et al	Molecular characterization and phylogenetic analysis of dengue virus serotype 4 in Guangzhou City, 2018	Unpublished	Genbank
MK614090	Dengue (denv4)	GZ18XN17096	Su et al	Molecular characterization and phylogenetic analysis of dengue virus serotype 4 in Guangzhou City, 2018	Unpublished	Genbank
MK614091	Dengue (denv4)	GZ18XN16107	Su et al	Molecular characterization and phylogenetic analysis of dengue virus serotype 4 in Guangzhou City, 2018	Unpublished	Genbank
KF955511	Dengue (denv4)	DENV_4/KH/BID_V2056/2005	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955510	Dengue (denv4)	DENV_4/KH/BID_V2055/2002	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955525	Dengue (denv4)	DENV_4/KH/BID_V3811/2008	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955521	Dengue (denv4)	DENV_4/TH/BID_V4330/2006	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955527	Dengue (denv4)	DENV_4/KH/BID_V3835/2007	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955515	Dengue (denv4)	DENV_4/KH/BID_V4318/2007	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955530	Dengue (denv4)	DENV_4/KH/BID_V4323/2008	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955516	Dengue (denv4)	DENV_4/KH/BID_V4322/2008	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
AY618990	Dengue (denv4)	ThD4_0348_91	Klungthong et al	The molecular epidemiology of dengue virus serotype 4 in Bangkok, Thailand	Virology 329 (1), 168-179 (2004)	Genbank
JQ513345	Dengue (denv4)	H781363	Nunes et al	Phylogeography of dengue virus serotype 4, Brazil, 2010-2011	Emerging Infect. Dis. 18 (11), 1858-1864 (2012)	Genbank
KY451945	Dengue (denv4)	CTI2_13	?			Genbank
LC410197	Dengue (denv4)	Th16_006DV4	Phadungsombat et al	Emergence of genotype Cosmopolitan of dengue virus type 2 and genotype III of dengue virus type 3 in Thailand	PLoS ONE (2018) In press	Genbank
LC410196	Dengue (denv4)	Th16_001DV4	Phadungsombat et al	Emergence of genotype Cosmopolitan of dengue virus type 2 and genotype III of dengue virus type 3 in Thailand	PLoS ONE (2018) In press	Genbank
