Accession	Virus	Author	Publication_Title	Journal	Database
MK073894	Norovirus GII.4	Steece,R., Moore,C., Britt,N., Kellem,R., Marine,R. and Castro,C.J.	Direct Submission	Submitted (19-OCT-2018) Polio and Picornavirus Laboratory Branch, Centers for Disease Control and Prevention, 1600 Clifton Rd. NE, Atlanta, GA 30329, USA	Genbank
MK073888	Norovirus GII.4	Soehnlen,M., Riner,D., Mosher,L., Vavricka,V., Castro,C.J., Marine,R. and Rodeman,K.	Direct Submission	Submitted (19-OCT-2018) Polio and Picornavirus Laboratory Branch, Centers for Disease Control and Prevention, 1600 Clifton Rd. NE, Atlanta, GA 30329, USA	Genbank
MK764013	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MT344180	Norovirus GII.4	Yang,Z., Williams-Hill,D., Wolfe,J., Silva,A.J., Hirneisen,K., Ruelle,S., Kulka,M. and Hellberg,R.	Direct Submission	Submitted (13-APR-2020) Molecular Virology Team/Devision of Molecular Biology, OARSA/CFSAN/FDA, 8301 Muirkirk Rd., Laurel, MD 20708, USA	Genbank
MT238667	Norovirus GII.4	Yang,Z., Williams-Hill,D., Wolfe,J., Silva,A.J., Hirneisen,K., Ruelle,S., Kulka,M. and Hellberg,R.	Direct Submission	Submitted (24-MAR-2020) Molecular Virology Team/Devision of Molecular Biology, OARSA/CFSAN/FDA, 8301 Muirkirk Rd., Laurel, MD 20708, USA	Genbank
MT537605	Norovirus GII.4	Silva,A., Wolfe,J., Hirneisen,K., Ruelle,S. and Yang,Z.	Application of whole-genome sequencing for Norovirus outbreak tracking and surveillance efforts in Orange County, CA	Unpublished	Genbank
MT537634	Norovirus GII.4	Silva,A., Wolfe,J., Ruelle,S., Hirneisen,K. and Yang,Z.	Application of whole-genome sequencing for Norovirus outbreak tracking and surveillance efforts in Orange County, CA	Unpublished	Genbank
MT238671	Norovirus GII.4	Yang,Z., Williams-Hill,D., Wolfe,J., Silva,A.J., Hirneisen,K., Ruelle,S., Kulka,M. and Hellberg,R.	Direct Submission	Submitted (24-MAR-2020) Molecular Virology Team/Devision of Molecular Biology, OARSA/CFSAN/FDA, 8301 Muirkirk Rd., Laurel, MD 20708, USA	Genbank
MT238668	Norovirus GII.4	Yang,Z., Williams-Hill,D., Wolfe,J., Silva,A.J., Hirneisen,K., Ruelle,S., Kulka,M. and Hellberg,R.	Direct Submission	Submitted (24-MAR-2020) Molecular Virology Team/Devision of Molecular Biology, OARSA/CFSAN/FDA, 8301 Muirkirk Rd., Laurel, MD 20708, USA	Genbank
MT238670	Norovirus GII.4	Yang,Z., Williams-Hill,D., Wolfe,J., Silva,A.J., Hirneisen,K., Ruelle,S., Kulka,M. and Hellberg,R.	Direct Submission	Submitted (24-MAR-2020) Molecular Virology Team/Devision of Molecular Biology, OARSA/CFSAN/FDA, 8301 Muirkirk Rd., Laurel, MD 20708, USA	Genbank
MT238672	Norovirus GII.4	Yang,Z., Williams-Hill,D., Wolfe,J., Silva,A.J., Hirneisen,K., Ruelle,S., Kulka,M. and Hellberg,R.	Direct Submission	Submitted (24-MAR-2020) Molecular Virology Team/Devision of Molecular Biology, OARSA/CFSAN/FDA, 8301 Muirkirk Rd., Laurel, MD 20708, USA	Genbank
MT537633	Norovirus GII.4	Silva,A., Wolfe,J., Ruelle,S., Hirneisen,K. and Yang,Z.	Application of whole-genome sequencing for Norovirus outbreak tracking and surveillance efforts in Orange County, CA	Unpublished	Genbank
MT537941	Norovirus GII.4	Silva,A., Wolfe,J., Ruelle,S., Hirneisen,K. and Yang,Z.	Application of whole-genome sequencing for Norovirus outbreak tracking and surveillance efforts in Orange County, CA	Unpublished	Genbank
MK762638	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
KX907727	Norovirus GII.4	Collins,N., Vinje,J. and Aswath,K.	Direct Submission	Submitted (28-SEP-2016) NCIRD/DVD/GRVLB, CDC, 1600 Clifton Rd NE, Atlanta, GA 30329, USA	Genbank
KY947550	Norovirus GII.4	Cannon,J.L., Barclay,L., Collins,N.R., Wikswo,M.E., Castro,C.J., Magana,L.C., Gregoricus,N., Marine,R.L., Chhabra,P. and Vinje,J.	Genetic and Epidemiologic Trends of Norovirus Outbreaks in the US Demonstrated Emergence of Novel GII.4 Recombinant Viruses, 2013-2016	J. Clin. Microbiol. (2017) In press	Genbank
KY887599	Norovirus GII.4	Ruis,C., Roy,S., Brown,J.R., Allen,D.J., Goldstein,R.A. and Breuer,J.	The emerging GII.P16-GII.4 Sydney 2012 norovirus lineage is circulating worldwide, arose by late-2014 and contains polymerase changes that may increase virus transmission	PLoS ONE 12 (6), E0179572 (2017)	Genbank
MH218685	Norovirus GII.4	Brown,J.R., Roy,S., Shah,D., Williams,C.A., Williams,R., Dunn,H., Hartley,J., Harris,K. and Breuer,J.	Norovirus transmission dynamics in a paediatric hospital using full genome sequences	Clin. Infect. Dis. (2018) In press	Genbank
LC175468	Norovirus GII.4	Matsushima,Y., Shimizu,T., Ishikawa,M., Komane,A., Okabe,N., Ryo,A., Kimura,H., Katayama,K. and Shimizu,H.	Complete Genome Sequence of a Recombinant GII.P16-GII.4 Norovirus Detected in Kawasaki City, Japan, in 2016	Genome Announc 4 (5), e01099-16 (2016)	Genbank
KY887604	Norovirus GII.4	Ruis,C., Roy,S., Brown,J.R., Allen,D.J., Goldstein,R.A. and Breuer,J.	The emerging GII.P16-GII.4 Sydney 2012 norovirus lineage is circulating worldwide, arose by late-2014 and contains polymerase changes that may increase virus transmission	PLoS ONE 12 (6), E0179572 (2017)	Genbank
KY887603	Norovirus GII.4	Ruis,C., Roy,S., Brown,J.R., Allen,D.J., Goldstein,R.A. and Breuer,J.	The emerging GII.P16-GII.4 Sydney 2012 norovirus lineage is circulating worldwide, arose by late-2014 and contains polymerase changes that may increase virus transmission	PLoS ONE 12 (6), E0179572 (2017)	Genbank
KY887602	Norovirus GII.4	Ruis,C., Roy,S., Brown,J.R., Allen,D.J., Goldstein,R.A. and Breuer,J.	The emerging GII.P16-GII.4 Sydney 2012 norovirus lineage is circulating worldwide, arose by late-2014 and contains polymerase changes that may increase virus transmission	PLoS ONE 12 (6), E0179572 (2017)	Genbank
KY887600	Norovirus GII.4	Ruis,C., Roy,S., Brown,J.R., Allen,D.J., Goldstein,R.A. and Breuer,J.	The emerging GII.P16-GII.4 Sydney 2012 norovirus lineage is circulating worldwide, arose by late-2014 and contains polymerase changes that may increase virus transmission	PLoS ONE 12 (6), E0179572 (2017)	Genbank
MH218684	Norovirus GII.4	Brown,J.R., Roy,S., Shah,D., Williams,C.A., Williams,R., Dunn,H., Hartley,J., Harris,K. and Breuer,J.	Norovirus transmission dynamics in a paediatric hospital using full genome sequences	Clin. Infect. Dis. (2018) In press	Genbank
NC_039477	Norovirus GII.4	Brown,J.R., Roy,S., Shah,D., Williams,C.A., Williams,R., Dunn,H., Hartley,J., Harris,K. and Breuer,J.	Norovirus transmission dynamics in a paediatric hospital using full genome sequences	Clin. Infect. Dis. (2018) In press	Genbank
MK073890	Norovirus GII.4	Steece,R., Moore,C., Britt,N., Kellem,R., Marine,R. and Castro,C.J.	Direct Submission	Submitted (19-OCT-2018) Polio and Picornavirus Laboratory Branch, Centers for Disease Control and Prevention, 1600 Clifton Rd. NE, Atlanta, GA 30329, USA	Genbank
MK073891	Norovirus GII.4	Steece,R., Moore,C., Britt,N., Kellem,R., Marine,R. and Castro,C.J.	Direct Submission	Submitted (19-OCT-2018) Polio and Picornavirus Laboratory Branch, Centers for Disease Control and Prevention, 1600 Clifton Rd. NE, Atlanta, GA 30329, USA	Genbank
MK762562	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK762563	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK753029	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
KY210980	Norovirus GII.4	Zhirakovskaia,E.V., Tikunov,A.Y., Sokolov,S.N., Kravchuk,B.I., Krasnova,E.I. and Tikunova,N.V.	Characterization of the complete genome sequence of the recombinant norovirus GII.P16/GII.4_Sydney_2012 revealed in Russia	Vavilovskii Zhurnal Genet Selektsii 24 (1), 69-79 (2020)	Genbank
KY887601	Norovirus GII.4	Ruis,C., Roy,S., Brown,J.R., Allen,D.J., Goldstein,R.A. and Breuer,J.	The emerging GII.P16-GII.4 Sydney 2012 norovirus lineage is circulating worldwide, arose by late-2014 and contains polymerase changes that may increase virus transmission	PLoS ONE 12 (6), E0179572 (2017)	Genbank
MK756034	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MT344179	Norovirus GII.4	Yang,Z., Williams-Hill,D., Wolfe,J., Silva,A.J., Hirneisen,K., Ruelle,S., Kulka,M. and Hellberg,R.	Direct Submission	Submitted (13-APR-2020) Molecular Virology Team/Devision of Molecular Biology, OARSA/CFSAN/FDA, 8301 Muirkirk Rd., Laurel, MD 20708, USA	Genbank
MK756038	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK756033	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK756037	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK756036	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK073885	Norovirus GII.4	Huynh,T., Pan,C.-Y., Castro,C.J., Marine,R. and Wadford,D.A.	Direct Submission	Submitted (19-OCT-2018) Polio and Picornavirus Laboratory Branch, Centers for Disease Control and Prevention, 1600 Clifton Rd. NE, Atlanta, GA 30329, USA	Genbank
MK773584	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK773585	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK762639	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK754442	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK764018	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK753030	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
KY887605	Norovirus GII.4	Ruis,C., Roy,S., Brown,J.R., Allen,D.J., Goldstein,R.A. and Breuer,J.	The emerging GII.P16-GII.4 Sydney 2012 norovirus lineage is circulating worldwide, arose by late-2014 and contains polymerase changes that may increase virus transmission	PLoS ONE 12 (6), E0179572 (2017)	Genbank
MK762637	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK756035	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
MK762746	Norovirus GII.4	Barclay,L., Cannon,J.L., Wikswo,M.E., Phillips,A., Browne,H., Montmayeur,A.M., Tatusov,R.L., Burke,R.M., Hall,A.J. and Vinje,J.	Emergence and characterization of multiple viruses associated with a novel GII.P16 polymerase in the United States, 2015-2018	Unpublished	Genbank
