strain	strain_name	date	country	host	genotype	subgenotype
OK143477	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	A	A2
OK143482	None	2018-XX-XX	Russia: Yakutia	Homo sapiens	A	A2
OK143483	None	2008-XX-XX	Russia: Moscow	Homo sapiens	A	A2
OK143484	None	2008-XX-XX	Russia: Moscow	Homo sapiens	A	A2
LC517161	None	2016-11-01	Japan:Iwate	Homo sapiens	A	A2
MH932713	None	2017-07-31	Japan	Homo sapiens	A	None
LC365288	A-1	2012-09-19	Japan:Tokyo	Homo sapiens	A	None
AB697489	None	2004-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.3	A	A2
AB697501	None	2006-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.19	A	A2
AB697512	None	2007-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.37	A	A2
LC311241	None	2017-07-12	Japan:Nagoya	Homo sapiens	A	A2
LC074724	None	2016-03-30	Japan	Homo sapiens	A	A2
AB697491	None	2005-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.6	A	A2
AB697496	None	2002-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.11	A	A2
AB697499	None	2006-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.16	A	A2
AB697503	None	2006-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.22	A	A2
AB697508	None	2007-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.31	A	A2
AB697497	None	2006-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.14	A	A2
AB697505	None	2006-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.25	A	A2
AB937798	None	1988-02-17	Japan:Mito	Homo sapiens	A	A2
AB697504	None	2006-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.23	A	A2
AB453979	None	2017-09-12	Japan	None	A	None
AB697509	None	2007-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.32	A	A2
AB453980	None	2017-09-12	Japan	None	A	None
AB697488	None	2003-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.2	A	A2
LC311243	None	2017-07-12	Japan:Nagoya	Homo sapiens	A	A2
LC311242	None	2017-07-12	Japan:Nagoya	Homo sapiens	A	A2
AB697506	None	2006-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.28	A	A2
AB697507	None	2007-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.29	A	A2
AB453981	None	2017-09-12	Japan	None	A	None
AB697511	None	2007-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.36	A	A2
KT749824	None	1997-XX-XX	Belgium	Homo sapiens	A	None
EU859933	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
EU859941	None	2000-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859943	None	2000-XX-XX	Belgium: Limburg	Homo sapiens	A	None
GU563555	None	2007-XX-XX	Belgium	Homo sapiens	A	None
EU859954	None	1998-XX-XX	Belgium: Limburg	Homo sapiens	A	None
KT749838	None	2006-XX-XX	Belgium	Homo sapiens	A	None
AP007263	HB-JI444A	2008-12-05	Japan	Homo sapiens	A	None
KY886219	Hiroshima GtA CL2	2017-03-31	Japan	Homo sapiens	A	None
EU859930	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
AB697492	None	2005-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.7	A	A2
AB937792	None	2008-05-22	Japan:Mito	Homo sapiens	A	A2
AB937793	None	2013-01-24	Japan:Mito	Homo sapiens	A	A2
AB937794	None	2013-02-17	Japan:Mito	Homo sapiens	A	A2
AB775199	None	2010-05-06	Japan	Homo sapiens	A	A2
AB775198	None	2010-03-23	Japan	Homo sapiens	A	A2
AB775200	None	2012-05-21	Japan	Homo sapiens	A	A2
AB775201	None	2012-07-02	Japan	Homo sapiens	A	A2
AB697495	None	2005-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.10	A	A2
AB697493	None	2005-XX-XX	Japan:Nagoya	Homo sapiens HIV-1/HBV-coinfected patient No.8	A	A2
EU859932	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
KT749829	None	1995-XX-XX	Belgium	Homo sapiens	A	None
KT749844	None	2005-XX-XX	Belgium	Homo sapiens	A	None
EU859940	None	1998-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859946	None	2000-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859947	None	2001-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859951	None	1999-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859948	None	2000-XX-XX	Belgium: Limburg	Homo sapiens	A	None
EU859949	None	1999-XX-XX	Belgium: Limburg	Homo sapiens	A	None
KP274927	None	2004-XX-XX	Belgium	Homo sapiens	A	None
KT749835	None	2000-XX-XX	Belgium	Homo sapiens	A	None
KP234051	None	2013-11-XX	Belgium	Homo sapiens	A	None
GQ477461	None	2006-04-25	Poland	Homo sapiens	A	None
GU563554	None	2008-XX-XX	Belgium	Homo sapiens	A	None
EU859931	None	2009-09-11	Belgium: Limburg	Homo sapiens	A	None
